date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,89.6127,90.3173,89.5736,90.0727,1475499,1475499,0.234843,0.261,90.0304,"Aug 5, 13",0
2013-08-06,90.0237,90.2879,89.6519,90.102,1318850,1318850,0.029356,0.033,90.007,"Aug 6, 13",0.00032529279126756853
2013-08-07,90.0335,90.102,89.466,89.7106,1430187,1430187,-0.391406,-0.434,89.7962,"Aug 7, 13",-0.004020085997200018
2013-08-08,90.2488,90.4151,89.74,89.9846,1250019,1250019,0.273984,0.305,89.9595,"Aug 8, 13",-0.0009780988024117982
2013-08-09,89.7889,90.5619,89.7889,90.4836,1069546,1069546,0.499044,0.555,90.2898,"Aug 9, 13",0.004561870577877626
2013-08-12,90.0824,90.3956,89.6323,90.1999,884235,884235,-0.283768,-0.314,90.128,"Aug 12, 13",0.0014121925955367385
2013-08-13,90.1999,90.6793,89.6431,90.6598,871545,871545,0.459902,0.51,90.3536,"Aug 13, 13",0.00651806818270138
2013-08-14,90.5717,90.6793,89.9259,90.0824,1097755,1097755,-0.577324,-0.637,90.2299,"Aug 14, 13",0.0001076907875528253
2013-08-15,89.3388,89.7791,89.0061,89.3388,1335590,1335590,-0.743677,-0.826,89.3436,"Aug 15, 13",-0.008147862781952704
2013-08-16,89.0648,89.2153,88.419,88.7419,1246753,1246753,-0.596898,-0.668,88.8345,"Aug 16, 13",-0.014774731966511457
2013-08-19,88.6244,89.2106,88.37,88.4777,976968,976968,-0.264198,-0.298,88.5711,"Aug 19, 13",-0.017707918159442306
2013-08-20,88.4972,88.7321,88.1156,88.3798,1030995,1030995,-0.097849,-0.111,88.4401,"Aug 20, 13",-0.018794817963711474
2013-08-21,88.3113,88.781,87.6166,88.1352,1732710,1732710,-0.244633,-0.277,88.2174,"Aug 21, 13",-0.02151040215292758
2013-08-22,88.1548,88.7027,88.0667,88.4092,1287412,1287412,0.273986,0.311,88.3846,"Aug 22, 13",-0.01846841495813936
2013-08-23,88.6147,89.0941,88.0178,88.8984,1220563,1220563,0.489257,0.553,88.5222,"Aug 23, 13",-0.013037246579707307
2013-08-26,89.0452,89.6225,88.419,88.419,1130654,1130654,-0.479473,-0.539,88.9895,"Aug 26, 13",-0.018359613956281988
2013-08-27,87.4698,87.4698,86.6283,86.9218,1892032,1892032,-1.4971,-1.693,87.0662,"Aug 27, 13",-0.03498174252575967
2013-08-28,86.912,87.2643,86.2369,86.9903,1017190,1017190,0.068495,0.079,86.8604,"Aug 28, 13",-0.034221245727062616
2013-08-29,86.7261,87.8808,86.5402,87.2545,856070,856070,0.2642,0.304,87.4281,"Aug 29, 13",-0.031288059534131926
2013-08-30,87.3132,87.3622,86.6381,86.9218,964505,964505,-0.332695,-0.381,86.8629,"Aug 30, 13",-0.03498174252575967
2013-09-03,88.0373,88.5559,87.4845,88.1841,1556855,1556855,1.2623,1.452,88.0411,"Sep 3, 13",-0.020967507357945267
2013-09-04,88.1058,88.9767,87.8318,88.8984,1265698,1265698,0.714315,0.81,88.5918,"Sep 4, 13",-0.013037246579707307
2013-09-05,88.9082,89.0012,88.3309,88.7321,858913,858913,-0.166345,-0.187,88.7353,"Sep 5, 13",-0.014883532968368827
2013-09-06,88.9278,89.2311,87.7829,88.5657,1079187,1079187,-0.166348,-0.187,88.7735,"Sep 6, 13",-0.016730929571335054
2013-09-09,88.9671,89.6826,88.9182,89.3004,1130845,1130845,0.734637,0.829,89.2734,"Sep 9, 13",-0.008574185074945031
2013-09-10,89.6532,89.9767,88.7907,88.9671,2844002,2844002,-0.33325,-0.373,89.1839,"Sep 10, 13",-0.012274529352400844
2013-09-11,88.9769,89.1926,88.3006,88.9965,2226754,2226754,0.029404,0.033,88.7703,"Sep 11, 13",-0.011948126346828729
2013-09-12,88.6829,89.516,88.5751,89.2612,2152225,2152225,0.264638,0.297,89.2098,"Sep 12, 13",-0.009009389082374518
2013-09-13,89.2416,89.5258,88.7221,89.3004,1434963,1434963,0.039208,0.044,89.2294,"Sep 13, 13",-0.008574185074945031
2013-09-16,90.1825,90.4961,89.5552,89.9473,1351246,1351246,0.64689,0.724,90.0854,"Sep 16, 13",-0.001392208738052696
2013-09-17,89.9179,91.4567,89.8787,91.4371,2286499,2286499,1.4898,1.656,90.6238,"Sep 17, 13",0.015147763972879723
2013-09-18,91.4273,92.4466,90.4177,92.378,1600352,1600352,0.940933,1.029,91.6817,"Sep 18, 13",0.02559377036549368
2013-09-19,92.623,92.7701,92.035,92.3682,2183895,2183895,-0.009804,-0.011,92.3597,"Sep 19, 13",0.025484969363636308
2013-09-20,92.5544,92.8583,91.6037,91.6331,2096423,2096423,-0.735102,-0.796,92.1607,"Sep 20, 13",0.01732378401002747
2013-09-23,91.3489,91.8977,91.0548,91.4665,1013535,1013535,-0.166624,-0.182,91.5076,"Sep 23, 13",0.015474166978451838
2013-09-24,91.5155,91.6037,90.6236,90.9764,1262287,1262287,-0.490072,-0.536,91.1883,"Sep 24, 13",0.010033006671277763
2013-09-25,91.0744,91.0744,90.1139,90.5353,1183517,1183517,-0.441061,-0.485,90.4621,"Sep 25, 13",0.005135851373390706
2013-09-26,90.6236,91.3979,90.5059,91.1626,1051218,1051218,0.627289,0.693,90.9789,"Sep 26, 13",0.01210022570656814
2013-09-27,90.7902,91.4567,90.4569,91.1626,1124156,1124156,0,0,91.0149,"Sep 27, 13",0.01210022570656814
2013-09-30,90.3883,90.8294,90.1727,90.3197,1269952,1269952,-0.842917,-0.925,90.9506,"Sep 30, 13",0.002742229332528057
2013-10-01,90.3785,91.4371,90.2021,91.0058,1059816,1059816,0.686094,0.76,90.9396,"Oct 1, 13",0.010359409676849878
2013-10-02,90.2609,90.6726,89.6925,90.6628,1425737,1425737,-0.343048,-0.377,90.1665,"Oct 2, 13",0.006551374611841398
2013-10-03,90.3981,90.4275,88.8103,89.5258,1353361,1353361,-1.137,-1.254,89.5733,"Oct 3, 13",-0.0060717620322250105
2013-10-04,89.7022,91.0352,89.516,90.5255,1278957,1278957,0.999742,1.117,90.6836,"Oct 4, 13",0.0050270503715331765
2013-10-07,90.1335,90.4961,89.6924,89.8983,1138652,1138652,-0.627291,-0.693,90.1478,"Oct 7, 13",-0.0019362137473395542
2013-10-08,89.9277,89.9277,88.8201,88.8789,1491061,1491061,-1.0193,-1.134,89.16,"Oct 8, 13",-0.013253738369117347
2013-10-09,88.9769,89.0651,87.9282,88.1438,2025907,2025907,-0.735103,-0.827,86.0744,"Oct 9, 13",-0.021414923722726183
2013-10-10,88.7221,90.5451,88.5751,90.4373,1593952,1593952,2.2935,2.602,90.0262,"Oct 10, 13",0.004047841354816674
2013-10-11,90.2707,91.2312,89.9081,91.1136,1394759,1394759,0.676298,0.748,90.9075,"Oct 11, 13",0.011556220697281282
2013-10-14,90.4569,90.9078,89.4474,90.8196,1784393,1784393,-0.294042,-0.323,90.1568,"Oct 14, 13",0.008292190641559503
2013-10-15,90.5844,90.9372,89.8198,90.0159,1506325,1506325,-0.803713,-0.885,90.3587,"Oct 15, 13",-0.0006306017250509369
2013-10-16,90.3295,91.9467,90.1923,91.6527,2242991,2242991,1.6368,1.818,91.4244,"Oct 16, 13",0.017541386013742215
2013-10-17,91.2999,94.1619,91.045,93.7208,2110400,2110400,2.0681,2.256,93.2644,"Oct 17, 13",0.04050172804856521
2013-10-18,94.2501,94.8676,93.7012,94.2109,1582441,1582441,0.490067,0.523,94.2567,"Oct 18, 13",0.045942888355739286
2013-10-21,94.1913,94.7499,93.2797,93.3581,1789803,1789803,-0.852718,-0.905,93.8407,"Oct 21, 13",0.036474980765537124
2013-10-22,93.4268,94.7303,93.1915,93.9168,2756790,2756790,0.558678,0.598,94.1863,"Oct 22, 13",0.04267774808571296
2013-10-23,95.5831,95.9849,93.3386,95.5438,2098700,2098700,1.627,1.732,94.665,"Oct 23, 13",0.0607409348226489
2013-10-24,95.8379,96.4064,94.9754,95.1028,1732709,1732709,-0.44106,-0.462,95.3068,"Oct 24, 13",0.055844889739066386
2013-10-25,95.1028,95.8771,94.8774,95.8673,1216786,1216786,0.764509,0.804,95.5247,"Oct 25, 13",0.06433247809824734
2013-10-28,95.8281,96.0829,95.5438,95.9261,907472,907472,0.058807,0.061,95.8966,"Oct 28, 13",0.06498528410939172
2013-10-29,95.8869,96.4946,95.5438,96.4652,1138953,1138953,0.539073,0.562,96.2046,"Oct 29, 13",0.07097044942585265
2013-10-30,96.5436,96.5614,94.9852,95.5537,1050709,1050709,-0.911523,-0.945,95.7742,"Oct 30, 13",0.06085084603881097
2013-10-31,95.6811,96.3623,94.3971,95.8379,2225043,2225043,0.284238,0.297,96.0403,"Oct 31, 13",0.06400607509267522
2013-11-01,96.2299,96.5377,95.7007,95.9849,1731183,1731183,0.147019,0.153,96.0808,"Nov 1, 13",0.06563809012053595
2013-11-04,96.3378,96.3378,95.5635,96.1025,1219548,1219548,0.117616,0.123,95.9148,"Nov 4, 13",0.06694370214282473
2013-11-05,95.6125,95.8085,94.9068,95.1616,1406424,1406424,-0.940933,-0.979,95.3999,"Nov 5, 13",0.05649769575021077
2013-11-06,95.3184,96.4554,95.24,95.6321,1164338,1164338,0.470466,0.494,95.7417,"Nov 6, 13",0.06172125405366995
2013-11-07,95.8183,96.0633,94.1815,94.2501,1142043,1142043,-1.382,-1.445,94.7668,"Nov 7, 13",0.04637809236316893
2013-11-08,94.0736,96.279,93.6228,96.2201,1357206,1357206,1.9701,2.09,95.4376,"Nov 8, 13",0.06824931416511335
2013-11-11,96.3182,96.4946,95.8477,96.4554,1024682,1024682,0.235233,0.244,96.6927,"Nov 11, 13",0.07086164842399528
2013-11-12,96.1417,96.4946,95.3478,95.7497,1096503,1096503,-0.705701,-0.732,95.8134,"Nov 12, 13",0.06302686607595871
2013-11-13,95.3576,96.8866,94.9558,96.8474,2310823,2310823,1.0978,1.146,95.9152,"Nov 13, 13",0.07521368849829078
2013-11-14,96.8474,98.2196,96.4652,98.2196,1719843,1719843,1.3722,1.417,97.566,"Nov 14, 13",0.09044804918693458
2013-11-15,98.0236,99.5036,98.0236,99.3566,1720511,1720511,1.137,1.158,100.8027,"Nov 15, 13",0.10307118583100099
2013-11-18,99.3762,99.484,98.4549,98.7685,861085,861085,-0.588081,-0.592,99.0064,"Nov 18, 13",0.09654201550525304
2013-11-19,98.4157,99.0331,97.955,98.5137,1059601,1059601,-0.254839,-0.258,98.5884,"Nov 19, 13",0.0937131894569609
2013-11-20,98.5039,99.5722,98.4745,99.0625,1060033,1060033,0.54888,0.557,99.157,"Nov 20, 13",0.09980604556097467
2013-11-21,101.0718,101.0718,99.3194,99.7976,1317125,1317125,0.735099,0.742,99.7621,"Nov 21, 13",0.1079672309145835
2013-11-22,99.8565,100.1701,99.435,99.4938,1421253,1421253,-0.30384,-0.304,99.7012,"Nov 22, 13",0.10459439985700435
2013-11-25,99.7878,100.5426,99.484,99.9643,1208983,1208983,0.470469,0.473,100.1543,"Nov 25, 13",0.10981795816046368
2013-11-26,100.1897,100.4935,99.4154,99.435,1467016,1467016,-0.529278,-0.529,99.8536,"Nov 26, 13",0.10394159384586012
2013-11-27,99.5036,99.6506,98.6215,98.9939,1579646,1579646,-0.441059,-0.444,99.0158,"Nov 27, 13",0.0990444385479729
2013-11-29,99.2488,99.6114,98.6803,98.8469,854911,854911,-0.147024,-0.149,99.1949,"Nov 29, 13",0.09741242352011217
2013-12-02,99.0821,99.4742,98.6117,98.8273,1346439,1346439,-0.019599,-0.02,99.0458,"Dec 2, 13",0.09719482151639727
2013-12-03,98.5039,99.0625,98.1609,98.9155,1390348,1390348,0.088211,0.089,98.7458,"Dec 3, 13",0.09817403053311377
2013-12-04,98.5039,99.2194,97.1537,98.2294,1100991,1100991,-0.686098,-0.694,98.3124,"Dec 4, 13",0.09055685018879195
2013-12-05,97.9844,99.0233,97.7688,97.9452,1245564,1245564,-0.284239,-0.289,98.2463,"Dec 5, 13",0.0874016211349277
2013-12-06,98.5921,100.768,98.545,100.67,1840069,1840069,2.7248,2.782,101.3993,"Dec 6, 13",0.1176527405085004
2013-12-09,100.9346,101.1306,99.8565,99.9937,1564151,1564151,-0.676291,-0.672,100.286,"Dec 9, 13",0.11014436116603596
2013-12-10,99.9153,100.4347,99.435,99.9055,1182532,1182532,-0.088214,-0.088,99.9644,"Dec 10, 13",0.10916515214931945
2013-12-11,99.6408,100.1995,98.7391,99.19,1898275,1898275,-0.715501,-0.716,99.3933,"Dec 11, 13",0.10122156879942536
2013-12-12,98.8366,99.1015,98.1985,98.385,1308924,1308924,-0.804929,-0.812,98.595,"Dec 12, 13",0.09228434364685424
2013-12-13,98.6795,99.7691,98.5715,99.4746,1030589,1030589,1.0896,1.107,100.2378,"Dec 13, 13",0.10438123871050826
2013-12-16,99.7985,100.6231,99.2979,100.358,1658667,1658667,0.883433,0.888,100.2785,"Dec 16, 13",0.11418887187793868
2013-12-17,100.5151,100.9666,99.6317,100.4366,1867744,1867744,0.078527,0.078,100.4511,"Dec 17, 13",0.11506150032140705
2013-12-18,100.8488,104.5396,100.574,104.4611,3093709,3093709,4.0245,4.007,102.8045,"Dec 18, 13",0.15974207501273976
2013-12-19,104.4513,106.2869,103.9801,106.1691,2573614,2573614,1.708,1.635,105.4753,"Dec 19, 13",0.17870453533645603
2013-12-20,106.6942,106.8562,106.1985,106.5715,2416868,2416868,0.402455,0.379,106.5683,"Dec 20, 13",0.18317203769843696
2013-12-23,107.4844,107.4844,106.4439,106.8365,1841258,1841258,0.265029,0.249,106.7857,"Dec 23, 13",0.18611410560580513
2013-12-24,106.7875,107.6415,106.6599,107.3961,458374,458374,0.559508,0.524,107.2721,"Dec 24, 13",0.19232686485472297
2013-12-26,107.7592,108.5347,107.6415,108.2402,995796,995796,0.844169,0.786,108.1685,"Dec 26, 13",0.20169818380041904
2013-12-27,108.3678,108.9862,108.3188,108.6329,899846,899846,0.392637,0.363,108.622,"Dec 27, 13",0.2060579953748473
2013-12-30,108.7016,109.0402,108.0341,108.5543,875372,875372,-0.078527,-0.072,108.3345,"Dec 30, 13",0.20518536693137876
2013-12-31,108.8684,109.3838,108.6034,109.3003,1147867,1147867,0.746007,0.687,108.9597,"Dec 31, 13",0.21346756564419625
2014-01-02,108.6525,109.1138,107.2783,107.612,2559028,2559028,-1.6883,-1.545,107.5014,"Jan 2, 14",0.19472381753849943
2014-01-03,107.9359,108.4464,107.6513,108.0243,1486448,1486448,0.412268,0.383,108.1815,"Jan 3, 14",0.19930123111664244
2014-01-06,108.5347,109.1531,107.612,108.0341,1891530,1891530,0.009813,0.009,108.3137,"Jan 6, 14",0.1994100321184998
2014-01-07,109.0451,110.4095,108.7114,110.2427,2246999,2246999,2.2086,2.044,109.6154,"Jan 7, 14",0.2239302252513803
2014-01-08,110.2623,112.039,110.2132,111.9408,2841941,2841941,1.6982,1.54,111.9782,"Jan 8, 14",0.2427827743589345
2014-01-09,112.0684,112.6967,111.401,111.9016,2196355,2196355,-0.039264,-0.035,111.9321,"Jan 9, 14",0.242347570351505
2014-01-10,111.4893,112.5013,111.4804,112.3531,1492108,1492108,0.451534,0.404,112.1411,"Jan 10, 14",0.2473601879370775
2014-01-13,111.9212,112.4807,110.6059,110.9102,2048786,2048786,-1.4429,-1.284,111.2821,"Jan 13, 14",0.2313409057350341
2014-01-14,111.8034,112.7752,110.6451,112.6476,1693703,1693703,1.7374,1.567,112.0034,"Jan 14, 14",0.2506297690643225
2014-01-15,113.001,113.5801,112.4807,113.3936,1537151,1537151,0.74601,0.662,113.0094,"Jan 15, 14",0.25891196777714015
2014-01-16,112.7359,114.0218,112.7359,113.9727,1847809,1847809,0.579141,0.511,113.6787,"Jan 16, 14",0.265341218815468
2014-01-17,113.6292,114.3555,113.4623,113.7568,2549551,2549551,-0.215953,-0.189,113.6045,"Jan 17, 14",0.2629442661316914
2014-01-21,114.1494,114.3555,112.4905,112.8341,2201626,2201626,-0.922696,-0.811,112.9667,"Jan 21, 14",0.25270031874252696
2014-01-22,112.9519,113.2365,112.2746,112.5887,2012788,2012788,-0.245397,-0.217,112.8018,"Jan 22, 14",0.24997585283887355
2014-01-23,112.304,112.4316,109.9286,110.7335,3400191,3400191,-1.8552,-1.648,110.125,"Jan 23, 14",0.22937915705868714
