date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,24.66,24.78,24.4,24.7,2187172,2187172,-0.02,-0.081,24.6135,"Aug 5, 13",0
2013-08-06,24.51,24.82,23.93,24.06,5838019,5838019,-0.64,-2.591,24.2008,"Aug 6, 13",-0.025910931174089092
2013-08-07,24.2,24.21,23.55,24.01,3746874,3746874,-0.05,-0.208,23.9302,"Aug 7, 13",-0.027935222672064688
2013-08-08,25.74,25.74,24.55,25,6393964,6393964,0.99,4.123,25.0656,"Aug 8, 13",0.01214574898785428
2013-08-09,25.17,25.9,25.125,25.23,4514891,4514891,0.23,0.92,25.355,"Aug 9, 13",0.021457489878542558
2013-08-12,25.59,25.7,24.96,25.01,3225484,3225484,-0.22,-0.872,25.2509,"Aug 12, 13",0.012550607287449484
2013-08-13,25,25.28,24.44,25.01,4135973,4135973,0,0,24.819,"Aug 13, 13",0.012550607287449484
2013-08-14,24.91,24.9599,24.25,24.4,3996040,3996040,-0.61,-2.439,24.484,"Aug 14, 13",-0.01214574898785428
2013-08-15,24.21,24.32,23.88,24.14,2175450,2175450,-0.26,-1.066,24.1266,"Aug 15, 13",-0.022672064777327885
2013-08-16,24.05,24.14,23.75,23.85,2604848,2604848,-0.29,-1.201,23.8945,"Aug 16, 13",-0.03441295546558696
2013-08-19,23.65,23.7495,23.11,23.33,4324054,4324054,-0.52,-2.18,23.3681,"Aug 19, 13",-0.055465587044534456
2013-08-20,23.24,23.66,23.15,23.49,1789849,1789849,0.16,0.686,23.5034,"Aug 20, 13",-0.04898785425101218
2013-08-21,23.76,24.18,23.22,23.29,2175080,2175080,-0.2,-0.851,23.4729,"Aug 21, 13",-0.05708502024291499
2013-08-22,23.55,23.885,23.5,23.63,1518196,1518196,0.34,1.46,23.6729,"Aug 22, 13",-0.043319838056680174
2013-08-23,23.83,23.99,23.685,23.89,2157690,2157690,0.26,1.1,23.86,"Aug 23, 13",-0.03279352226720643
2013-08-26,23.97,24.06,23.75,23.83,1094081,1094081,-0.06,-0.251,23.9275,"Aug 26, 13",-0.03522267206477737
2013-08-27,23.6,23.73,23.41,23.58,1787163,1787163,-0.25,-1.049,23.5703,"Aug 27, 13",-0.045344129554655915
2013-08-28,23.44,23.62,22.95,23.14,2686223,2686223,-0.44,-1.866,23.1972,"Aug 28, 13",-0.06315789473684205
2013-08-29,23.17,23.5,23.04,23.24,1808063,1808063,0.1,0.432,23.3062,"Aug 29, 13",-0.05910931174089072
2013-08-30,23.31,23.5,23.2,23.35,1211590,1211590,0.11,0.473,23.3248,"Aug 30, 13",-0.05465587044534404
2013-09-03,23.54,24.35,23.52,24.04,4321893,4321893,0.69,2.955,23.9974,"Sep 3, 13",-0.026720647773279357
2013-09-04,24,24.64,23.94,24.64,4567757,4567757,0.6,2.496,24.373,"Sep 4, 13",-0.0024291497975707987
2013-09-05,24.73,24.88,24.305,24.58,2844835,2844835,-0.06,-0.244,24.5351,"Sep 5, 13",-0.0048582995951417405
2013-09-06,24.88,25.01,24.51,24.53,2719448,2719448,-0.05,-0.203,24.718,"Sep 6, 13",-0.0068825910931173346
2013-09-09,24.51,24.88,24.47,24.74,2316892,2316892,0.21,0.856,24.6694,"Sep 9, 13",0.0016194331983805323
2013-09-10,24.81,25.32,24.81,25.26,2398940,2398940,0.52,2.102,25.1798,"Sep 10, 13",0.022672064777328027
2013-09-11,25.26,25.57,25.12,25.55,1725350,1725350,0.29,1.148,25.407,"Sep 11, 13",0.034412955465587106
2013-09-12,25.63,25.74,25.33,25.44,2880375,2880375,-0.11,-0.431,25.4767,"Sep 12, 13",0.029959514170040568
2013-09-13,25.41,25.64,24.505,24.71,3900786,3900786,-0.73,-2.869,24.9389,"Sep 13, 13",0.000404858299595205
2013-09-16,24.94,25.1,24.62,24.67,2291022,2291022,-0.04,-0.162,24.8001,"Sep 16, 13",-0.0012145748987853274
2013-09-17,24.73,25.15,24.565,25.09,2747616,2747616,0.42,1.702,24.9825,"Sep 17, 13",0.01578947368421055
2013-09-18,25.09,25.32,25.01,25.2,2764956,2764956,0.11,0.438,25.1878,"Sep 18, 13",0.020242914979757085
2013-09-19,25.34,25.34,24.845,25.06,3358988,3358988,-0.14,-0.556,25.0868,"Sep 19, 13",0.014574898785425078
2013-09-20,25.07,25.11,24.7,24.97,2944595,2944595,-0.09,-0.359,24.9264,"Sep 20, 13",0.01093117408906881
2013-09-23,25.02,25.11,24.67,24.92,1899946,1899946,-0.05,-0.2,24.8505,"Sep 23, 13",0.008906882591093216
2013-09-24,25.14,25.87,25.014,25.44,6314472,6314472,0.52,2.087,25.5466,"Sep 24, 13",0.029959514170040568
2013-09-25,25.5,26.49,25.5,26.08,5705448,5705448,0.64,2.516,26.0675,"Sep 25, 13",0.055870445344129514
2013-09-26,26.16,26.665,25.99,26.12,3319592,3319592,0.04,0.153,26.2812,"Sep 26, 13",0.05748987854251019
2013-09-27,25.95,26.1,25.6,26.07,2401796,2401796,-0.05,-0.191,25.9331,"Sep 27, 13",0.055465587044534456
2013-09-30,25.81,26.16,25.65,25.97,1668182,1668182,-0.1,-0.384,25.9307,"Sep 30, 13",0.05141700404858298
