date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,44.8092,44.8092,43.5839,44.144,241121,241121,-0.665135,-1.484,44.1747,"Aug 5, 13",0
2013-08-06,44.2841,44.3541,43.6469,43.6469,192959,192959,-0.497103,-1.126,43.9956,"Aug 6, 13",-0.01126087350489299
2013-08-07,43.864,43.934,43.759,43.829,322223,322223,0.182038,0.417,43.8386,"Aug 7, 13",-0.007135737586081862
2013-08-08,43.899,43.934,43.4859,43.5139,206244,206244,-0.315065,-0.719,43.7692,"Aug 8, 13",-0.014273740485683192
2013-08-09,43.5489,43.5489,42.5407,43.4089,334936,334936,-0.105022,-0.241,43.3309,"Aug 9, 13",-0.01665231968104376
2013-08-12,43.5489,43.5489,43.3949,43.4089,418467,418467,0,0,43.4081,"Aug 12, 13",-0.01665231968104376
2013-08-13,43.4789,43.6889,43.4019,43.6119,569009,569009,0.203042,0.468,43.4566,"Aug 13, 13",-0.012053733236679952
2013-08-14,43.6539,43.6539,43.2339,43.2339,324970,324970,-0.378079,-0.867,43.4245,"Aug 14, 13",-0.02061661833997825
2013-08-15,43.2339,43.2339,42.2887,42.3587,396124,396124,-0.875176,-2.024,42.5302,"Aug 15, 13",-0.040442642261689005
2013-08-16,42.3587,42.5337,42.3447,42.3447,123383,123383,-0.014005,-0.033,42.4756,"Aug 16, 13",-0.04075978615440366
2013-08-19,42.3587,42.4987,41.9036,41.9386,373734,373734,-0.406084,-0.959,42.0062,"Aug 19, 13",-0.0499592243566509
2013-08-20,41.9386,42.0506,41.9036,42.0086,521180,521180,0.070016,0.167,41.9907,"Aug 20, 13",-0.04837350489307714
2013-08-21,42.0086,42.2887,42.0086,42.1486,458924,458924,0.140029,0.333,42.0995,"Aug 21, 13",-0.04520206596592961
2013-08-22,42.1486,42.4287,42.1136,42.2537,590347,590347,0.10502,0.249,42.2002,"Aug 22, 13",-0.04282122145704957
2013-08-23,42.0086,42.3587,42.0086,42.2887,340495,340495,0.035009,0.083,42.2309,"Aug 23, 13",-0.042028361725262774
2013-08-26,42.3237,42.6737,42.2887,42.5337,1047256,1047256,0.245048,0.579,42.5806,"Aug 26, 13",-0.036478343602754516
2013-08-27,42.4987,42.5337,42.3237,42.3937,93597,93597,-0.140029,-0.329,42.4098,"Aug 27, 13",-0.03964978252990204
