date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,18.6802,18.8514,18.6293,18.8514,2759226,1379613,0.194388,1.042,18.7463,"Aug 5, 13",0
2013-08-06,18.8561,18.8718,18.3886,18.6756,2958684,1479342,-0.175877,-0.933,18.5854,"Aug 6, 13",-0.009325567331869377
2013-08-07,18.6154,18.6871,18.3331,18.4395,2253834,1126917,-0.236047,-1.264,18.4526,"Aug 7, 13",-0.021849836086444654
2013-08-08,18.5969,19.2634,18.5876,19.1939,3159496,1579748,0.75443,4.091,19.0079,"Aug 8, 13",0.018168411895137633
2013-08-09,19.1615,19.3976,18.9441,19.0412,2135648,1067824,-0.152738,-0.796,19.1109,"Aug 9, 13",0.010068217745101063
2013-08-12,18.9348,19.1384,18.7126,18.9671,3428742,1714371,-0.074057,-0.389,18.9017,"Aug 12, 13",0.006137475200780674
2013-08-13,18.981,19.0227,18.6478,18.8329,3553276,1776638,-0.134221,-0.708,18.776,"Aug 13, 13",-0.0009813594746280417
2013-08-14,18.9209,18.9209,18.3793,18.3932,2075416,1037708,-0.439695,-2.335,18.5475,"Aug 14, 13",-0.02430588709591868
2013-08-15,18.1618,18.7033,17.898,18.5367,3324538,1662269,0.143478,0.78,18.3432,"Aug 15, 13",-0.016693720360291646
2013-08-16,18.5506,18.9486,18.5506,18.6385,2592150,1296075,0.101825,0.549,18.7272,"Aug 16, 13",-0.01129359092693387
2013-08-19,18.6432,18.7033,18.5136,18.6015,1959522,979761,-0.037027,-0.199,18.6077,"Aug 19, 13",-0.013256309876189578
2013-08-20,18.6663,19.3328,18.5506,19.2495,2999362,1499681,0.647974,3.483,19.161,"Aug 20, 13",0.021117794964830166
2013-08-21,19.1708,19.4022,19.0134,19.1708,2198750,1099375,-0.078683,-0.409,19.2382,"Aug 21, 13",0.016943038713305013
2013-08-22,19.3235,19.9854,19.2819,19.8836,2169890,1084945,0.712774,3.718,19.7984,"Aug 22, 13",0.05475455403842683
2013-08-23,19.9623,20.0363,19.5642,19.8558,1907508,953754,-0.027773,-0.14,19.8454,"Aug 23, 13",0.053279862503580466
