date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-07-24,21.5296,25.0441,20.7149,23.7407,2765270,2765270,23.7407,0,21.439,"Jul 24, 14",0
2014-07-25,23.4614,23.4614,22.7352,22.8097,663932,663932,-0.931006,-3.922,22.9802,"Jul 25, 14",-0.03921535590778709
2014-07-28,22.5769,22.5769,21.6459,21.7856,95403,95403,-1.0241,-4.49,22.2748,"Jul 28, 14",-0.08235224740635287
2014-07-29,21.2828,21.7763,21.0594,21.227,1426089,1426089,-0.558605,-2.564,21.3283,"Jul 29, 14",-0.10588146095102503
2014-07-30,21.3946,21.3946,20.2215,20.2494,424801,424801,-0.977558,-4.605,20.4345,"Jul 30, 14",-0.14705969074205896
2014-07-31,19.9701,20.0074,18.3688,19.5791,462869,462869,-0.670325,-3.31,19.5297,"Jul 31, 14",-0.17529390456052266
2014-08-01,20.2494,20.8546,19.6443,19.6908,821390,821390,0.111722,0.571,20.0776,"Aug 1, 14",-0.17058890428673126
2014-08-04,20.5194,20.9477,20.2495,20.5939,1186441,1186441,0.903077,4.586,20.4977,"Aug 4, 14",-0.1325487454034632
2014-08-05,20.2494,20.8546,19.6443,19.6908,821390,821390,-0.903077,-4.385,20.0776,"Aug 5, 14",-0.17058890428673126
2014-08-06,19.5512,19.7839,19.4301,19.4581,1531646,1531646,-0.232753,-1.182,19.5619,"Aug 6, 14",-0.18039063717582038
2014-08-07,19.5512,19.9236,19.3184,19.5046,300246,300246,0.046551,0.239,19.4832,"Aug 7, 14",-0.17843197546828865
2014-08-08,19.6163,20.0632,19.3556,19.5512,657561,657561,0.046549,0.239,19.603,"Aug 8, 14",-0.17646910158504167
2014-08-11,19.4674,19.5419,19.0112,19.1043,377906,377906,-0.446883,-2.286,19.2864,"Aug 11, 14",-0.1952933148559226
2014-08-12,18.9181,19.3277,17.6891,18.2012,627328,627328,-0.903078,-4.727,18.04,"Aug 12, 14",-0.2333334737391905
2014-08-13,18.2012,18.2198,17.5402,18.1546,717419,717419,-0.04655,-0.256,17.946,"Aug 13, 14",-0.23529634762243748
2014-08-14,18.015,18.434,17.866,18.285,721838,721838,0.130341,0.718,18.2323,"Aug 14, 14",-0.22980367048991815
2014-08-15,18.1546,18.4954,18.1081,18.164,331372,331372,-0.12103,-0.662,18.2517,"Aug 15, 14",-0.2349004031052159
2014-08-18,17.9591,18.4433,17.9591,18.0336,148154,148154,-0.130342,-0.718,18.2507,"Aug 18, 14",-0.2403930802377352
2014-08-19,18.0615,19.2253,18.0615,18.406,442818,442818,0.372404,2.065,18.5316,"Aug 19, 14",-0.22470693787462043
2014-08-20,18.2105,18.7319,18.1267,18.2012,272168,272168,-0.204823,-1.113,18.3067,"Aug 20, 14",-0.2333334737391905
2014-08-21,18.1453,18.8529,18.1453,18.4526,442204,442204,0.251373,1.381,18.3161,"Aug 21, 14",-0.22274406399137348
2014-08-22,18.3595,18.6388,18.2477,18.3222,82871,82871,-0.130341,-0.706,18.4722,"Aug 22, 14",-0.22823674112389278
2014-08-25,18.3036,18.5364,18.1546,18.3222,218960,218960,0,0,18.3984,"Aug 25, 14",-0.22823674112389278
2014-08-26,18.4526,18.4526,17.9219,18.2198,283346,283346,-0.102412,-0.559,18.139,"Aug 26, 14",-0.23255000905617781
2014-08-27,18.2571,18.2943,17.7729,17.9219,153096,153096,-0.297921,-1.635,18.0969,"Aug 27, 14",-0.2450980805115266
2014-08-28,17.894,17.9405,17.745,17.8474,77883,77883,-0.074482,-0.416,17.8649,"Aug 28, 14",-0.2482361514192926
2014-08-29,17.9498,18.1453,17.8195,17.8753,122582,122582,0.027931,0.156,17.8777,"Aug 29, 14",-0.24706095439477357
2014-09-02,17.9964,17.9964,17.5029,17.6147,554486,554486,-0.260682,-1.458,17.6662,"Sep 2, 14",-0.25803788430838187
