date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,65.4646,65.4646,64.9328,65.0786,896696,896696,-0.411727,-0.629,65.1341,"Aug 5, 13",0
2013-08-06,65.01,65.2416,64.5468,64.7012,944594,944594,-0.377418,-0.58,64.716,"Aug 6, 13",-0.005799141346003055
2013-08-07,64.6926,64.6926,63.7576,63.8949,1477890,1477890,-0.806298,-1.246,63.9897,"Aug 7, 13",-0.01818877480462079
2013-08-08,64.401,64.6669,63.8177,64.5382,1427241,1427241,0.643322,1.007,64.3894,"Aug 8, 13",-0.008303804937414007
2013-08-09,64.0879,64.7702,63.792,64.0579,926463,926463,-0.480346,-0.744,64.1539,"Aug 9, 13",-0.01568411121320973
2013-08-12,63.6719,63.852,63.1658,63.466,1003190,1003190,-0.591861,-0.924,63.443,"Aug 12, 13",-0.024779266917235365
2013-08-13,66.0136,66.0136,63.2601,63.9721,1408476,1408476,0.506085,0.797,63.8923,"Aug 13, 13",-0.017002516956418808
2013-08-14,63.9978,64.2174,63.2173,63.3631,1684343,1684343,-0.609013,-0.952,63.5083,"Aug 14, 13",-0.026360431847027927
2013-08-15,62.7712,62.9342,61.9306,62.3766,1901130,1901130,-0.986429,-1.557,62.3373,"Aug 15, 13",-0.041519024687070576
2013-08-16,62.4024,62.7026,61.8964,62.4024,1568088,1568088,0.025732,0.041,62.3115,"Aug 16, 13",-0.04112258100204975
2013-08-19,62.3252,62.3852,61.5275,61.536,848206,848206,-0.866342,-1.388,61.867,"Aug 19, 13",-0.05443571312228587
2013-08-20,61.5532,62.531,61.2873,62.248,1106220,1106220,0.711945,1.157,62.2129,"Aug 20, 13",-0.043495096698453826
2013-08-21,61.7591,62.2651,61.2873,61.5446,1121654,1121654,-0.703366,-1.13,61.7983,"Aug 21, 13",-0.054303565227278895
2013-08-22,61.7591,62.5053,61.7591,62.2909,878114,878114,0.746254,1.213,62.1835,"Aug 22, 13",-0.04283589382684929
2013-08-23,62.3423,62.3595,61.6561,62.2566,725682,725682,-0.034311,-0.055,62.0488,"Aug 23, 13",-0.04336294880344684
2013-08-26,62.0593,62.4538,61.4931,61.5789,1336901,1336901,-0.677634,-1.088,61.8894,"Aug 26, 13",-0.05377651025068145
2013-08-27,60.7898,61.0814,60.2322,60.3009,1404541,1404541,-1.2781,-2.075,60.6477,"Aug 27, 13",-0.07341430209008792
2013-08-28,60.1893,60.9099,60.0864,60.4724,1312527,1312527,0.171551,0.284,60.6113,"Aug 28, 13",-0.07077902720710025
2013-08-29,60.258,61.1156,60.1207,60.6954,836838,836838,0.22302,0.369,60.7914,"Aug 29, 13",-0.06735240155750116
2013-08-30,60.8927,60.9013,60.0178,60.1636,997460,997460,-0.531813,-0.876,60.2706,"Aug 30, 13",-0.07552405859990831
2013-09-03,60.8498,61.3731,60.0006,60.644,1018857,1018857,0.480347,0.798,60.6179,"Sep 3, 13",-0.06814221572068233
2013-09-04,60.7984,61.1329,60.3352,60.7555,1354545,1354545,0.11151,0.184,60.8501,"Sep 4, 13",-0.06642890289588278
2013-09-05,60.8069,61.2616,60.6011,60.8498,879473,879473,0.094354,0.155,60.9847,"Sep 5, 13",-0.06497988586109708
2013-09-06,61.0986,61.1242,59.9578,60.6611,1053481,1053481,-0.188708,-0.31,60.6983,"Sep 6, 13",-0.06787945653409873
2013-09-09,61.3277,61.4053,61.0087,61.3536,2103614,2103614,0.692478,1.142,61.1615,"Sep 9, 13",-0.05723847777917771
2013-09-10,61.9313,62.2789,61.414,62.1211,1104015,1104015,0.767462,1.251,62.0661,"Sep 10, 13",-0.04544504645152164
2013-09-11,61.7675,61.9917,61.3277,61.7244,1247583,1247583,-0.396667,-0.639,61.5899,"Sep 11, 13",-0.05154075225957522
2013-09-12,61.6468,61.9572,61.3838,61.7503,1492628,1492628,0.025867,0.042,61.7373,"Sep 12, 13",-0.051142771971124025
2013-09-13,61.9831,61.9917,61.1984,61.7071,921812,921812,-0.043114,-0.07,61.6313,"Sep 13, 13",-0.051806584653019544
2013-09-16,62.8109,62.8152,62.1297,62.6126,1238275,1238275,0.90543,1.467,62.5916,"Sep 16, 13",-0.03789264059153077
2013-09-17,62.6126,62.8282,62.4839,62.7678,830482,830482,0.155217,0.248,62.7368,"Sep 17, 13",-0.03550783206768421
2013-09-18,62.854,62.9834,62.4746,62.7764,3073271,3073271,0.008623,0.014,62.7604,"Sep 18, 13",-0.035375684172677224
2013-09-19,63.2076,64.5442,63.1386,64.3717,2465550,2465550,1.5953,2.541,64.0656,"Sep 19, 13",-0.010862249648885968
2013-09-20,64.32,64.6649,63.6473,63.7767,1787800,1787800,-0.594996,-0.924,63.9683,"Sep 20, 13",-0.020005040059251373
2013-09-23,63.5008,63.5697,62.5789,63.0955,977861,977861,-0.681226,-1.068,62.9506,"Sep 23, 13",-0.030472382626546873
2013-09-24,63.0179,63.3197,62.5436,62.854,1234954,1234954,-0.24145,-0.383,62.9246,"Sep 24, 13",-0.034183279910754004
2013-09-25,63.0265,63.2766,62.2849,62.7764,1054510,1054510,-0.077607,-0.123,62.7437,"Sep 25, 13",-0.035375684172677224
2013-09-26,62.854,63.2766,62.1469,62.5781,1238624,1238624,-0.198332,-0.316,62.5049,"Sep 26, 13",-0.038422768774988944
2013-09-27,62.0348,62.5867,61.9745,62.4746,965246,965246,-0.103478,-0.165,62.4187,"Sep 27, 13",-0.040013153325363364
2013-09-30,61.6985,62.0521,61.4829,62.0262,1282358,1282358,-0.448404,-0.718,62.1471,"Sep 30, 13",-0.046903283106889085
2013-10-01,62.0779,62.3194,61.7934,62.1814,1380032,1380032,0.155218,0.25,62.7536,"Oct 1, 13",-0.04451847458304263
2013-10-02,61.6726,62.1383,61.6037,62.0693,1212708,1212708,-0.112102,-0.18,61.9373,"Oct 2, 13",-0.046241007028424035
2013-10-03,62.0521,62.4229,61.4571,62.0693,1125981,1125981,0,0,62.5298,"Oct 3, 13",-0.046241007028424035
2013-10-04,62.259,62.8368,61.8796,62.6988,941209,941209,0.629489,1.014,62.7093,"Oct 4, 13",-0.03656808843460056
2013-10-07,61.9745,62.4918,61.7934,61.9055,840491,840491,-0.793327,-1.265,62.1441,"Oct 7, 13",-0.048757963447277466
2013-10-08,62.0176,62.2849,61.1898,61.207,1306647,1306647,-0.698474,-1.128,61.566,"Oct 8, 13",-0.05949113840801729
2013-10-09,61.7244,62.259,61.3363,61.7848,1763340,1763340,0.577749,0.944,61.9539,"Oct 9, 13",-0.05061264378766596
