date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-07-13,12.5231,13.1737,12.5231,12.8484,559037,559037,12.8484,0,12.8025,"Jul 13, 16",0
2016-07-14,13.255,13.7267,12.8647,13.4583,734088,734088,0.609894,4.747,13.2963,"Jul 14, 16",0.047468945549640394
2016-07-15,13.5722,13.8568,13.4502,13.7673,395160,395160,0.309013,2.296,13.701,"Jul 15, 16",0.0715186326702158
2016-07-18,13.6941,14.0105,13.5152,13.8812,398893,398893,0.113845,0.827,13.8032,"Jul 18, 16",0.08038354970268671
2016-07-19,13.9056,14.1333,13.6779,13.9462,250838,250838,0.065056,0.469,13.9362,"Jul 19, 16",0.0854425453752996
2016-07-20,13.9462,13.9462,13.6291,13.7999,229689,229689,-0.146374,-1.05,13.7982,"Jul 20, 16",0.07405591357678772
2016-07-21,13.7836,14.2308,13.6941,13.7267,157216,157216,-0.073188,-0.53,13.8437,"Jul 21, 16",0.06835870614239901
2016-07-22,13.6941,14.1227,13.6136,14.0519,245062,245062,0.325276,2.37,13.9587,"Jul 22, 16",0.09366925064599484
2016-07-25,13.8405,14.1739,13.6291,13.808,230916,230916,-0.243957,-1.736,13.8342,"Jul 25, 16",0.074686342268298
2016-07-26,13.7917,14.0926,13.7267,13.7755,255811,255811,-0.032527,-0.236,13.8455,"Jul 26, 16",0.07215684443199148
2016-07-27,13.7673,14.0479,13.7023,13.7023,206644,206644,-0.073187,-0.531,13.7897,"Jul 27, 16",0.06645963699760277
2016-07-28,13.6697,13.7116,13.442,13.4664,159415,159415,-0.235827,-1.721,13.5369,"Jul 28, 16",0.048099374241150676
2016-07-29,13.442,13.7612,13.442,13.6535,392256,392256,0.187034,1.389,13.6341,"Jul 29, 16",0.0626614987080103
2016-08-01,13.5803,13.5803,13.2225,13.3445,260181,260181,-0.309011,-2.263,13.3697,"Aug 1, 16",0.03861181158743503
2016-08-02,13.4014,13.4339,12.8565,12.9541,279389,279389,-0.390331,-2.925,13.0664,"Aug 2, 16",0.00822670527069523
2016-08-03,12.9216,13.255,12.8565,13.1493,347855,347855,0.195165,1.507,13.1371,"Aug 3, 16",0.02341925842906513
2016-08-04,13.1493,13.3526,13.0924,13.1574,98644,98644,0.00813,0.062,13.2158,"Aug 4, 16",0.024049687120575407
2016-08-05,13.2306,13.5803,13.2062,13.4502,153753,153753,0.29275,2.225,13.4635,"Aug 5, 16",0.04683851685813026
2016-08-08,13.4908,13.7429,13.4908,13.6779,116756,116756,0.227697,1.693,13.6599,"Aug 8, 16",0.06456056785280653
2016-08-09,13.6453,13.7348,12.3036,12.3117,661083,661083,-1.3662,-9.988,12.7864,"Aug 9, 16",-0.041771738115251686
2016-08-10,12.2141,12.3848,11.4009,11.5554,456238,456238,-0.756266,-6.143,11.7821,"Aug 10, 16",-0.1006350985336695
2016-08-11,11.6205,12.0352,11.5473,11.8645,219266,219266,0.309015,2.674,11.8567,"Aug 11, 16",-0.07657762834282869
2016-08-12,12.1491,12.6614,11.8645,12.6045,329015,329015,0.740002,6.237,12.4315,"Aug 12, 16",-0.018982908377696835
2016-08-15,12.393,12.7318,12.393,12.6126,256742,256742,0.008131,0.065,12.6042,"Aug 15, 16",-0.018352479686186557
2016-08-16,12.5638,12.5801,12.2873,12.4581,270766,270766,-0.154505,-1.225,12.4338,"Aug 16, 16",-0.03037732324647426
2016-08-17,12.3198,12.8972,12.2223,12.8565,252889,252889,0.398461,3.198,12.6553,"Aug 17, 16",0.0006304286915102786
2016-08-18,12.8972,12.9867,12.7183,12.8728,177632,177632,0.016264,0.127,12.8434,"Aug 18, 16",0.0018990691447962375
2016-08-19,12.6614,13.0517,12.5638,12.8647,210193,210193,-0.008131,-0.063,12.8758,"Aug 19, 16",0.001268640453285959
2016-08-22,12.8647,12.8647,12.4256,12.5069,178547,178547,-0.357804,-2.781,12.5983,"Aug 22, 16",-0.026579184956881784
2016-08-23,12.5069,12.824,12.5069,12.8078,206262,206262,0.300882,2.406,12.7188,"Aug 23, 16",-0.0031599265278166562
2016-08-24,12.7183,13.1493,12.6777,13.068,260685,260685,0.260221,2.032,13.0231,"Aug 24, 16",0.01709162230316614
2016-08-25,12.9785,13.133,12.9053,13.1249,128549,128549,0.056923,0.436,13.0455,"Aug 25, 16",0.021520189284268892
2016-08-26,13.133,13.3851,12.8891,12.9785,178742,178742,-0.146374,-1.115,13.0478,"Aug 26, 16",0.010125774415491466
2016-08-29,12.9704,13.3201,12.8891,12.9135,148578,148578,-0.065058,-0.501,13.0157,"Aug 29, 16",0.005066778742878572
2016-08-30,12.8403,13.0436,12.7346,12.7915,139816,139816,-0.121976,-0.945,12.8148,"Aug 30, 16",-0.004428566981102754
2016-08-31,12.7427,12.7996,12.2141,12.3768,461358,461358,-0.414727,-3.242,12.3885,"Aug 31, 16",-0.03670495937237325
2016-09-01,12.3361,12.5231,12.0759,12.2873,532211,532211,-0.089453,-0.723,12.1876,"Sep 1, 16",-0.04367080726004792
2016-09-02,12.2792,12.6207,12.2751,12.5882,438023,438023,0.300884,2.449,12.4754,"Sep 2, 16",-0.020251548830982794
2016-09-06,12.5631,12.6887,12.1527,12.2029,467735,467735,-0.385267,-3.061,12.3309,"Sep 6, 16",-0.05023971856417921
2016-09-07,12.1443,12.5882,12.1443,12.1862,328942,328942,-0.016751,-0.137,12.3082,"Sep 7, 16",-0.05153949129852747
2016-09-08,12.2029,12.2113,11.6502,12.0941,323336,323336,-0.092128,-0.756,12.0135,"Sep 8, 16",-0.05870769901310674
2016-09-09,11.9098,12.0103,11.1393,11.2146,453123,453123,-0.879417,-7.271,11.3803,"Sep 9, 16",-0.12715980199869237
2016-09-12,11.0136,11.2096,10.6284,10.9969,453868,453868,-0.217759,-1.942,10.9741,"Sep 12, 16",-0.14410354596681296
2016-09-13,10.8377,10.9717,10.218,10.352,448888,448888,-0.644904,-5.864,10.4397,"Sep 13, 16",-0.1942965661093988
2016-09-14,10.3771,10.6451,10.151,10.5279,326552,326552,0.175882,1.699,10.4584,"Sep 14, 16",-0.18060614551228163
2016-09-15,10.5279,10.8629,10.4022,10.6786,218237,218237,0.150758,1.432,10.6954,"Sep 15, 16",-0.16887705862208527
2016-09-16,10.6619,10.7624,10.3352,10.5111,888824,888824,-0.167509,-1.569,10.5197,"Sep 16, 16",-0.1819137013168954
2016-09-19,10.5949,11.1476,10.5371,10.9969,292903,292903,0.485773,4.622,10.9237,"Sep 19, 16",-0.14410354596681296
2016-09-20,10.9969,11.0974,10.5279,10.5446,223622,223622,-0.45227,-4.113,10.6933,"Sep 20, 16",-0.17930637277793335
2016-09-21,10.6284,10.8796,10.6116,10.8294,166881,166881,0.284763,2.701,10.7679,"Sep 21, 16",-0.15714018866162324
2016-09-22,11.1309,11.4994,11.022,11.2565,310245,310245,0.427144,3.944,11.2516,"Sep 22, 16",-0.12389869555742342
2016-09-23,11.2314,11.3486,10.9718,11.0471,216741,216741,-0.209384,-1.86,11.1286,"Sep 23, 16",-0.14019644469350265
2016-09-26,10.9382,10.9885,10.6158,10.6702,342734,342734,-0.376892,-3.412,10.7823,"Sep 26, 16",-0.16953083652439216
2016-09-27,10.6032,11.156,10.553,11.0388,360842,360842,0.368518,3.454,10.8543,"Sep 27, 16",-0.140842439525544
2016-09-28,11.0471,11.1979,10.6032,10.8294,317433,317433,-0.209386,-1.897,10.8251,"Sep 28, 16",-0.15714018866162324
2016-09-29,10.7707,10.9634,10.5529,10.6786,245551,245551,-0.150757,-1.392,10.7473,"Sep 29, 16",-0.16887705862208527
2016-09-30,10.7205,11.1225,10.6032,11.0471,286129,286129,0.368517,3.451,10.9912,"Sep 30, 16",-0.14019644469350265
2016-10-03,10.9717,11.5999,10.9717,11.5497,355057,355057,0.502522,4.549,11.3586,"Oct 3, 16",-0.1010787335388064
2016-10-04,11.5078,11.8679,11.4491,11.5915,213729,213729,0.041877,0.363,11.6183,"Oct 4, 16",-0.097825410167803
2016-10-05,11.7004,11.8512,11.5245,11.5497,237774,237774,-0.041877,-0.361,11.6587,"Oct 5, 16",-0.1010787335388064
2016-10-06,11.4994,11.6376,11.1393,11.6167,182758,182758,0.067003,0.58,11.4671,"Oct 6, 16",-0.0958640764608823
2016-10-07,11.6083,11.7004,11.3068,11.4659,247932,247932,-0.150755,-1.298,11.4677,"Oct 7, 16",-0.10760094642134431
2016-10-10,11.4994,11.7423,11.496,11.6837,150168,150168,0.217758,1.899,11.6565,"Oct 10, 16",-0.09064941938295817
2016-10-11,11.625,11.6502,11.1895,11.2816,183571,183571,-0.402016,-3.441,11.3339,"Oct 11, 16",-0.1219451449207684
2016-10-12,11.3068,11.3821,11.0471,11.2146,135010,135010,-0.067006,-0.594,11.2015,"Oct 12, 16",-0.12715980199869237
2016-10-13,11.1393,11.1644,10.8252,10.9885,185985,185985,-0.226135,-2.016,10.9782,"Oct 13, 16",-0.14475732386911985
2016-10-14,11.0471,11.214,10.8629,10.888,149126,149126,-0.100504,-0.915,10.9707,"Oct 14, 16",-0.15257930948600604
2016-10-17,10.8629,11.0178,10.4916,10.6786,174027,174027,-0.209384,-1.923,10.6935,"Oct 17, 16",-0.16887705862208527
2016-10-18,10.9299,11.0723,10.7791,10.9382,111230,111230,0.259637,2.431,10.9335,"Oct 18, 16",-0.14867220821269572
2016-10-19,11.0471,11.2565,10.9885,11.0723,121192,121192,0.134005,1.225,11.1407,"Oct 19, 16",-0.13823511098658195
2016-10-20,11.0053,11.2481,10.9047,11.0053,129799,129799,-0.067003,-0.605,11.0539,"Oct 20, 16",-0.14344976806450607
2016-10-21,10.8545,11.0806,10.7875,10.8461,196793,196793,-0.159132,-1.446,10.908,"Oct 21, 16",-0.155840415927275
2016-10-24,10.888,11.0764,10.6284,10.7289,176630,176630,-0.117255,-1.081,10.7622,"Oct 24, 16",-0.16496217427850943
2016-10-25,10.6535,10.8294,10.5111,10.553,163898,163898,-0.175882,-1.639,10.5879,"Oct 25, 16",-0.17865259487562646
2016-10-26,10.4692,10.6451,10.3017,10.486,224522,224522,-0.067004,-0.635,10.4875,"Oct 26, 16",-0.18386725195355058
2016-10-27,10.5781,11.0555,10.1761,10.218,342416,342416,-0.268014,-2.556,10.4322,"Oct 27, 16",-0.20472588026524702
2016-10-28,10.2347,10.4106,10.0505,10.0505,229160,229160,-0.167507,-1.639,10.1936,"Oct 28, 16",-0.2177625229600573
2016-10-31,10.0588,10.2515,10.0588,10.1091,181886,181886,0.05863,0.583,10.1381,"Oct 31, 16",-0.2132016437844401
2016-11-01,10.0923,10.1544,9.7489,9.8662,301907,301907,-0.242887,-2.403,9.909,"Nov 1, 16",-0.23210672145948139
2016-11-02,9.7992,10.1928,9.7992,9.8076,157924,157924,-0.058628,-0.594,9.9538,"Nov 2, 16",-0.23666760063509845
2016-11-03,9.8076,9.8997,9.7071,9.7154,121330,121330,-0.092129,-0.939,9.779,"Nov 3, 16",-0.24384359141994327
2016-11-04,9.6484,10.218,9.6317,9.8494,194560,194560,0.134006,1.379,9.9743,"Nov 4, 16",-0.2334142772640952
2016-11-07,10.2012,10.4022,10.0337,10.1761,249761,249761,0.32664,3.316,10.2217,"Nov 7, 16",-0.20798698670651597
2016-11-08,10.0923,10.2347,9.9081,10.2012,151818,151818,0.025125,0.247,10.1338,"Nov 8, 16",-0.20603343606986083
2016-11-09,10.0672,10.9382,9.9508,10.9047,305683,305683,0.703534,6.897,10.5824,"Nov 9, 16",-0.15127953675165778
2016-11-10,11.022,11.6418,11.0136,11.2314,289970,289970,0.326638,2.995,11.3719,"Nov 10, 16",-0.12585224619407856
2016-11-11,11.3151,13.5681,11.3068,13.5681,1029513,1029513,2.3367,20.805,12.9167,"Nov 11, 16",0.05601475670122347
2016-11-14,13.6267,14.2381,13.1966,14.2298,936666,936666,0.661657,4.877,13.7243,"Nov 14, 16",0.1075153326484231
2016-11-15,14.1963,14.28,13.8445,14.2214,234739,234739,-0.008377,-0.059,14.1707,"Nov 15, 16",0.1068615547461162
2016-11-16,13.8948,14.6569,13.8948,14.4559,325468,325468,0.234511,1.649,14.414,"Nov 16, 16",0.1251128545188506
2016-11-17,14.4559,15.3772,14.4308,15.2683,463193,463193,0.812413,5.62,14.9945,"Nov 17, 16",0.1883425173562467
2016-11-18,15.2683,16.0221,15.0338,15.7708,483579,483579,0.502523,3.291,15.685,"Nov 18, 16",0.22745244544067741
