date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,10.36,10.47,10.25,10.46,401295,401295,0.09,0.868,10.408,"Aug 5, 13",0
2013-08-06,10.4,10.49,9.74,9.89,1305496,1305496,-0.57,-5.449,9.9721,"Aug 6, 13",-0.05449330783938817
2013-08-07,9.54,10.91,9.41,10.81,1789695,1789695,0.92,9.302,10.6372,"Aug 7, 13",0.03346080305927339
2013-08-08,10.93,11.46,10.87,11.31,710778,710778,0.5,4.625,11.2357,"Aug 8, 13",0.08126195028680684
2013-08-09,11.22,11.39,10.91,11.35,693035,693035,0.04,0.354,11.2013,"Aug 9, 13",0.08508604206500944
2013-08-12,11.29,11.43,11.08,11.35,414278,414278,0,0,11.2504,"Aug 12, 13",0.08508604206500944
2013-08-13,11.35,11.48,11.2,11.47,626145,626145,0.12,1.057,11.3829,"Aug 13, 13",0.09655831739961757
2013-08-14,11.49,11.68,11.47,11.6,379343,379343,0.13,1.133,11.5702,"Aug 14, 13",0.10898661567877617
2013-08-15,11.5,11.58,11.3,11.58,555666,555666,-0.02,-0.172,11.5025,"Aug 15, 13",0.10707456978967488
2013-08-16,11.5,11.72,11.438,11.69,474354,474354,0.11,0.95,11.6157,"Aug 16, 13",0.11759082217973217
2013-08-19,11.69,11.69,11.34,11.5,393400,393400,-0.19,-1.625,11.5057,"Aug 19, 13",0.0994263862332695
2013-08-20,11.49,11.97,11.33,11.73,462640,462640,0.23,2,11.72,"Aug 20, 13",0.12141491395793494
2013-08-21,11.66,11.67,11.45,11.54,253790,253790,-0.19,-1.62,11.5353,"Aug 21, 13",0.10325047801147211
2013-08-22,11.54,11.95,11.54,11.8,249116,249116,0.26,2.253,11.7999,"Aug 22, 13",0.12810707456978965
2013-08-23,11.77,11.92,11.58,11.7,351059,351059,-0.1,-0.847,11.6831,"Aug 23, 13",0.11854684512428282
2013-08-26,11.7,12.16,11.63,11.98,475728,475728,0.28,2.393,11.9617,"Aug 26, 13",0.14531548757170168
2013-08-27,11.83,11.97,11.555,11.59,330909,330909,-0.39,-3.255,11.6613,"Aug 27, 13",0.10803059273422552
2013-08-28,11.59,12.05,11.52,11.83,476907,476907,0.24,2.071,11.8579,"Aug 28, 13",0.1309751434034416
2013-08-29,11.77,11.95,11.71,11.78,298859,298859,-0.05,-0.423,11.8104,"Aug 29, 13",0.1261950286806882
2013-08-30,11.8,11.83,11.58,11.75,541486,541486,-0.03,-0.255,11.7416,"Aug 30, 13",0.12332695984703623
2013-09-03,11.94,12.02,11.66,11.95,530194,530194,0.2,1.702,11.8044,"Sep 3, 13",0.14244741873804956
2013-09-04,11.98,12.2,11.94,12.19,348793,348793,0.24,2.008,12.1344,"Sep 4, 13",0.16539196940726564
2013-09-05,12.23,12.54,12.17,12.32,480485,480485,0.13,1.066,12.3517,"Sep 5, 13",0.1778202676864244
2013-09-06,12.39,12.509,11.99,12.18,551353,551353,-0.14,-1.136,12.3003,"Sep 6, 13",0.16443594646271498
2013-09-09,12.25,12.46,12.21,12.37,550667,550667,0.19,1.56,12.3576,"Sep 9, 13",0.18260038240917764
2013-09-10,12.41,12.76,12.32,12.75,640790,640790,0.38,3.072,12.6472,"Sep 10, 13",0.21892925430210314
2013-09-11,12.71,12.97,12.58,12.89,544358,544358,0.14,1.098,12.8094,"Sep 11, 13",0.23231357552581258
2013-09-12,12.81,12.82,12.39,12.4,597678,597678,-0.49,-3.801,12.5197,"Sep 12, 13",0.18546845124282976
2013-09-13,12.43,12.53,12.2,12.38,427341,427341,-0.02,-0.161,12.3793,"Sep 13, 13",0.18355640535372847
2013-09-16,12.6,12.64,12.21,12.29,665563,665563,-0.09,-0.727,12.3396,"Sep 16, 13",0.1749521988527723
2013-09-17,12.29,12.36,12.16,12.33,455839,455839,0.04,0.325,12.3064,"Sep 17, 13",0.17877629063097505
