date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.39,9.44,9.27,9.39,307196,307196,0.01,0.107,9.3602,"Aug 5, 13",0
2013-08-06,9.5,9.55,9.31,9.34,254445,254445,-0.05,-0.532,9.3803,"Aug 6, 13",-0.005324813631522972
2013-08-07,9.32,9.39,9.21,9.26,256846,256846,-0.08,-0.857,9.2558,"Aug 7, 13",-0.013844515441959613
2013-08-08,9.32,9.56,9.29,9.54,202252,202252,0.28,3.024,9.497,"Aug 8, 13",0.015974440894568537
2013-08-09,9.47,9.552,9.26,9.28,136883,136883,-0.26,-2.725,9.3081,"Aug 9, 13",-0.0117145899893505
2013-08-12,9.15,9.61,9.15,9.61,258364,258364,0.33,3.556,9.4828,"Aug 12, 13",0.023429179978700622
2013-08-13,9.56,9.84,9.56,9.795,208332,208332,0.185,1.925,9.7332,"Aug 13, 13",0.04313099041533539
2013-08-14,9.78,9.96,9.67,9.71,145037,145037,-0.085,-0.868,9.761,"Aug 14, 13",0.03407880724174657
2013-08-15,9.55,9.57,9.28,9.28,167096,167096,-0.43,-4.428,9.3782,"Aug 15, 13",-0.0117145899893505
2013-08-16,9.23,9.565,9.23,9.49,230072,230072,0.21,2.263,9.4542,"Aug 16, 13",0.010649627263045755
2013-08-19,9.45,9.45,9.31,9.38,187643,187643,-0.11,-1.159,9.376,"Aug 19, 13",-0.0010649627263045567
2013-08-20,9.41,9.57,9.41,9.51,90737,90737,0.13,1.386,9.499,"Aug 20, 13",0.012779552715654868
2013-08-21,9.45,9.75,9.39,9.71,225268,225268,0.2,2.103,9.6197,"Aug 21, 13",0.03407880724174657
2013-08-22,9.74,10.2,9.715,10.2,263014,263014,0.49,5.046,10.0595,"Aug 22, 13",0.08626198083067078
2013-08-23,10.21,10.44,10.17,10.41,249225,249225,0.21,2.059,10.326,"Aug 23, 13",0.10862619808306705
2013-08-26,10.41,10.525,10.27,10.39,513929,513929,-0.02,-0.192,10.4304,"Aug 26, 13",0.10649627263045792
