date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,68.9334,69.2151,68.7354,69.1507,233615,233615,0.20123,0.292,69.0296,"Aug 5, 13",0
2013-08-06,69.1588,69.5854,68.6444,69.1427,319713,319713,-0.00805,-0.012,69.0663,"Aug 6, 13",-0.00011568935672372899
2013-08-07,68.7966,69.0461,68.2331,68.3297,351835,351835,-0.812966,-1.176,68.5806,"Aug 7, 13",-0.011872620233779238
2013-08-08,68.9978,69.1427,68.2492,69.1024,296362,296362,0.772722,1.131,68.7769,"Aug 8, 13",-0.0006984744912198657
2013-08-09,69.03,69.5532,68.5631,69.4807,364246,364246,0.378313,0.547,69.2155,"Aug 9, 13",0.004772185964856441
2013-08-12,68.9897,70.4627,68.9173,70.4225,504544,504544,0.941756,1.355,70.1522,"Aug 12, 13",0.018391715485164994
2013-08-13,70.6076,70.9779,69.8188,70.503,400737,400737,0.080495,0.114,70.4008,"Aug 13, 13",0.01955583963719817
2013-08-14,70.5432,70.7928,70.1408,70.4708,313974,313974,-0.0322,-0.046,70.4302,"Aug 14, 13",0.01909018997638486
2013-08-15,69.6578,70.02,69.3197,69.6176,310869,310869,-0.853214,-1.211,69.6381,"Aug 15, 13",0.006751920081792309
2013-08-16,69.6015,70.4225,69.199,69.3841,455912,455912,-0.233428,-0.335,69.769,"Aug 16, 13",0.0033752369824167094
2013-08-19,69.4324,69.4727,68.7805,68.9173,358385,358385,-0.466853,-0.673,69.0503,"Aug 19, 13",-0.0033752369824167094
2013-08-20,69.0702,69.2956,68.869,69.0541,304873,304873,0.136837,0.199,69.0844,"Aug 20, 13",-0.0013969489824397314
2013-08-21,67.9031,68.0158,66.0357,66.4784,610221,610221,-2.5757,-3.73,66.872,"Aug 21, 13",-0.03864458349662414
2013-08-22,66.7279,67.3799,66.1242,67.3396,453190,453190,0.861264,1.296,66.8227,"Aug 22, 13",-0.026190624245307655
2013-08-23,67.7019,68.0802,66.9131,68.0802,401752,401752,0.740526,1.1,67.6576,"Aug 23, 13",-0.0154806820466025
2013-08-26,68.0802,68.3136,67.2833,67.5167,354427,354427,-0.563444,-0.828,67.8297,"Aug 26, 13",-0.023629551110834746
2013-08-27,66.9935,68.0882,66.4381,66.6555,593405,593405,-0.861265,-1.276,66.8404,"Aug 27, 13",-0.036083510362151024
2013-08-28,66.6635,66.6877,65.9351,66.2932,285197,285197,-0.362215,-0.543,66.3393,"Aug 28, 13",-0.041322792104779876
2013-08-29,66.2771,67.1384,66.0116,66.1484,288886,288886,-0.144885,-0.219,66.4507,"Aug 29, 13",-0.043416769461480584
2013-08-30,66.0357,66.1677,64.8202,65.0134,512992,512992,-1.1349,-1.716,65.2513,"Aug 30, 13",-0.0598301969466686
2013-09-03,65.7781,66.2852,64.8766,65.4964,581319,581319,0.48295,0.743,65.5621,"Sep 3, 13",-0.052845452034469734
2013-09-04,65.6091,65.8666,64.9894,65.77,432108,432108,0.273674,0.418,65.684,"Sep 4, 13",-0.048888876034515985
2013-09-05,65.9552,66.3174,65.77,66.1564,268631,268631,0.386363,0.587,66.0967,"Sep 5, 13",-0.04330108010475665
2013-09-06,66.3898,66.6957,65.2509,66.1323,211818,211818,-0.024147,-0.036,66.2599,"Sep 6, 13",-0.04364959429188713
2013-09-09,66.2208,67.2028,66.1645,67.1706,251107,251107,1.0383,1.57,66.8269,"Sep 9, 13",-0.028634561906097946
2013-09-10,67.7421,67.7984,66.8003,67.5006,406885,406885,0.330015,0.491,67.1779,"Sep 10, 13",-0.023862375941241302
2013-09-11,67.5248,68.048,67.2431,67.9755,264531,264531,0.474903,0.704,67.7122,"Sep 11, 13",-0.016994766502725262
2013-09-12,68.0399,68.4102,67.5811,67.7341,250831,250831,-0.241476,-0.355,67.9165,"Sep 12, 13",-0.020485692841865702
2013-09-13,68.1607,68.5631,67.8789,68.4182,252116,252116,0.684184,1.01,68.2795,"Sep 13, 13",-0.01059280672502233
2013-09-16,69.2372,70.2183,69.2372,69.6669,427257,427257,1.2487,1.825,69.7318,"Sep 16, 13",0.007464855742602718
2013-09-17,69.6831,70.1453,69.5615,70.0318,260711,260711,0.364876,0.524,69.8315,"Sep 17, 13",0.012741736526166815
2013-09-18,69.8453,70.3561,68.7669,70.0967,579052,579052,0.064866,0.093,69.523,"Sep 18, 13",0.013680266432588505
2013-09-19,70.4372,71.3486,70.4048,70.5345,397664,397664,0.437851,0.625,70.8618,"Sep 19, 13",0.02001136647929802
2013-09-20,70.4372,70.7778,69.6102,69.6102,479152,479152,-0.924351,-1.31,69.8526,"Sep 20, 13",0.006644907426822947
2013-09-23,69.6831,69.8695,68.7669,69.1561,560180,560180,-0.454068,-0.652,69.1801,"Sep 23, 13",0.0000780903157884811
2013-09-24,69.3993,70.5994,69.3993,69.8858,425780,425780,0.729753,1.055,70.0511,"Sep 24, 13",0.01063040576595758
