date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,28.3802,28.8507,28.3504,28.707,3786145,3786145,0.247649,0.87,28.59,"Aug 5, 13",0
2013-08-06,28.6377,28.6872,28.1721,28.1919,2124115,2124115,-0.515103,-1.794,28.2725,"Aug 6, 13",-0.017943358762671138
2013-08-07,28.0731,28.2266,27.7264,27.9047,1632019,1632019,-0.287268,-1.019,27.9046,"Aug 7, 13",-0.027947887274880776
2013-08-08,28.083,28.3554,27.9146,27.9443,2446190,2446190,0.039623,0.142,28.0446,"Aug 8, 13",-0.02656843278642848
2013-08-09,27.9146,28.0731,27.657,27.7363,1310671,1310671,-0.208025,-0.744,27.7876,"Aug 9, 13",-0.0338140523217334
2013-08-12,27.4787,27.8997,27.4094,27.449,1745527,1745527,-0.287266,-1.036,27.564,"Aug 12, 13",-0.04382206430487334
2013-08-13,27.558,28.6278,27.5283,28.4891,3671531,3671531,1.0401,3.789,28.2856,"Aug 13, 13",-0.007590483157418058
2013-08-14,28.3603,28.5585,28.0136,28.0434,1812833,1812833,-0.44576,-1.565,28.2564,"Aug 14, 13",-0.023116313094367312
2013-08-15,27.6967,27.8155,27.4688,27.5976,2253215,2253215,-0.445764,-1.59,27.6487,"Aug 15, 13",-0.038645626502246865
2013-08-16,27.4787,27.766,27.1617,27.34,2292708,2292708,-0.25755,-0.933,27.429,"Aug 16, 13",-0.04761904761904765
2013-08-19,27.1915,27.2707,26.8844,26.9933,2454313,2454313,-0.346701,-1.268,27.0039,"Aug 19, 13",-0.059696241334866035
2013-08-20,26.9933,27.1915,26.9042,26.9438,1418474,1418474,-0.049532,-0.183,27.0365,"Aug 20, 13",-0.06142055944543147
2013-08-21,26.8844,27.34,26.7853,27.0032,2223392,2223392,0.059436,0.221,27.0936,"Aug 21, 13",-0.05935137771275302
2013-08-22,27.132,27.4193,27.1023,27.2905,953647,953647,0.287271,1.064,27.2766,"Aug 22, 13",-0.04934336572961296
2013-08-23,27.35,27.5976,27.3004,27.4886,1326030,1326030,0.198113,0.726,27.4447,"Aug 23, 13",-0.04244260981642105
2013-08-26,27.5877,27.8353,27.3103,27.35,1125697,1125697,-0.13868,-0.504,27.551,"Aug 26, 13",-0.047270700526004086
2013-08-27,26.9933,27.1617,26.3693,26.399,1648772,1648772,-0.950959,-3.477,26.6194,"Aug 27, 13",-0.08039850907444177
2013-08-28,26.3792,26.6466,26.29,26.5575,1724857,1724857,0.158494,0.6,26.5071,"Aug 28, 13",-0.07487720764970215
2013-08-29,26.4089,27.1518,26.4089,27.1518,2296825,2296825,0.594345,2.238,26.9719,"Aug 29, 13",-0.054174939910126424
2013-08-30,27.2311,27.2311,26.607,26.6863,1604122,1604122,-0.465571,-1.715,26.7984,"Aug 30, 13",-0.07039049709130182
2013-09-03,27.0726,27.3599,26.815,27.0231,1460060,1460060,0.336797,1.262,27.0402,"Sep 3, 13",-0.05865816699759645
2013-09-04,26.9537,27.34,26.815,27.2905,2071639,2071639,0.267461,0.99,27.1593,"Sep 4, 13",-0.04934336572961296
2013-09-05,27.2806,27.8155,27.2113,27.7957,1783880,1783880,0.505194,1.851,27.6963,"Sep 5, 13",-0.03174487058905496
2013-09-06,27.875,28.1672,27.4391,27.9047,1884294,1884294,0.108965,0.392,27.9319,"Sep 6, 13",-0.027947887274880776
2013-09-09,27.9831,28.8157,27.9831,28.7067,2614102,2614102,0.802022,2.874,28.6263,"Sep 9, 13",-0.0000104504127912809
2013-09-10,28.8752,29.5493,28.8455,29.242,3514767,3514767,0.535276,1.865,29.2996,"Sep 10, 13",0.018636569477827714
2013-09-11,29.2221,29.3114,28.9942,29.123,2008335,2008335,-0.118953,-0.407,29.1438,"Sep 11, 13",0.014491239070609969
2013-09-12,29.1329,29.1528,28.0426,28.1813,3997977,3997977,-0.941689,-3.233,28.461,"Sep 12, 13",-0.01831260668129726
2013-09-13,28.1318,28.4688,27.7353,28.4192,2593753,2593753,0.237902,0.844,28.0807,"Sep 13, 13",-0.010025429337792201
2013-09-16,28.8058,28.9743,28.6076,28.7959,1576899,1576899,0.376677,1.325,28.8017,"Sep 16, 13",0.0030968056571567515
2013-09-17,28.786,29.123,28.7265,29.0933,1559655,1559655,0.297374,1.033,29.0341,"Sep 17, 13",0.013456648204270684
2013-09-18,29.0735,29.2221,28.7067,29.0536,1844617,1844617,-0.039646,-0.136,28.9991,"Sep 18, 13",0.01207371024488796
2013-09-19,29.1627,29.1627,28.6175,28.7463,1770308,1770308,-0.307292,-1.058,28.8318,"Sep 19, 13",0.0013690040756610157
2013-09-20,28.7463,28.786,28.221,28.221,2537066,2537066,-0.525363,-1.828,28.38,"Sep 20, 13",-0.016929668721914537
2013-09-23,28.221,28.221,27.8344,27.9633,1858626,1858626,-0.257729,-0.913,27.9438,"Sep 23, 13",-0.025906573309645745
