date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.6909,5.7797,5.6584,5.6746,26803,26803,-0.092153,-1.598,5.7354,"Aug 5, 13",0
2013-08-06,5.715,5.7554,5.715,5.7474,8693,8693,0.072752,1.282,5.7285,"Aug 6, 13",0.012829098086208716
2013-08-07,5.7716,5.8444,5.7716,5.7878,900,900,0.040416,0.703,5.7869,"Aug 7, 13",0.01994854262855531
2013-08-08,5.7784,5.8848,5.7784,5.8848,2122,2122,0.097004,1.676,5.8206,"Aug 8, 13",0.03704225848517964
2013-08-09,5.8363,5.9721,5.7474,5.7474,2825,2825,-0.13742,-2.335,5.8322,"Aug 9, 13",0.012829098086208716
2013-08-12,5.7312,5.7797,5.618,5.7312,17087,17087,-0.016168,-0.281,5.6755,"Aug 12, 13",0.009974271314277734
2013-08-13,5.6989,5.7069,5.6989,5.7069,1961,1961,-0.024248,-0.423,5.6993,"Aug 13, 13",0.005692031156381105
2013-08-14,5.7747,5.7747,5.6342,5.6342,1900,1900,-0.072754,-1.275,5.766,"Aug 14, 13",-0.0071194445423465955
2013-08-15,5.5776,5.618,5.5534,5.5614,2700,2700,-0.072752,-1.291,5.5829,"Aug 15, 13",-0.01994854262855531
2013-08-19,5.6019,5.6019,5.6019,5.6019,100,100,0.04042,0.727,5.6019,"Aug 19, 13",-0.0128114756987277
2013-08-20,5.6504,5.7797,5.6261,5.6342,3069,3069,0.032332,0.577,5.7313,"Aug 20, 13",-0.0071194445423465955
2013-08-21,5.6342,5.6342,5.6099,5.6099,1600,1600,-0.02425,-0.43,5.6195,"Aug 21, 13",-0.011401684700243225
2013-08-22,5.5695,5.5695,5.5695,5.5695,700,700,-0.040418,-0.72,5.5695,"Aug 22, 13",-0.01852112924258982
2013-08-23,5.658,5.6584,5.6576,5.6584,2775,2775,0.088838,1.595,5.658,"Aug 23, 13",-0.002854826771930982
2013-08-27,5.5622,5.6584,5.5622,5.6584,2080,2080,0.000081,0.001,5.6305,"Aug 27, 13",-0.002854826771930982
2013-08-29,5.6584,5.6746,5.6504,5.6665,1678,1678,0.008085,0.143,5.6614,"Aug 29, 13",-0.001427413385965491
2013-08-30,5.5615,5.5615,5.5614,5.5614,466,466,-0.105088,-1.855,5.5615,"Aug 30, 13",-0.01994854262855531
2013-09-03,5.6584,5.715,5.6584,5.6989,2137,2137,0.137421,2.471,5.6678,"Sep 3, 13",0.004282240157896629
2013-09-04,5.5776,5.6342,5.5534,5.5938,1340,1340,-0.105086,-1.844,5.5739,"Sep 4, 13",-0.014238889084693191
2013-09-05,5.7304,5.8684,5.6733,5.8684,500,500,0.274587,4.909,5.7807,"Sep 5, 13",0.03415218693828647
2013-09-06,5.8447,5.8447,5.608,5.6324,7012,7012,-0.235911,-4.02,5.7133,"Sep 6, 13",-0.007436647517005646
2013-09-09,5.6324,5.959,5.5998,5.5998,4704,4704,-0.032648,-0.58,5.6592,"Sep 9, 13",-0.013181545835829795
2013-09-10,5.6324,5.6814,5.6324,5.6406,4561,4561,0.040811,0.729,5.6345,"Sep 10, 13",-0.0059916117435589835
2013-09-11,5.6406,5.6406,5.6243,5.6243,3447,3447,-0.016323,-0.289,5.6321,"Sep 11, 13",-0.008864060902971137
2013-09-12,5.6324,5.7141,5.5345,5.714,5942,5942,0.089712,1.595,5.6284,"Sep 12, 13",0.006943220667536134
2013-09-13,5.6733,5.6733,5.6733,5.6733,588,588,-0.040737,-0.713,5.6733,"Sep 13, 13",-0.00022909103725366278
2013-09-17,5.6324,5.6651,5.6243,5.6651,2219,2219,-0.008163,-0.144,5.6484,"Sep 17, 13",-0.001674126810700325
2013-09-18,5.7059,5.7059,5.51,5.639,14982,14982,-0.026121,-0.461,5.5715,"Sep 18, 13",-0.006273569943255847
2013-09-19,5.4692,5.6488,5.3467,5.3467,10970,10970,-0.292235,-5.182,5.4373,"Sep 19, 13",-0.05778380855038234
2013-09-20,5.4529,5.55,5.412,5.412,10917,10917,0.065305,1.221,5.4624,"Sep 20, 13",-0.04627638952525287
2013-09-23,5.4202,5.5508,5.4202,5.5507,4527,4527,0.138689,2.563,5.5312,"Sep 23, 13",-0.021834138089028284
2013-09-24,5.5508,5.608,5.5508,5.608,2750,2750,0.057303,1.032,5.5888,"Sep 24, 13",-0.01173651006238329
2013-09-25,5.5671,5.6978,5.5345,5.5345,15085,15085,-0.073547,-1.311,5.6291,"Sep 25, 13",-0.024688964860959266
2013-09-26,5.5916,5.6389,5.461,5.461,4800,4800,-0.07347,-1.327,5.548,"Sep 26, 13",-0.0376414196595354
2013-09-27,5.4447,5.51,5.3059,5.4365,15589,15589,-0.024488,-0.448,5.4012,"Sep 27, 13",-0.041958904592394215
2013-09-30,5.6651,5.6651,5.3876,5.4447,6686,6686,0.008165,0.15,5.4985,"Sep 30, 13",-0.04051386881894755
2013-10-01,5.4937,5.6188,5.4529,5.5508,7994,7994,0.106119,1.949,5.497,"Oct 1, 13",-0.02181651570154727
2013-10-02,5.608,5.608,5.3484,5.5671,5100,5100,0.016324,0.294,5.5568,"Oct 2, 13",-0.018944066542135117
2013-10-03,5.5508,5.5916,5.4284,5.4773,3600,3600,-0.089792,-1.613,5.5558,"Oct 3, 13",-0.034768970500123404
2013-10-04,5.51,5.5263,5.4202,5.4773,600,600,0,0,5.4814,"Oct 4, 13",-0.034768970500123404
2013-10-07,5.412,5.5916,5.412,5.5018,2084,2084,0.024489,0.447,5.5248,"Oct 7, 13",-0.030451485567264586
2013-10-08,5.5182,5.5255,5.51,5.51,3800,3800,0.008165,0.148,5.5169,"Oct 8, 13",-0.02900644979381808
2013-10-09,5.4773,5.51,5.3876,5.3957,5500,5500,-0.114286,-2.074,5.4622,"Oct 9, 13",-0.049148838684665026
2013-10-10,5.559,5.559,5.3712,5.3712,6730,6730,-0.024487,-0.454,5.4208,"Oct 10, 13",-0.05346632361752368
2013-10-11,5.3876,5.3876,5.3876,5.3876,700,700,0.016328,0.304,5.3876,"Oct 11, 13",-0.05057625207063052
2013-10-14,5.4284,5.4284,5.3876,5.3876,4850,4850,0,0,5.3924,"Oct 14, 13",-0.05057625207063052
2013-10-15,5.3876,5.4855,5.3876,5.4202,15256,15256,0.032652,0.606,5.3946,"Oct 15, 13",-0.04483135375180621
2013-10-16,5.4284,5.4284,5.3467,5.3467,6675,6675,-0.073469,-1.355,5.3905,"Oct 16, 13",-0.05778380855038234
2013-10-17,5.3876,5.51,5.3631,5.3631,3950,3950,0.016327,0.305,5.4117,"Oct 17, 13",-0.05489373700348917
2013-10-18,5.3876,5.5756,5.3549,5.3876,8931,8931,0.02449,0.457,5.4136,"Oct 18, 13",-0.05057625207063052
2013-10-21,5.3549,5.5345,5.3549,5.5345,4854,4854,0.146933,2.727,5.4052,"Oct 21, 13",-0.024688964860959266
2013-10-22,5.5263,5.5345,5.3876,5.3929,4708,4708,-0.141628,-2.559,5.4428,"Oct 22, 13",-0.04964226553413454
2013-10-23,5.4529,5.5018,5.4365,5.5018,4200,4200,0.108975,2.021,5.4669,"Oct 23, 13",-0.030451485567264586
2013-10-24,5.4447,5.51,5.4447,5.51,1911,1911,0.008165,0.148,5.5066,"Oct 24, 13",-0.02900644979381808
2013-10-25,5.51,5.5916,5.51,5.5753,2600,2600,0.065302,1.185,5.5596,"Oct 25, 13",-0.017499030768688455
2013-10-28,5.5671,5.5916,5.51,5.51,900,900,-0.065302,-1.171,5.5707,"Oct 28, 13",-0.02900644979381808
2013-10-30,5.5427,5.5753,5.5427,5.5704,4681,4681,0.060404,1.096,5.5596,"Oct 30, 13",-0.01836252775526022
2013-10-31,5.559,5.5671,5.5263,5.5671,3448,3448,-0.003266,-0.059,5.5324,"Oct 31, 13",-0.018944066542135117
2013-11-01,5.5671,5.5753,5.5671,5.5753,2913,2913,0.008164,0.147,5.5749,"Nov 1, 13",-0.017499030768688455
