date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-11-21,15.2863,15.2863,15.2163,15.2163,7000,7000,15.2163,0,15.2529,"Nov 21, 14",0
2014-11-24,15.3563,15.7413,15.2076,15.3826,6832,6832,0.166251,1.093,15.3924,"Nov 24, 14",0.01092906948469731
2014-11-25,15.3651,15.3651,15.2981,15.2981,4426,4426,-0.084441,-0.549,15.333,"Nov 25, 14",0.005375814094096425
2014-11-26,15.3563,20.3001,15.3301,20.3001,2817,2817,5.002,32.697,15.7593,"Nov 26, 14",0.33410224561818574
2014-11-28,15.8288,15.8638,15.7151,15.7413,111605,111605,-4.5588,-22.457,15.7819,"Nov 28, 14",0.03450247432030128
2014-12-01,15.8376,15.8638,15.5926,15.6626,450011,450011,-0.07875,-0.5,15.7055,"Dec 1, 14",0.02933038912219127
2014-12-02,15.7151,15.7676,15.6451,15.7501,567380,567380,0.087502,0.559,15.7203,"Dec 2, 14",0.03508080150890817
2014-12-03,15.8988,15.9163,15.7676,15.8463,798088,798088,0.096249,0.611,15.8398,"Dec 3, 14",0.04140296918436144
2014-12-04,15.8726,15.9426,15.8288,15.8901,804024,804024,0.043749,0.276,15.8786,"Dec 4, 14",0.04428146132765521
2014-12-05,15.8376,15.9426,15.8026,15.9163,837178,837178,0.026251,0.165,15.8925,"Dec 5, 14",0.04600329909373496
2014-12-08,15.8026,15.8551,15.7326,15.7763,828344,828344,-0.140002,-0.88,15.8005,"Dec 8, 14",0.03680263927498804
2014-12-09,15.6888,15.7851,15.6451,15.7151,732309,732309,-0.061248,-0.388,15.694,"Dec 9, 14",0.03278063655422141
2014-12-10,15.6976,15.7237,15.4876,15.4963,890986,890986,-0.218751,-1.392,15.6,"Dec 10, 14",0.01840131963749396
2014-12-11,15.5576,15.615,15.4876,15.5313,813202,813202,0.034998,0.226,15.5548,"Dec 11, 14",0.02070148459218072
2014-12-12,15.5138,15.5838,15.1638,15.2251,1257783,1257783,-0.30625,-1.972,15.3586,"Dec 12, 14",0.0005783271886068906
2014-12-15,15.3213,15.3563,15.0151,15.0326,993134,993134,-0.1925,-1.264,15.113,"Dec 15, 14",-0.012072580062170171
2014-12-16,15.0238,15.3301,14.9976,15.0676,1063121,1063121,0.034999,0.233,15.1584,"Dec 16, 14",-0.00977241510748341
2014-12-17,15.1288,15.2776,15.0326,15.1988,688919,688919,0.13125,0.871,15.1674,"Dec 17, 14",-0.0011500824773433799
2014-12-18,15.2776,15.4088,15.2251,15.4001,759915,759915,0.201253,1.324,15.3249,"Dec 18, 14",0.012079151962040688
2014-12-19,15.1638,15.2658,15.1113,15.2076,1021196,1021196,-0.192501,-1.25,15.1824,"Dec 19, 14",-0.0005717552887364891
2014-12-22,15.2688,15.3476,15.2644,15.3388,701889,701889,0.131249,0.863,15.3057,"Dec 22, 14",0.008050577341403659
2014-12-23,15.3126,15.4088,15.2863,15.3126,1097125,1097125,-0.026249,-0.171,15.3404,"Dec 23, 14",0.00632873957532379
2014-12-24,15.2863,15.4263,15.2776,15.4088,450226,450226,0.096251,0.629,15.3838,"Dec 24, 14",0.012650907250777062
2014-12-26,15.3301,15.5051,15.3213,15.4613,531820,531820,0.052502,0.341,15.4404,"Dec 26, 14",0.016101154682807203
2014-12-29,15.1901,15.2207,15.1113,15.1463,813893,813893,-0.315004,-2.037,15.1787,"Dec 29, 14",-0.004600329909373519
2014-12-30,15.1026,15.1813,15.0763,15.1113,601205,601205,-0.035,-0.231,15.1343,"Dec 30, 14",-0.006900494864060279
2014-12-31,15.0763,15.0947,14.9013,14.9188,561290,561290,-0.1925,-1.274,14.9853,"Dec 31, 14",-0.019551402114837458
2015-01-02,14.9188,15.1376,14.8751,14.9538,1438216,1438216,0.034998,0.235,14.9941,"Jan 2, 15",-0.017251237160150697
2015-01-05,14.7088,14.7176,14.4376,14.5251,1406023,1406023,-0.428749,-2.867,14.5384,"Jan 5, 15",-0.04542497190512807
2015-01-06,14.5426,14.5776,14.3063,14.3588,744680,744680,-0.166252,-1.145,14.4304,"Jan 6, 15",-0.05635404138982538
2015-01-07,14.5338,14.6563,14.4288,14.6038,809760,809760,0.245,1.706,14.5636,"Jan 7, 15",-0.040252886707018175
2015-01-08,14.5251,14.6476,14.5163,14.5688,1103924,1103924,-0.035,-0.24,14.578,"Jan 8, 15",-0.042553051661704935
2015-01-09,14.5163,14.5338,14.3763,14.4726,820412,820412,-0.096251,-0.661,14.4693,"Jan 9, 15",-0.04887521933715821
2015-01-12,14.3676,14.4288,14.2713,14.3326,1159481,1159481,-0.14,-0.967,14.3515,"Jan 12, 15",-0.05807587915590525
2015-01-13,14.5688,14.7219,14.4026,14.5163,1722594,1722594,0.183753,1.282,14.5626,"Jan 13, 15",-0.04600329909373508
2015-01-14,14.4726,14.5076,14.2276,14.4201,2195439,2195439,-0.096252,-0.663,14.3877,"Jan 14, 15",-0.052325466769188346
2015-01-15,14.7876,14.8576,14.1488,14.4638,9113910,9113910,0.043751,0.303,14.3505,"Jan 15, 15",-0.0494535465257651
2015-01-16,14.0176,14.3326,14.0088,14.2013,2733547,2733547,-0.262503,-1.815,14.1574,"Jan 16, 15",-0.0667047836859158
2015-01-20,14.6913,14.6913,14.3501,14.4901,1583356,1583356,0.288752,2.033,14.5214,"Jan 20, 15",-0.04772513685981483
2015-01-21,14.5076,14.7613,14.4726,14.6913,2005939,2005939,0.201251,1.389,14.6544,"Jan 21, 15",-0.03450247432030128
2015-01-22,14.9013,15.1026,14.8663,15.0851,1395508,1395508,0.393752,2.68,15.0133,"Jan 22, 15",-0.008622332630140032
2015-01-23,15.1551,15.2863,15.0413,15.1726,1653786,1653786,0.087501,0.58,15.2085,"Jan 23, 15",-0.002871920243423249
2015-01-26,15.1726,15.2251,15.0632,15.0938,776580,776580,-0.078751,-0.519,15.1324,"Jan 26, 15",-0.008050577341403659
2015-01-27,14.9363,15.0763,14.8751,15.0151,852584,852584,-0.078751,-0.522,14.973,"Jan 27, 15",-0.01322266253951355
2015-01-28,14.8138,14.8138,14.4769,14.5251,1328402,1328402,-0.49,-3.263,14.6613,"Jan 28, 15",-0.04542497190512807
2015-01-29,14.6388,14.7526,14.5776,14.7438,1393144,1393144,0.218749,1.506,14.6756,"Jan 29, 15",-0.03105222688827114
2015-01-30,14.5951,14.7351,14.5601,14.5951,1389421,1389421,-0.148751,-1.009,14.6505,"Jan 30, 15",-0.04082464199575455
2015-02-02,14.5076,14.7832,14.4988,14.7701,1420520,1420520,0.175004,1.199,14.6275,"Feb 2, 15",-0.02932381722232087
2015-02-03,14.8576,15.1201,14.8576,15.0326,946476,946476,0.262499,1.777,14.9812,"Feb 3, 15",-0.012072580062170171
2015-02-04,15.1813,15.4088,15.1726,15.2601,1001968,1001968,0.2275,1.513,15.2972,"Feb 4, 15",0.0028784921432936502
2015-02-05,15.1026,15.2863,15.0938,15.2601,690787,690787,0,0,15.1995,"Feb 5, 15",0.0028784921432936502
2015-02-06,15.2776,15.3694,15.1376,15.1988,896339,896339,-0.061251,-0.401,15.2463,"Feb 6, 15",-0.0011500824773433799
2015-02-09,15.0588,15.2426,15.0501,15.1726,721045,721045,-0.026248,-0.173,15.1643,"Feb 9, 15",-0.002871920243423249
2015-02-10,14.5426,14.8226,14.5076,14.8138,2091170,2091170,-0.358752,-2.364,14.7194,"Feb 10, 15",-0.026451896978897618
2015-02-11,14.4988,14.4988,14.3151,14.4726,2036236,2036236,-0.341253,-2.304,14.4073,"Feb 11, 15",-0.04887521933715821
2015-02-12,14.8051,14.9888,14.7744,14.8576,1473084,1473084,0.385002,2.66,14.8623,"Feb 12, 15",-0.02357340483560397
2015-02-13,15.0151,15.0851,14.9626,15.0413,1204643,1204643,0.183752,1.237,15.0377,"Feb 13, 15",-0.011500824773433798
2015-02-17,15.2338,15.2776,15.1201,15.2076,998332,998332,0.166251,1.105,15.1976,"Feb 17, 15",-0.0005717552887364891
2015-02-18,15.2776,15.3126,15.1726,15.2251,624740,624740,0.017499,0.115,15.2377,"Feb 18, 15",0.0005783271886068906
2015-02-19,15.2076,15.2513,15.1551,15.1726,1468593,1468593,-0.052499,-0.345,15.1954,"Feb 19, 15",-0.002871920243423249
2015-02-20,15.1201,15.4744,15.085,15.4351,1049526,1049526,0.2625,1.73,15.3133,"Feb 20, 15",0.014379316916727449
2015-02-23,15.2426,15.3301,15.1638,15.1988,825745,825745,-0.236252,-1.531,15.2302,"Feb 23, 15",-0.0011500824773433799
2015-02-24,15.1638,15.2469,15.1551,15.1901,835136,835136,-0.00875,-0.058,15.2085,"Feb 24, 15",-0.001721837766079869
2015-02-25,15.2163,15.4526,15.1901,15.2951,1864574,1864574,0.105002,0.691,15.2893,"Feb 25, 15",0.00517865709798041
2015-02-26,15.2251,15.3388,15.2163,15.2688,1104710,1104710,-0.02625,-0.172,15.2701,"Feb 26, 15",0.0034502474320301396
2015-02-27,15.3738,15.4613,15.3038,15.3038,1218474,1218474,0.035,0.229,15.3734,"Feb 27, 15",0.005750412386716899
2015-03-02,15.2076,15.3213,15.1813,15.2951,4052165,4052165,-0.00875,-0.057,15.2492,"Mar 2, 15",0.00517865709798041
2015-03-03,15.3563,15.4088,15.2338,15.3038,2215555,2215555,0.00875,0.057,15.3153,"Mar 3, 15",0.005750412386716899
2015-03-04,15.3738,15.4438,15.2513,15.4176,1620235,1620235,0.113749,0.743,15.3766,"Mar 4, 15",0.013229234439384068
2015-03-05,15.4088,15.4526,15.3213,15.3826,1419519,1419519,-0.034997,-0.227,15.3909,"Mar 5, 15",0.01092906948469731
2015-03-06,15.4701,15.5576,15.3038,15.3476,2909704,2909704,-0.035002,-0.228,15.4366,"Mar 6, 15",0.008628904530010549
2015-03-09,15.3651,15.3913,15.2513,15.2951,1850879,1850879,-0.0525,-0.342,15.2995,"Mar 9, 15",0.00517865709798041
2015-03-10,15.1551,15.2032,15.0632,15.1026,1911639,1911639,-0.192502,-1.259,15.1353,"Mar 10, 15",-0.007472250152796652
2015-03-11,15.0413,15.1201,14.9888,15.0326,1168684,1168684,-0.069999,-0.463,15.0622,"Mar 11, 15",-0.012072580062170171
2015-03-12,15.1376,15.1988,15.0851,15.1901,1019907,1019907,0.157499,1.048,15.148,"Mar 12, 15",-0.001721837766079869
2015-03-13,15.2338,15.4176,15.1813,15.4001,1311742,1311742,0.210003,1.383,15.3008,"Mar 13, 15",0.012079151962040688
2015-03-16,15.6626,15.7326,15.6276,15.6713,1542476,1542476,0.271251,1.761,15.6827,"Mar 16, 15",0.02990214441092776
2015-03-17,15.5051,15.6013,15.4526,15.5576,1415377,1415377,-0.113752,-0.726,15.5401,"Mar 17, 15",0.02242989425813111
2015-03-18,15.6713,16.0388,15.6538,15.9863,2022231,2022231,0.428752,2.756,15.8553,"Mar 18, 15",0.050603629003108476
2015-03-19,15.9076,15.9777,15.8463,15.8726,1171222,1171222,-0.113751,-0.712,15.9009,"Mar 19, 15",0.043131378850311826
2015-03-20,16.3538,16.4851,16.2576,16.3626,1617912,1617912,0.490001,3.087,16.3752,"Mar 20, 15",0.07533368821592634
2015-03-23,16.5638,16.7126,16.5376,16.6601,2021653,2021653,0.297502,1.818,16.6321,"Mar 23, 15",0.09488509033076369
2015-03-24,16.8176,16.8861,16.7213,16.7476,1873740,1873740,0.087502,0.525,16.791,"Mar 24, 15",0.10063550271748047
