date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,17.6678,17.8776,17.6678,17.8776,926,926,0.251795,1.429,17.8364,"Aug 5, 13",0
2013-08-06,17.6259,17.735,17.6259,17.7098,3463,3463,-0.167861,-0.939,17.6314,"Aug 6, 13",-0.00938604734416251
2013-08-07,17.7518,17.9952,17.7434,17.7853,2059,2059,0.075537,0.427,17.8132,"Aug 7, 13",-0.005162885398487582
2013-08-08,17.8357,17.8357,17.8357,17.8357,663,663,0.050359,0.283,17.8357,"Aug 8, 13",-0.0023437150400502206
2013-08-09,17.8348,17.8348,17.8348,17.8348,200,200,-0.000836,-0.005,17.8348,"Aug 9, 13",-0.0023940573678793422
2013-08-12,17.5251,17.9531,17.5251,17.9448,1782,1782,0.109952,0.617,17.6563,"Aug 12, 13",0.0037588938112498153
2013-08-13,17.5185,18.0371,17.4457,18.0371,1680,1680,0.092326,0.515,17.6026,"Aug 13, 13",0.0089217792097372
2013-08-14,17.6259,17.7601,17.4412,17.4412,6831,6831,-0.595923,-3.304,17.6435,"Aug 14, 13",-0.024410435405199944
2013-08-15,17.7014,17.7517,17.6259,17.6342,2000,2000,0.193046,1.107,17.651,"Aug 15, 13",-0.013614802881818653
2013-08-16,17.7266,17.7266,17.6259,17.7097,2100,2100,0.075452,0.428,17.68,"Aug 16, 13",-0.009391640936143525
2013-08-19,17.7434,18.0195,17.6594,17.693,2445,2445,-0.016701,-0.094,17.7391,"Aug 19, 13",-0.010325770796974965
2013-08-20,17.6426,17.6594,17.5251,17.5251,7850,7850,-0.167866,-0.949,17.6251,"Aug 20, 13",-0.019717411733118688
2013-08-21,17.6259,17.6259,17.6259,17.6259,100,100,0.10072,0.575,17.6259,"Aug 21, 13",-0.014079071016243767
2013-08-22,18.0286,18.0286,17.4161,17.458,570,570,-0.167864,-0.952,17.578,"Aug 22, 13",-0.02347071195238749
2013-08-23,17.6007,17.6175,17.6007,17.6175,1300,1300,0.159471,0.913,17.6078,"Aug 23, 13",-0.014548932742650093
2013-08-26,17.6259,17.8776,17.3992,17.8768,2451,2451,0.259353,1.472,17.5632,"Aug 26, 13",-0.00004474873584830672
2013-08-28,17.6259,17.7751,17.6259,17.7751,700,700,-0.101727,-0.569,17.6472,"Aug 28, 13",-0.00573343178055235
2013-08-29,17.6259,17.9196,17.6259,17.9196,5634,5634,0.144533,0.813,17.7163,"Aug 29, 13",0.002349308632031035
2013-08-30,17.7098,17.7098,17.4832,17.7098,500,500,-0.209832,-1.171,17.6645,"Aug 30, 13",-0.00938604734416251
