date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-11-06,11,11.35,9.62,9.75,2617636,2617636,9.75,0,10.5686,"Nov 6, 14",0
2014-11-07,9.84,11.42,9.6,10.81,369656,369656,1.06,10.872,10.5603,"Nov 7, 14",0.10871794871794876
2014-11-10,10.77,11.4999,10.7525,11.29,116595,116595,0.48,4.44,11.2163,"Nov 10, 14",0.15794871794871787
2014-11-11,11.48,11.48,10.55,11.19,52880,52880,-0.1,-0.886,10.8785,"Nov 11, 14",0.14769230769230765
2014-11-12,11,11.1,10.51,11.02,43831,43831,-0.17,-1.519,10.9335,"Nov 12, 14",0.13025641025641022
2014-11-13,11.18,11.18,10.76,10.81,63703,63703,-0.21,-1.906,10.9283,"Nov 13, 14",0.10871794871794876
2014-11-14,10.75,11,10.75,10.8,32877,32877,-0.01,-0.093,10.8387,"Nov 14, 14",0.10769230769230777
2014-11-17,11.3,11.3,10.8,11,119062,119062,0.2,1.852,11.0301,"Nov 17, 14",0.1282051282051282
2014-11-18,10.77,11.08,10.75,11.08,119652,119652,0.08,0.727,10.9415,"Nov 18, 14",0.13641025641025642
2014-11-19,10.78,11,10.78,10.94,17377,17377,-0.14,-1.264,10.938,"Nov 19, 14",0.122051282051282
2014-11-20,10.8,10.99,10.54,10.9,38161,38161,-0.04,-0.366,10.7437,"Nov 20, 14",0.11794871794871799
2014-11-21,10.9,11.19,10.701,11.03,151435,151435,0.13,1.193,10.9691,"Nov 21, 14",0.13128205128205123
2014-11-24,10.9753,11.22,10.97,11.15,39554,39554,0.12,1.088,11.1003,"Nov 24, 14",0.14358974358974363
2014-11-25,11.19,12.2,11.1154,11.6,101793,101793,0.45,4.036,11.6853,"Nov 25, 14",0.1897435897435897
2014-11-26,11.741,11.92,11.656,11.86,50830,50830,0.26,2.241,11.7639,"Nov 26, 14",0.21641025641025635
2014-11-28,12,12.1,11.48,12.1,28519,28519,0.24,2.024,11.878,"Nov 28, 14",0.241025641025641
2014-12-01,12.1,12.1,11.52,11.94,121768,121768,-0.16,-1.322,11.8221,"Dec 1, 14",0.22461538461538458
2014-12-02,11.89,11.89,11.58,11.7,123674,123674,-0.24,-2.01,11.718,"Dec 2, 14",0.19999999999999993
2014-12-03,11.7,12.06,11.4,11.81,275319,275319,0.11,0.94,11.7654,"Dec 3, 14",0.21128205128205133
2014-12-04,11.83,11.85,10.4,10.69,109477,109477,-1.12,-9.483,10.968,"Dec 4, 14",0.09641025641025636
2014-12-05,10.8,11.45,10.2201,11.16,206185,206185,0.47,4.397,10.9942,"Dec 5, 14",0.14461538461538462
2014-12-08,11.2,11.3577,10.4,10.77,149037,149037,-0.39,-3.495,10.8248,"Dec 8, 14",0.10461538461538457
2014-12-09,10.7,10.89,10.47,10.53,87379,87379,-0.24,-2.228,10.645,"Dec 9, 14",0.07999999999999993
2014-12-10,10.5,10.68,9.81,10,78421,78421,-0.53,-5.033,10.267,"Dec 10, 14",0.02564102564102564
2014-12-11,9.828,10.2,8.73,9.78,74099,74099,-0.22,-2.2,9.6724,"Dec 11, 14",0.0030769230769230114
2014-12-12,9.65,10.42,8.6516,10.22,38752,38752,0.44,4.499,9.8861,"Dec 12, 14",0.04820512820512827
2014-12-15,10.38,10.38,9.61,9.93,36919,36919,-0.29,-2.838,10.1369,"Dec 15, 14",0.018461538461538432
2014-12-16,9.73,9.92,9.02,9.16,108488,108488,-0.77,-7.754,9.3556,"Dec 16, 14",-0.060512820512820496
2014-12-17,8.82,9.9,8.6,9,138598,138598,-0.16,-1.747,8.9731,"Dec 17, 14",-0.07692307692307693
2014-12-18,9.13,9.23,8.71,9.1,45141,45141,0.1,1.111,9.0659,"Dec 18, 14",-0.06666666666666671
2014-12-19,9.02,9.54,9,9.06,130768,130768,-0.04,-0.44,9.1051,"Dec 19, 14",-0.07076923076923072
2014-12-22,10.26,10.26,9.15,9.4,28091,28091,0.34,3.753,9.3004,"Dec 22, 14",-0.03589743589743586
2014-12-23,9.47,9.47,8.95,9.06,39880,39880,-0.34,-3.617,9.0577,"Dec 23, 14",-0.07076923076923072
2014-12-24,8.99,9.35,8.92,9.22,23213,23213,0.16,1.766,9.0241,"Dec 24, 14",-0.05435897435897429
2014-12-26,9.19,10.45,9,10.34,52985,52985,1.12,12.148,9.2324,"Dec 26, 14",0.060512820512820496
2014-12-29,10.25,10.25,9.5163,9.67,29920,29920,-0.67,-6.48,9.7524,"Dec 29, 14",-0.008205128205128212
2014-12-30,9.71,9.892,9.45,9.52,15960,15960,-0.15,-1.551,9.5888,"Dec 30, 14",-0.023589743589743632
2014-12-31,9.6,9.6,9.41,9.56,47888,47888,0.04,0.42,9.5286,"Dec 31, 14",-0.019487179487179436
2015-01-02,9.67,9.75,9.475,9.51,14610,14610,-0.05,-0.523,9.6489,"Jan 2, 15",-0.024615384615384636
2015-01-05,9.72,10.37,9.5,10.05,36414,36414,0.54,5.678,9.8728,"Jan 5, 15",0.030769230769230844
2015-01-06,10.1301,10.15,9.4355,9.58,34339,34339,-0.47,-4.677,9.7621,"Jan 6, 15",-0.017435897435897428
2015-01-07,9.5275,10.02,9.224,9.545,89798,89798,-0.035,-0.365,9.614,"Jan 7, 15",-0.021025641025641032
