date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.22,1.26,1.15,1.17,774026,774026,-0.03,-2.5,1.2081,"Aug 5, 13",0
2013-08-06,1.16,1.2,1.15,1.15,442163,442163,-0.02,-1.709,1.1669,"Aug 6, 13",-0.01709401709401711
2013-08-07,1.13,1.15,1.13,1.13,314190,314190,-0.02,-1.739,1.1355,"Aug 7, 13",-0.03418803418803422
2013-08-08,1.12,1.17,1.12,1.16,401789,401789,0.03,2.655,1.1567,"Aug 8, 13",-0.008547008547008555
2013-08-09,1.16,1.2,1.15,1.19,239556,239556,0.03,2.586,1.1813,"Aug 9, 13",0.01709401709401711
2013-08-12,1.19,1.2,1.17,1.18,439892,439892,-0.01,-0.84,1.1806,"Aug 12, 13",0.008547008547008555
2013-08-13,1.19,1.22,1.17,1.21,272937,272937,0.03,2.542,1.2038,"Aug 13, 13",0.03418803418803422
2013-08-14,1.16,1.17,1.13,1.16,554514,554514,-0.05,-4.132,1.1423,"Aug 14, 13",-0.008547008547008555
2013-08-15,1.15,1.15,0.92,1.06,2424891,2424891,-0.1,-8.621,1.0414,"Aug 15, 13",-0.09401709401709392
2013-08-16,1.06,1.08,1.03,1.08,547450,547450,0.02,1.887,1.0562,"Aug 16, 13",-0.0769230769230768
2013-08-19,1.05,1.08,1.01,1.07,402408,402408,-0.01,-0.926,1.0505,"Aug 19, 13",-0.08547008547008536
2013-08-20,1.07,1.135,1.05,1.13,276638,276638,0.06,5.607,1.1079,"Aug 20, 13",-0.03418803418803422
2013-08-21,1.12,1.12,1.075,1.11,270097,270097,-0.02,-1.77,1.0958,"Aug 21, 13",-0.05128205128205114
2013-08-22,1.11,1.14,1.09,1.14,94161,94161,0.03,2.703,1.1236,"Aug 22, 13",-0.025641025641025664
2013-08-23,1.15,1.15,1.11,1.12,150908,150908,-0.02,-1.754,1.1193,"Aug 23, 13",-0.04273504273504258
2013-08-26,1.12,1.13,1.08,1.09,76049,76049,-0.03,-2.679,1.1084,"Aug 26, 13",-0.06837606837606826
2013-08-27,1.1,1.11,1.03,1.04,278004,278004,-0.05,-4.587,1.0599,"Aug 27, 13",-0.11111111111111102
2013-08-28,1.03,1.08,1.03,1.04,289390,289390,0,0,1.0484,"Aug 28, 13",-0.11111111111111102
2013-08-29,1.04,1.06,1.04,1.05,170367,170367,0.01,0.962,1.0479,"Aug 29, 13",-0.10256410256410248
2013-08-30,1.03,1.05,1.02,1.03,218104,218104,-0.02,-1.905,1.0296,"Aug 30, 13",-0.11965811965811958
2013-09-03,1.02,1.0554,1.01,1.03,137965,137965,0,0,1.0281,"Sep 3, 13",-0.11965811965811958
2013-09-04,1.04,1.06,1.0244,1.05,111241,111241,0.02,1.942,1.0476,"Sep 4, 13",-0.10256410256410248
2013-09-05,1.06,1.12,1.049,1.11,187349,187349,0.06,5.714,1.0924,"Sep 5, 13",-0.05128205128205114
2013-09-06,1.12,1.14,1.1,1.11,295088,295088,0,0,1.1194,"Sep 6, 13",-0.05128205128205114
2013-09-09,1.1,1.12,1.06,1.09,227248,227248,-0.02,-1.802,1.0962,"Sep 9, 13",-0.06837606837606826
2013-09-10,1.08,1.08,1.0301,1.07,236414,236414,-0.02,-1.835,1.0576,"Sep 10, 13",-0.08547008547008536
2013-09-11,1.07,1.07,1.03,1.03,168800,168800,-0.04,-3.738,1.0481,"Sep 11, 13",-0.11965811965811958
2013-09-12,1.02,1.05,1.02,1.04,122315,122315,0.01,0.971,1.038,"Sep 12, 13",-0.11111111111111102
2013-09-13,1.05,1.06,1.01,1.02,336229,336229,-0.02,-1.923,1.0232,"Sep 13, 13",-0.12820512820512814
2013-09-16,1.01,1.04,0.9603,1.01,449746,449746,-0.01,-0.98,0.999799,"Sep 16, 13",-0.13675213675213668
2013-09-17,0.997,1.02,0.9728,1.01,444867,444867,0,0,1.0126,"Sep 17, 13",-0.13675213675213668
2013-09-18,0.99,1.05,0.99,1.04,270941,270941,0.03,2.97,1.024,"Sep 18, 13",-0.11111111111111102
2013-09-19,1.05,1.05,1.01,1.05,344819,344819,0.01,0.962,1.0299,"Sep 19, 13",-0.10256410256410248
2013-09-20,1.07,1.07,1.02,1.05,321103,321103,0,0,1.0554,"Sep 20, 13",-0.10256410256410248
2013-09-23,1.03,1.05,1,1.03,210776,210776,-0.02,-1.905,1.0169,"Sep 23, 13",-0.11965811965811958
2013-09-24,1.03,1.04,0.98,0.9904,322709,322709,-0.0396,-3.845,0.996989,"Sep 24, 13",-0.1535042735042735
2013-09-25,1,1.06,1,1.06,227457,227457,0.0696,7.027,1.0358,"Sep 25, 13",-0.09401709401709392
2013-09-26,1.07,1.09,1.05,1.08,256960,256960,0.02,1.887,1.0789,"Sep 26, 13",-0.0769230769230768
2013-09-27,1.08,1.16,1.04,1.05,907605,907605,-0.03,-2.778,1.1052,"Sep 27, 13",-0.10256410256410248
2013-09-30,1.08,1.16,1.03,1.16,508304,508304,0.11,10.476,1.0922,"Sep 30, 13",-0.008547008547008555
2013-10-01,1.13,1.15,1.07,1.12,239722,239722,-0.04,-3.448,1.0986,"Oct 1, 13",-0.04273504273504258
2013-10-02,1.13,1.13,1.09,1.11,212522,212522,-0.01,-0.893,1.1099,"Oct 2, 13",-0.05128205128205114
2013-10-03,1.1,1.1,1.07,1.07,195155,195155,-0.04,-3.604,1.0755,"Oct 3, 13",-0.08547008547008536
2013-10-04,1.08,1.08,1.06,1.07,118775,118775,0,0,1.0719,"Oct 4, 13",-0.08547008547008536
2013-10-07,1.1,1.1,1.05,1.05,284791,284791,-0.02,-1.869,1.0736,"Oct 7, 13",-0.10256410256410248
2013-10-08,1.06,1.06,1.02,1.02,263382,263382,-0.03,-2.857,1.0315,"Oct 8, 13",-0.12820512820512814
2013-10-09,1.02,1.04,1.01,1.03,171219,171219,0.01,0.98,1.0261,"Oct 9, 13",-0.11965811965811958
2013-10-10,1.05,1.05,1.02,1.05,173879,173879,0.02,1.942,1.0305,"Oct 10, 13",-0.10256410256410248
2013-10-11,1.03,1.08,1.03,1.08,201730,201730,0.03,2.857,1.0634,"Oct 11, 13",-0.0769230769230768
2013-10-14,1,1.08,1,1.08,301226,301226,0,0,1.047,"Oct 14, 13",-0.0769230769230768
2013-10-15,1.04,1.08,1.03,1.03,207955,207955,-0.05,-4.63,1.0479,"Oct 15, 13",-0.11965811965811958
2013-10-16,1.01,1.03,1,1.02,299298,299298,-0.01,-0.971,1.0163,"Oct 16, 13",-0.12820512820512814
2013-10-17,1.02,1.04,1,1.04,414538,414538,0.02,1.961,1.0187,"Oct 17, 13",-0.11111111111111102
2013-10-18,1.05,1.05,1.02,1.04,244270,244270,0,0,1.041,"Oct 18, 13",-0.11111111111111102
2013-10-21,1.04,1.04,1.01,1.01,222330,222330,-0.03,-2.885,1.0172,"Oct 21, 13",-0.13675213675213668
2013-10-22,1.01,1.08,1.01,1.07,339340,339340,0.06,5.941,1.0486,"Oct 22, 13",-0.08547008547008536
2013-10-23,1.07,1.07,1.03,1.05,226102,226102,-0.02,-1.869,1.0441,"Oct 23, 13",-0.10256410256410248
2013-10-24,1.08,1.16,1.08,1.15,731670,731670,0.1,9.524,1.1345,"Oct 24, 13",-0.01709401709401711
2013-10-25,1.16,1.175,1.13,1.15,389267,389267,0,0,1.1544,"Oct 25, 13",-0.01709401709401711
2013-10-28,1.2,1.2,1.14,1.18,334978,334978,0.03,2.609,1.1738,"Oct 28, 13",0.008547008547008555
2013-10-29,1.14,1.18,1.1,1.12,320428,320428,-0.06,-5.085,1.1345,"Oct 29, 13",-0.04273504273504258
2013-10-30,1.13,1.15,1.04,1.05,485675,485675,-0.07,-6.25,1.0774,"Oct 30, 13",-0.10256410256410248
2013-10-31,1.06,1.09,1.04,1.05,289610,289610,0,0,1.057,"Oct 31, 13",-0.10256410256410248
2013-11-01,1.05,1.14,1.03,1.14,828509,828509,0.09,8.571,1.0937,"Nov 1, 13",-0.025641025641025664
