date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,55.9,56.499,55.2,55.7,96945,969449,-1,-1.764,55.7889,"Aug 5, 13",0
2013-08-06,55,55,53.8,53.9,110230,1102297,-1.8,-3.232,54.3686,"Aug 6, 13",-0.03231597845601444
2013-08-07,53.3,55,53.19,54.152,73553,735527,0.252,0.468,53.7845,"Aug 7, 13",-0.027791741472172383
2013-08-08,57.1,61,56.9,60.7,206709,2067090,6.548,12.092,59.3952,"Aug 8, 13",0.08976660682226212
2013-08-09,60.9,63.3,60.4,62.4,284884,2848837,1.7,2.801,61.9899,"Aug 9, 13",0.12028725314183115
2013-08-12,69.7,71.499,69.2,70.4,333685,3336851,8,12.821,70.2054,"Aug 12, 13",0.2639138240574507
2013-08-13,71.8,72.1,69.8,71.6,318055,3180546,1.2,1.705,70.9978,"Aug 13, 13",0.2854578096947934
2013-08-14,72,75.4,71.801,75.2,202713,2027133,3.6,5.028,73.9246,"Aug 14, 13",0.35008976660682223
2013-08-15,74.9,89.1,74.9,86.5,514490,5144898,11.3,15.027,81.6007,"Aug 15, 13",0.5529622980251345
2013-08-16,90.1,91.9,86.71,89.2,405532,4055315,2.7,3.121,89.4153,"Aug 16, 13",0.6014362657091562
2013-08-19,89.9,90,86.7,88.9,240559,2405586,-0.3,-0.336,88.6756,"Aug 19, 13",0.5960502692998205
2013-08-20,87.2,90.5,87,87,266525,2665252,-1.9,-2.137,88.3204,"Aug 20, 13",0.5619389587073608
2013-08-21,86.4,91.3,85.1,86.4,335953,3359528,-0.6,-0.69,87.3422,"Aug 21, 13",0.5511669658886894
2013-08-22,89,90.899,87.3,88.2,123245,1232454,1.8,2.083,88.8934,"Aug 22, 13",0.5834829443447037
2013-08-23,88.7,99.94,88.4,98.5,404456,4044563,10.3,11.678,95.3704,"Aug 23, 13",0.7684021543985636
2013-08-26,10.09,10.39,9.78,10.25,506252,5062520,-88.25,-89.594,10.0437,"Aug 26, 13",-0.8159784560143627
2013-08-27,10.55,10.75,10.42,10.43,373528,3735283,0.18,1.756,10.5693,"Aug 27, 13",-0.8127468581687612
2013-08-28,10.45,10.52,10.13,10.19,269986,2699863,-0.24,-2.301,10.3338,"Aug 28, 13",-0.8170556552962298
2013-08-29,9.88,10,9.49,9.65,482754,4827535,-0.54,-5.299,9.7914,"Aug 29, 13",-0.8267504488330342
2013-08-30,91.97,94.85,90.59,91.24,347881,347881,81.59,845.492,91.8862,"Aug 30, 13",0.638061041292639
2013-09-03,103.06,103.2401,100.74,100.86,339614,339614,9.62,10.544,102.2965,"Sep 3, 13",0.8107719928186714
2013-09-04,91.53,91.7999,89.34,91.56,255705,255705,-9.3,-9.221,90.8923,"Sep 4, 13",0.6438061041292639
2013-09-05,90.03,90.4471,85.6,87.83,186855,186855,-3.73,-4.074,87.9066,"Sep 5, 13",0.5768402154398563
2013-09-06,94.34,96,93.821,94.81,315729,315729,6.98,7.947,94.9247,"Sep 6, 13",0.7021543985637343
2013-09-09,93.12,94.309,92.34,93.11,115396,115396,-1.7,-1.793,93.1015,"Sep 9, 13",0.6716337522441651
2013-09-10,85.28,85.92,82.7838,84.5,259277,259277,-8.61,-9.247,84.3984,"Sep 10, 13",0.5170556552962298
2013-09-11,86.12,86.86,85.7499,86.23,92209,92209,1.73,2.047,86.2438,"Sep 11, 13",0.5481149012567325
2013-09-12,76.12,77.152,72.302,72.31,408119,408119,-13.92,-16.143,75.0344,"Sep 12, 13",0.2982046678635547
2013-09-13,72.2,75.861,69.911,75.71,253605,253605,3.4,4.702,72.5079,"Sep 13, 13",0.3592459605026928
2013-09-16,74.58,75.07,70.72,70.86,222163,222163,-4.85,-6.406,73.12,"Sep 16, 13",0.2721723518850987
2013-09-17,71.828,72.2683,70.72,70.9,142786,142786,0.04,0.056,71.2878,"Sep 17, 13",0.27289048473967686
2013-09-18,68.26,85.33,65.8,84.47,821384,821384,13.57,19.14,74.2406,"Sep 18, 13",0.5165170556552962
2013-09-19,85.27,87.07,82.841,83.26,450163,450163,-1.21,-1.432,84.8602,"Sep 19, 13",0.4947935368043088
2013-09-20,78.43,79.18,69.12,69.43,605740,605740,-13.83,-16.611,73.2981,"Sep 20, 13",0.24649910233393182
2013-09-23,68.88,70.7073,67.261,67.33,238626,238626,-2.1,-3.025,69.011,"Sep 23, 13",0.2087971274685816
2013-09-24,66.15,69.84,66.01,68.08,233406,233406,0.75,1.114,67.674,"Sep 24, 13",0.2222621184919209
2013-09-25,68.84,70.83,68.27,69.19,189041,189041,1.11,1.63,69.6206,"Sep 25, 13",0.2421903052064631
2013-09-26,69.63,70.36,68.091,68.78,101788,101788,-0.41,-0.593,69.211,"Sep 26, 13",0.23482944344703766
2013-09-27,68.82,70.54,68.82,68.9,118799,118799,0.12,0.174,69.7114,"Sep 27, 13",0.23698384201077202
2013-09-30,66.53,71.8,66.3,68.28,208072,208072,-0.62,-0.9,68.6752,"Sep 30, 13",0.22585278276481144
2013-10-01,61.48,64.4,58.5827,63.43,488412,488412,-4.85,-7.103,60.8828,"Oct 1, 13",0.13877917414721716
2013-10-02,64.69,71,64.64,68.22,322649,322649,4.79,7.552,68.4237,"Oct 2, 13",0.22477558348294427
2013-10-03,67.85,69.28,66.37,68.13,172026,172026,-0.09,-0.132,67.8516,"Oct 3, 13",0.2231597845601435
2013-10-04,68.99,69.04,66.4801,68.28,145822,145822,0.15,0.22,67.7186,"Oct 4, 13",0.22585278276481144
2013-10-07,70.49,75.24,69.88,74.01,481049,481049,5.73,8.392,73.4106,"Oct 7, 13",0.3287253141831239
2013-10-08,74.67,75.58,73.43,73.63,202559,202559,-0.38,-0.513,74.5899,"Oct 8, 13",0.3219030520646318
2013-10-09,70,70.94,68.25,69.08,202500,202500,-4.55,-6.18,69.5362,"Oct 9, 13",0.24021543985637334
2013-10-10,69.66,70.29,66.76,66.9,134033,134033,-2.18,-3.156,68.7313,"Oct 10, 13",0.20107719928186718
2013-10-11,63.46,64.04,62.37,63.86,242550,242550,-3.04,-4.544,63.2193,"Oct 11, 13",0.1464991023339317
2013-10-14,65.82,65.9999,63.46,63.49,119434,119434,-0.37,-0.579,64.922,"Oct 14, 13",0.13985637342908436
2013-10-15,62.13,65.65,61.95,64.05,192541,192541,0.56,0.882,62.755,"Oct 15, 13",0.14991023339317763
2013-10-16,63.76,64.9399,62.38,63.49,147639,147639,-0.56,-0.874,63.697,"Oct 16, 13",0.13985637342908436
2013-10-17,67.69,69.75,67.69,68.37,217591,217591,4.88,7.686,68.5254,"Oct 17, 13",0.22746858168761222
2013-10-18,68.99,69.77,68.64,69.14,97690,97690,0.77,1.126,69.2219,"Oct 18, 13",0.24129263913824053
2013-10-21,72.7,72.9875,71.92,72.05,98822,98822,2.91,4.209,72.4182,"Oct 21, 13",0.29353680430879703
2013-10-22,74.72,77.98,74.6388,76.7,213649,213649,4.65,6.454,76.7662,"Oct 22, 13",0.37701974865350085
2013-10-23,75.71,76.64,75.5,75.63,113097,113097,-1.07,-1.395,75.945,"Oct 23, 13",0.35780969479353664
2013-10-24,77.24,78.5,76.66,76.66,123297,123297,1.03,1.362,77.5042,"Oct 24, 13",0.3763016157989227
2013-10-25,73.05,76.69,72.79,75.03,164493,164493,-1.63,-2.126,74.553,"Oct 25, 13",0.3470377019748653
2013-10-28,74.92,76.33,74.41,74.73,111503,111503,-0.3,-0.4,75.262,"Oct 28, 13",0.34165170556552965
2013-10-29,75.17,75.92,74.42,74.72,81732,81732,-0.01,-0.013,75.0273,"Oct 29, 13",0.341472172351885
2013-10-30,80,80.39,74,76.695,296857,296857,1.975,2.643,77.6728,"Oct 30, 13",0.37692998204667844
2013-10-31,69.79,70.45,67.63,68.17,302505,302505,-8.525,-11.115,68.8677,"Oct 31, 13",0.22387791741472168
2013-11-01,68.17,69.99,67.14,67.92,132174,132174,-0.25,-0.367,67.8609,"Nov 1, 13",0.2193895870736086
2013-11-04,67.42,67.7699,65.61,65.66,117591,117591,-2.26,-3.327,66.7486,"Nov 4, 13",0.178815080789946
2013-11-05,66.12,66.649,65.52,66.34,56959,56959,0.68,1.036,66.0869,"Nov 5, 13",0.1910233393177738
2013-11-06,67.94,68.32,66.84,67.25,76744,76744,0.91,1.372,67.5108,"Nov 6, 13",0.20736086175942542
2013-11-07,65.36,66.536,64.9869,65.5,100240,100240,-1.75,-2.602,65.533,"Nov 7, 13",0.1759425493716337
2013-11-08,64,64.4,62.3,64.36,160197,160197,-1.14,-1.74,63.4885,"Nov 8, 13",0.15547576301615793
2013-11-11,63.42,63.5,62.5799,63.38,72122,72122,-0.98,-1.523,63.1305,"Nov 11, 13",0.1378815080789946
2013-11-12,61.3,61.51,56.5,57.82,377170,377170,-5.56,-8.772,58.7485,"Nov 12, 13",0.03806104129263909
2013-11-13,57.28,57.74,55.15,55.9,459270,459270,-1.92,-3.321,56.0473,"Nov 13, 13",0.003590664272890408
2013-11-14,57.15,58.5,56.9201,58.05,221634,221634,2.15,3.846,57.6994,"Nov 14, 13",0.042190305206463094
2013-11-15,57.23,57.9,57.23,57.682,87521,87521,-0.368,-0.634,57.5696,"Nov 15, 13",0.03558348294434469
2013-11-18,56.57,56.8,53.94,54.67,183910,183910,-3.012,-5.222,55.1203,"Nov 18, 13",-0.018491921005386016
2013-11-19,54.42,55.3999,54.02,54.1,103889,103889,-0.57,-1.043,54.5503,"Nov 19, 13",-0.028725314183123903
2013-11-20,53.73,54.319,49.95,50.37,308423,308423,-3.73,-6.895,52.0682,"Nov 20, 13",-0.09569120287253151
2013-11-21,50,51.842,49.31,51.35,245502,245502,0.98,1.946,50.7522,"Nov 21, 13",-0.07809694793536806
2013-11-22,51.21,51.4,50.06,50.45,124625,124625,-0.9,-1.753,50.6077,"Nov 22, 13",-0.09425493716337521
2013-11-25,50.04,52.31,50.028,51.64,168811,168811,1.19,2.359,51.0631,"Nov 25, 13",-0.07289048473967688
2013-11-26,50.94,51.3384,49.95,50.32,145972,145972,-1.32,-2.556,50.5688,"Nov 26, 13",-0.09658886894075408
2013-11-27,50.72,50.96,48.65,48.87,136998,136998,-1.45,-2.882,49.4098,"Nov 27, 13",-0.12262118491921015
2013-11-29,51.18,51.8548,50.89,51.22,133417,133417,2.35,4.809,51.4392,"Nov 29, 13",-0.08043087971274693
2013-12-02,48.59,48.59,44.64,44.81,401858,401858,-6.41,-12.515,46.6113,"Dec 2, 13",-0.1955116696588869
2013-12-03,43.98,45.03,43.53,44.34,340338,340338,-0.47,-1.049,44.1233,"Dec 3, 13",-0.20394973070017952
2013-12-04,45.58,49.72,45.47,48.6,338593,338593,4.26,9.608,47.8693,"Dec 4, 13",-0.12746858168761221
2013-12-05,45.65,48.5299,45.12,46.09,220200,220200,-2.51,-5.165,46.5461,"Dec 5, 13",-0.17253141831238777
2013-12-06,47.28,48,46.1865,46.67,123309,123309,0.58,1.258,47.1919,"Dec 6, 13",-0.1621184919210054
2013-12-09,48.25,50.44,48.16,49.48,302509,302509,2.81,6.021,49.2659,"Dec 9, 13",-0.11166965888689417
2013-12-10,53.6,53.68,52.41,53.59,419382,419382,4.11,8.306,53.138,"Dec 10, 13",-0.037881508078994604
2013-12-11,53.64,53.85,52.32,52.7,212412,212412,-0.89,-1.661,53.1896,"Dec 11, 13",-0.05385996409335727
2013-12-12,46.8,46.97,45.9,46.41,370131,370131,-6.29,-11.935,46.5428,"Dec 12, 13",-0.16678635547576312
2013-12-13,47.03,48.08,46.7601,47.62,167324,167324,1.21,2.607,47.4378,"Dec 13, 13",-0.14506283662477568
2013-12-16,47.55,52.05,47.32,49.55,256502,256502,1.93,4.053,49.9383,"Dec 16, 13",-0.1104129263913825
2013-12-17,48.5,50.75,48.3,48.92,200213,200213,-0.63,-1.271,49.0359,"Dec 17, 13",-0.12172351885098745
2013-12-18,49.76,51.89,47.29,48.55,576494,576494,-0.37,-0.756,49.5651,"Dec 18, 13",-0.1283662477558349
2013-12-19,44.08,44.48,43.4301,43.81,752542,752542,-4.74,-9.763,43.9608,"Dec 19, 13",-0.21346499102333932
2013-12-20,44.33,46.01,43.81,44.81,364026,364026,1,2.283,44.7264,"Dec 20, 13",-0.1955116696588869
2013-12-23,45.38,45.98,45,45.45,147184,147184,0.64,1.428,45.5376,"Dec 23, 13",-0.18402154398563733
2013-12-24,45.41,46.36,45.34,45.81,77947,77947,0.36,0.792,45.6463,"Dec 24, 13",-0.17755834829443448
2013-12-26,49.43,49.52,47.6,47.7,184200,184200,1.89,4.126,48.7248,"Dec 26, 13",-0.1436265709156194
2013-12-27,49.88,50.147,49.4801,49.7,192526,192526,2,4.193,49.8014,"Dec 27, 13",-0.10771992818671454
2013-12-30,47,47.58,45.66,46.49,241987,241987,-3.21,-6.459,46.8335,"Dec 30, 13",-0.16535008976660684
2013-12-31,42.06,48.01,41.91,45.21,867214,867214,-1.28,-2.753,45.0373,"Dec 31, 13",-0.18833034111310595
2014-01-02,49.95,50.75,48.88,48.92,296787,296787,3.71,8.206,49.4884,"Jan 2, 14",-0.12172351885098745
2014-01-03,50.03,50.8399,49.74,50.49,169027,169027,1.57,3.209,50.2174,"Jan 3, 14",-0.09353680430879714
2014-01-06,50.43,51.66,49,50.21,445399,445399,-0.28,-0.555,50.4157,"Jan 6, 14",-0.09856373429084384
2014-01-07,47.01,48.29,46.44,48.02,314875,314875,-2.19,-4.362,47.2731,"Jan 7, 14",-0.1378815080789946
2014-01-08,44.87,46.1499,44.121,45.83,603507,603507,-2.19,-4.561,45.1501,"Jan 8, 14",-0.1771992818671455
2014-01-09,45.37,46.92,44.8,45.88,226507,226507,0.05,0.109,45.7651,"Jan 9, 14",-0.17630161579892278
2014-01-10,49.45,50.77,49,49.98,372158,372158,4.1,8.936,49.709,"Jan 10, 14",-0.10269299820466797
2014-01-13,49.31,52.4099,49.3,52.29,272398,272398,2.31,4.622,51.1655,"Jan 13, 14",-0.06122082585278283
2014-01-14,51.31,53.49,50,50.32,402847,402847,-1.97,-3.767,51.6169,"Jan 14, 14",-0.09658886894075408
2014-01-15,48.82,50.55,48.73,50.08,126891,126891,-0.24,-0.477,49.5797,"Jan 15, 14",-0.1008976660682227
2014-01-16,50.14,50.2671,49.23,49.58,161059,161059,-0.5,-0.998,49.6339,"Jan 16, 14",-0.1098743267504489
2014-01-17,50.92,52,50.73,51.02,217051,217051,1.44,2.904,51.173,"Jan 17, 14",-0.08402154398563734
2014-01-21,47.07,48.35,47,48.02,340523,340523,-3,-5.88,47.7138,"Jan 21, 14",-0.1378815080789946
2014-01-22,47.86,48.1599,47.12,47.12,317672,317672,-0.9,-1.874,47.7889,"Jan 22, 14",-0.1540394973070019
2014-01-23,49.95,51,48.69,48.82,315675,315675,1.7,3.608,49.5649,"Jan 23, 14",-0.12351885098743272
2014-01-24,49.75,50.2582,46.78,48.04,400901,400901,-0.78,-1.598,48.2519,"Jan 24, 14",-0.13752244165170563
2014-01-27,47.5,47.97,45.635,45.97,211661,211661,-2.07,-4.309,46.6106,"Jan 27, 14",-0.17468581687612214
2014-01-28,46.64,46.8,44.97,45.64,301959,301959,-0.33,-0.718,45.5088,"Jan 28, 14",-0.1806104129263914
2014-01-29,47.71,48,45,47.065,364306,364306,1.425,3.122,46.7056,"Jan 29, 14",-0.15502692998204676
2014-01-30,42.56,43.41,42.3,42.82,858496,858496,-4.245,-9.019,42.7696,"Jan 30, 14",-0.23123877917414726
2014-01-31,43.9,44.2301,42.4,42.79,282604,282604,-0.03,-0.07,43.0387,"Jan 31, 14",-0.23177737881508084
2014-02-03,44.02,45.88,43.66,43.84,363855,363855,1.05,2.454,44.3988,"Feb 3, 14",-0.2129263913824057
2014-02-04,43.6302,45.0799,43.6302,44.75,138775,138775,0.91,2.076,44.0097,"Feb 4, 14",-0.19658886894075409
2014-02-05,47.99,48.089,46.631,47.27,396551,396551,2.52,5.631,47.5269,"Feb 5, 14",-0.15134649910233391
2014-02-06,48.41,48.78,47.42,47.89,213391,213391,0.62,1.312,48.1784,"Feb 6, 14",-0.14021543985637347
2014-02-07,47.18,48.65,47.09,48.575,309657,309657,0.685,1.43,48.0646,"Feb 7, 14",-0.12791741472172352
2014-02-10,49.92,50.2996,48.6901,48.85,260279,260279,0.275,0.566,49.5231,"Feb 10, 14",-0.12298025134649912
2014-02-11,48.5,50.71,48.44,49.88,272491,272491,1.03,2.108,49.805,"Feb 11, 14",-0.1044883303411131
2014-02-12,50.44,51.43,49.7733,49.84,365963,365963,-0.04,-0.08,50.6985,"Feb 12, 14",-0.10520646319569119
2014-02-13,50.22,52.35,50.137,52.3401,318599,318599,2.5001,5.016,51.3726,"Feb 13, 14",-0.060321364452423754
2014-02-14,57.18,59.46,57.12,59.46,604559,604559,7.1199,13.603,58.1081,"Feb 14, 14",0.06750448833034108
2014-02-18,61.42,63.7899,60.671,63.651,618397,618397,4.191,7.048,62.3532,"Feb 18, 14",0.14274685816876123
2014-02-19,62.49,63.02,58.562,59.49,767171,767171,-4.161,-6.537,61.2216,"Feb 19, 14",0.06804308797127467
2014-02-20,61.14,63,60.7417,62.6,351599,351599,3.11,5.228,61.5359,"Feb 20, 14",0.12387791741472169
2014-02-21,61.96,63.6,61.041,62.37,262607,262607,-0.23,-0.367,62.1975,"Feb 21, 14",0.11974865350089756
2014-02-24,64.17,65.19,63.74,63.98,290237,290237,1.61,2.581,64.3432,"Feb 24, 14",0.14865350089766596
2014-02-25,61.9,63.974,61.75,62.65,272589,272589,-1.33,-2.079,63.0322,"Feb 25, 14",0.12477558348294426
2014-02-26,60.13,60.33,56.02,57.25,521172,521172,-5.4,-8.619,58.2026,"Feb 26, 14",0.027827648114901203
2014-02-27,57.65,58.779,56.82,57.46,183539,183539,0.21,0.367,57.5836,"Feb 27, 14",0.03159784560143623
2014-02-28,58.1,58.1,55.84,56.5,198169,198169,-0.96,-1.671,56.8919,"Feb 28, 14",0.014362657091561887
2014-03-03,59.15,60.5,58.36,58.73,341831,341831,2.23,3.947,59.2891,"Mar 3, 14",0.054398563734290736
2014-03-04,56.01,57.4399,55.34,56.65,180067,180067,-2.08,-3.542,56.2632,"Mar 4, 14",0.017055655296229724
2014-03-05,56.92,57.63,56.31,56.5,142572,142572,-0.15,-0.265,57.0591,"Mar 5, 14",0.014362657091561887
2014-03-06,58.22,60.3199,57.7,58.87,193766,193766,2.37,4.195,59.0154,"Mar 6, 14",0.05691202872531408
2014-03-07,53.36,55.28,53.04,54.14,372516,372516,-4.73,-8.035,54.0547,"Mar 7, 14",-0.02800718132854582
2014-03-10,53.89,54.69,53.3,53.49,135296,135296,-0.65,-1.201,53.9526,"Mar 10, 14",-0.03967684021543987
2014-03-11,56.2,56.44,52.35,53.54,221872,221872,0.05,0.093,54.5536,"Mar 11, 14",-0.0387791741472173
2014-03-12,55.54,58.18,54.9331,57.01,274587,274587,3.47,6.481,56.5637,"Mar 12, 14",0.023518850987432588
2014-03-13,56.14,57.5,56.05,56.1,222759,222759,-0.91,-1.596,56.6717,"Mar 13, 14",0.007181328545780944
2014-03-14,60.71,60.81,57.2045,58.07,406569,406569,1.97,3.512,59.1713,"Mar 14, 14",0.0425493716337522
2014-03-17,57.46,58.17,55.68,55.7,309526,309526,-2.37,-4.081,56.9366,"Mar 17, 14",0
2014-03-18,52.83,54.11,52.62,53.28,262815,262815,-2.42,-4.345,53.2303,"Mar 18, 14",-0.043447037701974896
2014-03-19,52.52,54,50.86,51.36,386296,386296,-1.92,-3.604,50.8357,"Mar 19, 14",-0.07791741472172357
2014-03-20,49.79,50.47,49.16,49.28,345027,345027,-2.08,-4.05,49.7778,"Mar 20, 14",-0.11526032315978459
2014-03-21,50.58,50.62,49.15,49.29,159302,159302,0.01,0.02,47.9866,"Mar 21, 14",-0.1150807899461401
2014-03-24,48.27,48.6499,46.64,46.93,347804,347804,-2.36,-4.788,47.5231,"Mar 24, 14",-0.1574506283662478
2014-03-25,47.6,48.23,46.8877,47.12,188999,188999,0.19,0.405,47.3439,"Mar 25, 14",-0.1540394973070019
2014-03-26,47.1,47.3146,44.9801,45.4,262604,262604,-1.72,-3.65,45.7673,"Mar 26, 14",-0.18491921005386003
2014-03-27,45.14,45.532,44.51,45.31,240760,240760,-0.09,-0.198,43.9384,"Mar 27, 14",-0.18653500897666067
2014-03-28,45.92,46.38,45.27,45.73,601572,601572,0.42,0.927,45.8205,"Mar 28, 14",-0.17899461400359076
2014-03-31,45.94,46.3647,45.22,45.6,204547,204547,-0.13,-0.284,45.8061,"Mar 31, 14",-0.1813285457809695
2014-04-01,45.54,45.95,44.94,45.75,148043,148043,0.15,0.329,45.5077,"Apr 1, 14",-0.17863554757630165
2014-04-02,47.36,47.73,46.69,46.69,159434,159434,0.94,2.055,47.2983,"Apr 2, 14",-0.1617594254937164
2014-04-03,45.77,46.23,45.41,45.77,114317,114317,-0.92,-1.97,45.7988,"Apr 3, 14",-0.17827648114901257
2014-04-04,47.95,48.4493,45.89,46.47,214288,214288,0.7,1.529,47.2721,"Apr 4, 14",-0.16570915619389592
2014-04-07,45.84,46.94,45.77,46.11,111024,111024,-0.36,-0.775,46.3735,"Apr 7, 14",-0.1721723518850988
2014-04-08,47.8,47.8391,46.81,47.04,122711,122711,0.93,2.017,47.372,"Apr 8, 14",-0.15547576301615804
2014-04-09,45.12,46.52,44.9,46.11,263934,263934,-0.93,-1.977,45.4372,"Apr 9, 14",-0.1721723518850988
2014-04-10,48,48.54,47.13,47.13,210562,210562,1.02,2.212,47.9484,"Apr 10, 14",-0.15385996409335728
2014-04-11,46.89,47.2502,46.4,46.51,124051,124051,-0.62,-1.316,46.769,"Apr 11, 14",-0.16499102333931784
2014-04-14,46.97,47.46,46.6,46.73,117047,117047,0.22,0.473,46.7665,"Apr 14, 14",-0.16104129263913833
2014-04-15,43.1,44.2621,42.5886,44.07,501602,501602,-2.66,-5.692,43.3468,"Apr 15, 14",-0.20879712746858173
2014-04-16,44.19,44.44,43.69,44.32,154944,154944,0.25,0.567,44.1112,"Apr 16, 14",-0.2043087971274686
2014-04-17,44.17,44.43,43.8,44.15,125753,125753,-0.17,-0.384,44.1142,"Apr 17, 14",-0.20736086175942556
2014-04-21,42.6,42.8,42.32,42.74,277969,277969,-1.41,-3.194,42.5037,"Apr 21, 14",-0.23267504488330343
2014-04-22,42.77,43,42,42.77,277775,277775,0.03,0.07,42.5041,"Apr 22, 14",-0.23213644524236982
2014-04-23,42.9,43.09,42.67,42.79,126383,126383,0.02,0.047,42.865,"Apr 23, 14",-0.23177737881508084
2014-04-24,41.97,45.9382,41.97,44.32,309367,309367,1.53,3.576,44.096,"Apr 24, 14",-0.2043087971274686
2014-04-25,44.86,45.28,44.0404,44.64,152036,152036,0.32,0.722,44.6581,"Apr 25, 14",-0.19856373429084384
2014-04-28,44.09,44.09,43.21,43.91,122726,122726,-0.73,-1.635,43.7278,"Apr 28, 14",-0.21166965888689418
2014-04-29,42.82,43.52,42.7101,43.16,191189,191189,-0.75,-1.708,43.1831,"Apr 29, 14",-0.2251346499102335
2014-04-30,40.87,41.72,40.26,41.06,688234,688234,-2.1,-4.866,40.9521,"Apr 30, 14",-0.2628366247755835
2014-05-01,39.33,40.6996,39.01,40.26,428400,428400,-0.8,-1.948,39.6029,"May 1, 14",-0.2771992818671455
2014-05-02,40.86,44.101,40.33,42.6499,464363,464363,2.3899,5.936,42.617,"May 2, 14",-0.23429263913824058
2014-05-05,43.95,44,43.25,43.84,150982,150982,1.1901,2.79,43.629,"May 5, 14",-0.2129263913824057
2014-05-06,43.96,44.0599,43.181,43.3,92613,92613,-0.54,-1.232,43.7604,"May 6, 14",-0.22262118491921015
2014-05-07,43.05,43.07,41.5401,41.6,159110,159110,-1.7,-3.926,42.113,"May 7, 14",-0.2531418312387792
2014-05-08,41.27,41.5,40.4,40.69,165333,165333,-0.91,-2.188,40.9108,"May 8, 14",-0.26947935368043097
2014-05-09,41.12,41.12,40.01,40.7,385244,385244,0.01,0.025,40.6109,"May 9, 14",-0.26929982046678635
2014-05-12,43.57,43.77,42.96,43.26,348053,348053,2.56,6.29,43.3677,"May 12, 14",-0.22333931777378824
2014-05-13,42.9,43.521,42.851,43.02,83833,83833,-0.24,-0.555,43.0236,"May 13, 14",-0.22764811490125672
2014-05-14,44.82,45.2,44.14,44.62,220371,220371,1.6,3.719,44.7955,"May 14, 14",-0.19892280071813295
2014-05-15,43.31,43.62,42.44,42.63,235166,235166,-1.99,-4.46,43.0494,"May 15, 14",-0.23464991023339318
2014-05-16,41.75,42.1,41.31,41.82,146558,146558,-0.81,-1.9,41.6883,"May 16, 14",-0.24919210053859966
2014-05-19,42.95,43.09,41.66,41.96,246816,246816,0.14,0.335,42.5813,"May 19, 14",-0.24667863554757632
2014-05-20,41.35,42.46,41.25,42.18,156592,156592,0.22,0.524,42.0386,"May 20, 14",-0.24272890484739681
2014-05-21,41.92,42.5,41.3,42.1,144617,144617,-0.08,-0.19,41.9278,"May 21, 14",-0.24416517055655299
2014-05-22,43.69,43.75,42.531,42.74,209196,209196,0.64,1.52,43.1792,"May 22, 14",-0.23267504488330343
2014-05-23,42.33,42.5,41.88,41.88,101894,101894,-0.86,-2.012,42.2151,"May 23, 14",-0.2481149012567325
2014-05-27,40.49,40.54,39.6001,39.91,574990,574990,-1.97,-4.704,40.1164,"May 27, 14",-0.2834829443447039
2014-05-28,39.55,40.03,39.3,39.59,274042,274042,-0.32,-0.802,39.6856,"May 28, 14",-0.2892280071813285
2014-05-29,38.92,40.03,38.8503,39.71,254586,254586,0.12,0.303,39.243,"May 29, 14",-0.2870736086175943
2014-05-30,39.5,39.5,37.12,38.09,605273,605273,-1.62,-4.08,37.9754,"May 30, 14",-0.31615798922800714
2014-06-02,38,38.52,37.52,37.89,197712,197712,-0.2,-0.525,37.9193,"Jun 2, 14",-0.3197486535008977
2014-06-03,38.12,38.42,37.69,38.3,88183,88183,0.41,1.082,38.0627,"Jun 3, 14",-0.31238779174147224
2014-06-04,38.59,38.612,37.938,38.04,72037,72037,-0.26,-0.679,38.2114,"Jun 4, 14",-0.31705565529622987
2014-06-05,39.22,39.92,39.14,39.43,413039,413039,1.39,3.654,39.604,"Jun 5, 14",-0.29210053859964097
2014-06-06,39.44,39.639,38.5801,39.41,320116,320116,-0.02,-0.051,39.2934,"Jun 6, 14",-0.2924596050269301
2014-06-09,39.87,40.069,39.631,39.77,45493,45493,0.36,0.913,39.8591,"Jun 9, 14",-0.28599640933572706
2014-06-10,40.27,40.731,40.27,40.69,211998,211998,0.92,2.313,40.5077,"Jun 10, 14",-0.26947935368043097
2014-06-11,41.02,41.02,40.3201,40.61,93668,93668,-0.08,-0.197,40.6188,"Jun 11, 14",-0.27091561938958714
2014-06-12,41.17,42.83,41.061,42.75,369175,369175,2.14,5.27,42.0332,"Jun 12, 14",-0.23249551166965893
2014-06-13,42.78,43.93,42.61,43.76,251704,251704,1.01,2.363,43.426,"Jun 13, 14",-0.21436265709156202
2014-06-16,43.33,43.9,42.91,43.22,209847,209847,-0.54,-1.234,43.3339,"Jun 16, 14",-0.2240574506283663
2014-06-17,43.2,43.97,42.96,43.78,207146,207146,0.56,1.296,43.4379,"Jun 17, 14",-0.2140035906642729
2014-06-18,44.07,44.8,43.808,44.66,262370,262370,0.88,2.01,44.3329,"Jun 18, 14",-0.19820466786355487
2014-06-19,46.85,52.13,46.84,50.85,832822,832822,6.19,13.86,49.0623,"Jun 19, 14",-0.08707360861759428
2014-06-20,51.22,52.55,51.041,51.65,429014,429014,0.8,1.573,51.8246,"Jun 20, 14",-0.0727109515260324
2014-06-23,51.91,52.26,51.18,51.92,327631,327631,0.27,0.523,51.9149,"Jun 23, 14",-0.06786355475763017
