date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,28.063,29.0259,28.063,28.8333,33628,33628,0.826763,2.952,28.6184,"Aug 5, 13",0
2013-08-06,29.0119,29.0119,28.42,28.6173,12650,12650,-0.216084,-0.749,28.6153,"Aug 6, 13",-0.007491338140275344
2013-08-07,28.5045,28.5891,27.6402,27.6872,17987,17987,-0.930107,-3.25,28.119,"Aug 7, 13",-0.03974917890078487
2013-08-08,27.2268,27.8657,26.3061,27.8469,16917,16917,0.159713,0.577,27.1347,"Aug 8, 13",-0.03421044417392389
2013-08-09,27.8469,30.205,27.4335,29.3501,78897,78897,1.5032,5.398,28.6434,"Aug 9, 13",0.017923720143029065
2013-08-12,28.8803,29.2561,27.7811,29.087,30690,30690,-0.263061,-0.896,28.863,"Aug 12, 13",0.008798854102721453
2013-08-13,28.9179,29.3125,28.9179,29.0776,16918,16918,-0.009394,-0.032,29.032,"Aug 13, 13",0.008472842165135419
2013-08-14,29.0588,29.087,28.5609,28.7864,22904,22904,-0.291247,-1.002,28.8836,"Aug 14, 13",-0.0016265914758283244
2013-08-15,28.6118,28.9701,27.3957,27.5465,21249,21249,-1.2398,-4.307,27.8003,"Aug 15, 13",-0.04462895332826972
2013-08-16,27.3014,27.5654,26.915,27.4806,26098,26098,-0.065989,-0.24,27.2515,"Aug 16, 13",-0.04691450510347418
2013-08-19,27.5465,27.9708,27.3297,27.5277,15954,15954,0.047133,0.172,27.6268,"Aug 19, 13",-0.045280977203441916
2013-08-20,27.6314,28.8381,27.5937,28.6778,55052,55052,1.1501,4.178,28.6145,"Aug 20, 13",-0.005393069818577824
2013-08-21,28.659,28.6872,27.5183,27.6125,13516,13516,-1.0653,-3.715,27.8394,"Aug 21, 13",-0.04233993334096342
2013-08-22,27.6691,28.0933,27.3203,28.0368,11491,11491,0.424228,1.536,27.9591,"Aug 22, 13",-0.027624309392265255
2013-08-23,27.8859,27.8859,26.6887,27.292,15273,15273,-0.744757,-2.656,27.3512,"Aug 23, 13",-0.05345555312780707
2013-08-26,26.962,27.9802,26.8772,27.3674,27330,27330,0.075421,0.276,27.31,"Aug 26, 13",-0.050840521202914726
2013-08-27,27.1506,27.3769,25.9345,26.0005,47109,47109,-1.367,-4.995,26.3351,"Aug 27, 13",-0.09824751242486994
2013-08-28,26.321,26.5378,26.0005,26.2456,14658,14658,0.245112,0.943,26.2661,"Aug 28, 13",-0.08974692456291862
2013-08-29,26.5661,27.2826,26.5567,27.2354,20552,20552,0.989864,3.772,26.9753,"Aug 29, 13",-0.05541856117752746
2013-08-30,27.1412,27.1412,25.482,25.9533,19877,19877,-1.2821,-4.708,26.0888,"Aug 30, 13",-0.09988450853700417
2013-09-03,26.2267,26.9998,25.3717,26.8489,38255,38255,0.895594,3.451,26.3796,"Sep 3, 13",-0.06882320095167743
2013-09-04,26.9526,27.3109,26.8183,27.2543,31099,31099,0.405374,1.51,27.0062,"Sep 4, 13",-0.0547630690902533
2013-09-05,27.2166,27.5654,27.1223,27.3863,14998,14998,0.13198,0.484,27.3414,"Sep 5, 13",-0.05018502911564069
2013-09-06,27.5748,27.5748,26.8961,27.3014,10240,10240,-0.084844,-0.31,27.3593,"Sep 6, 13",-0.053129541190221036
2013-09-09,27.3863,27.3863,26.9055,27.292,11597,11597,-0.009428,-0.035,27.2129,"Sep 9, 13",-0.05345555312780707
2013-09-10,27.4806,27.5748,27.0092,27.3297,14741,14741,0.037711,0.138,27.2963,"Sep 10, 13",-0.05214803716536096
2013-09-11,27.2543,27.2543,26.2088,26.4153,90579,90579,-0.914451,-3.346,26.6652,"Sep 11, 13",-0.08386136862585977
2013-09-12,26.453,26.9055,26.3776,26.8206,52096,52096,0.405374,1.535,26.6393,"Sep 12, 13",-0.06980470497653762
2013-09-13,26.9715,27.5673,26.9715,27.292,30529,30529,0.471366,1.757,27.3044,"Sep 13, 13",-0.05345555312780707
2013-09-16,27.5748,28.1122,27.3391,27.7728,26221,26221,0.480793,1.762,27.7948,"Sep 16, 13",-0.0367803893414906
2013-09-17,27.7822,28.2819,27.7445,28.2724,15866,15866,0.499645,1.799,28.0863,"Sep 17, 13",-0.019453201680001947
2013-09-18,28.2819,28.8852,27.7351,28.461,20607,20607,0.188545,0.667,28.4187,"Sep 18, 13",-0.01291215365566906
2013-09-19,28.4421,28.4421,28.0556,28.2253,9073,9073,-0.235682,-0.828,28.2247,"Sep 19, 13",-0.021086729580034214
2013-09-20,28.4327,29.3566,28.1405,28.3196,44422,44422,0.094276,0.334,28.459,"Sep 20, 13",-0.01781620556786771
2013-09-23,28.5647,29.3283,28.131,28.9324,23639,23639,0.612773,2.164,28.8606,"Sep 23, 13",0.0034369981930614936
2013-09-24,29.0361,29.4791,28.527,28.9135,23277,23277,-0.018857,-0.065,28.9511,"Sep 24, 13",0.0027815061057873303
2013-09-25,29.0361,29.4131,28.8758,28.9135,10569,10569,0,0,29.0561,"Sep 25, 13",0.0027815061057873303
2013-09-26,28.9135,29.3377,28.2819,28.5364,22761,22761,-0.37709,-1.304,28.5738,"Sep 26, 13",-0.010297121730776595
2013-09-27,28.3196,29.5168,28.2913,29.0926,28499,28499,0.55621,1.949,29.1335,"Sep 27, 13",0.008993073980432335
2013-09-30,28.7438,29.4603,28.7438,29.3,20764,20764,0.207399,0.713,29.2783,"Sep 30, 13",0.016186145879937414
2013-10-01,29.3849,30.1485,29.2699,29.9316,52086,52086,0.631631,2.156,29.9748,"Oct 1, 13",0.03809137351603869
2013-10-02,29.3189,30.5161,28.7909,30.2145,85359,85359,0.282817,0.945,29.9691,"Oct 2, 13",0.0479029455525382
2013-10-03,30.2616,30.7047,29.8185,30.1013,33092,33092,-0.113128,-0.374,30.1125,"Oct 3, 13",0.04397692945309753
2013-10-04,29.9316,30.1673,29.0926,29.432,29605,29605,-0.669337,-2.224,29.6831,"Oct 4, 13",0.02076418585455003
2013-10-07,29.2906,29.9505,29.2906,29.5734,17795,17795,0.141409,0.48,29.6223,"Oct 7, 13",0.0256682377667488
2013-10-08,29.4791,29.8374,29.2717,29.4509,40066,40066,-0.122556,-0.414,29.5919,"Oct 8, 13",0.02141967794182419
2013-10-09,29.6017,29.7808,29.4037,29.5357,30328,30328,0.084847,0.288,26.7317,"Oct 9, 13",0.024360721804302567
2013-10-10,29.9599,30.535,29.6394,29.9222,59391,59391,0.386517,1.309,29.9623,"Oct 10, 13",0.03776536157845265
2013-10-11,29.7525,30.0919,29.6498,29.8279,31363,31363,-0.094273,-0.315,29.8463,"Oct 11, 13",0.03449483756628614
2013-10-14,29.7902,30.4501,29.7902,29.9882,40692,40692,0.160266,0.537,30.3789,"Oct 14, 13",0.04005438156575896
2013-10-15,29.9411,30.0353,29.7337,29.9128,36024,36024,-0.07542,-0.251,29.8902,"Oct 15, 13",0.037439349640866613
2013-10-16,30.0071,31.3363,30.0071,31.1572,41251,41251,1.2444,4.16,30.7869,"Oct 16, 13",0.0805977810378971
2013-10-17,31.2515,31.9302,31.2515,31.8925,37794,37794,0.735331,2.36,31.6635,"Oct 17, 13",0.1060995446237509
2013-10-18,32.3073,32.8598,31.8642,32.675,58010,58010,0.782464,2.453,32.3234,"Oct 18, 13",0.13323830432173894
2013-10-21,32.8635,33.0049,31.9019,32.2036,40562,40562,-0.471367,-1.443,32.2913,"Oct 21, 13",0.11688915247300864
2013-10-22,32.4016,32.5147,31.8454,31.9679,18718,18718,-0.235681,-0.732,32.0866,"Oct 22, 13",0.10871457654864337
2013-10-23,32.0905,32.0905,31.6474,31.7511,23511,23511,-0.216827,-0.678,31.8233,"Oct 23, 13",0.10119549271155226
2013-10-24,31.8831,32.0236,31.6286,31.6568,15058,15058,-0.094272,-0.297,31.752,"Oct 24, 13",0.09792496869938574
2013-10-25,31.7888,31.7888,31.0252,31.1006,46835,46835,-0.556212,-1.757,31.362,"Oct 25, 13",0.07863477298817682
2013-10-28,31.2138,31.308,30.6575,30.6858,27003,27003,-0.414799,-1.334,30.8317,"Oct 28, 13",0.06424862918916666
2013-10-29,30.6858,30.9875,30.5642,30.8649,27030,27030,0.179117,0.584,30.8088,"Oct 29, 13",0.07046019706381154
2013-10-30,30.9781,30.9969,30.3464,30.3842,21279,21279,-0.480792,-1.558,30.5519,"Oct 30, 13",0.053788501489597046
2013-10-31,30.4784,30.7424,30.0353,30.0919,31454,31454,-0.292243,-0.962,30.2678,"Oct 31, 13",0.0436509175155115
2013-11-01,29.9882,30.3653,29.3189,29.8751,63392,63392,-0.216827,-0.721,29.918,"Nov 1, 13",0.036131833678420384
2013-11-04,29.696,30.403,29.696,30.1768,48321,48321,0.30167,1.01,30.0361,"Nov 4, 13",0.04659542959009197
2013-11-05,30.1202,30.6387,29.7242,29.9222,49322,49322,-0.254538,-0.843,38.7748,"Nov 5, 13",0.03776536157845265
2013-11-06,29.9976,30.139,29.5546,29.9316,25063,25063,0.009431,0.032,29.8801,"Nov 6, 13",0.03809137351603869
