date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,70.5233,70.5275,70.3,70.4475,146870,146870,-0.101105,-0.143,70.4156,"Aug 5, 13",0
2013-08-06,70.4391,70.4812,70.279,70.4812,266657,266657,0.033701,0.048,70.3637,"Aug 6, 13",0.0004783704176868741
2013-08-07,70.3464,70.5402,70.3211,70.3211,264537,264537,-0.160088,-0.227,70.4354,"Aug 7, 13",-0.001794243940523139
2013-08-08,70.6076,70.6918,70.5697,70.5739,169092,169092,0.252769,0.359,70.633,"Aug 8, 13",0.0017942439405229374
2013-08-09,70.3801,70.7424,70.3801,70.5992,206315,206315,0.025279,0.036,70.6389,"Aug 9, 13",0.002153376627985252
2013-08-12,70.5992,70.7591,70.4054,70.4391,171811,171811,-0.160088,-0.227,70.5431,"Aug 12, 13",-0.0001192377302247609
2013-08-13,70.1189,70.2273,69.9335,69.9757,274549,274549,-0.463415,-0.658,70.012,"Aug 13, 13",-0.006697185847617045
2013-08-14,69.9841,70.0851,69.8324,69.9251,246994,246994,-0.050556,-0.072,69.9184,"Aug 14, 13",-0.007415451222541674
2013-08-15,69.487,69.7059,69.361,69.487,230233,230233,-0.438134,-0.627,69.4945,"Aug 15, 13",-0.013634266652471845
2013-08-16,69.428,69.4962,69.1078,69.2089,304418,304418,-0.278052,-0.4,69.292,"Aug 16, 13",-0.017581887220980235
2013-08-19,69.1331,69.2173,68.9393,69.0151,270757,270757,-0.193792,-0.28,69.0571,"Aug 19, 13",-0.02033287199687712
2013-08-20,69.1752,69.3429,69.1678,69.251,278329,278329,0.23592,0.342,69.2361,"Aug 20, 13",-0.0169842790730686
2013-08-21,69.1921,69.3149,68.9309,68.9646,225242,225242,-0.286477,-0.414,69.1339,"Aug 21, 13",-0.021049717875013318
2013-08-22,68.8635,69.0825,68.7876,68.8466,166661,166661,-0.117956,-0.171,68.886,"Aug 22, 13",-0.022724724085311898
2013-08-23,68.9056,69.3436,68.8982,69.2258,516150,516150,0.379157,0.551,69.1919,"Aug 23, 13",-0.01734199226374248
2013-08-26,69.6492,69.6914,69.461,69.59,411799,411799,0.364281,0.526,69.5467,"Aug 26, 13",-0.012172184960431551
2013-08-27,69.6069,69.8688,69.5817,69.8266,211966,211966,0.236551,0.34,69.7206,"Aug 27, 13",-0.008813655559104383
2013-08-28,69.7844,69.8012,69.5993,69.7675,227140,227140,-0.059138,-0.085,69.6818,"Aug 28, 13",-0.009652578161042006
