date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-04-28,9.85,9.85,9.85,9.85,153828,153828,9.85,0,9.85,"Apr 28, 17",0
2017-05-09,,,,9.85,9,9,0,0,,"May 9, 17",0
2017-05-12,9.8,9.8,9.8,9.8,100,100,-0.05,-0.508,9.8,"May 12, 17",-0.0050761421319795875
2017-05-15,9.75,9.85,9.75,9.8,114044,114044,0,0,9.7565,"May 15, 17",-0.0050761421319795875
2017-05-16,9.75,9.95,9.75,9.95,1015456,1015456,0.15,1.531,9.7508,"May 16, 17",0.010152284263959355
2017-05-17,9.95,9.95,9.75,9.8,84042,84042,-0.15,-1.508,9.8101,"May 17, 17",-0.0050761421319795875
2017-05-18,9.75,9.8,9.75,9.8,191042,191042,0,0,9.7538,"May 18, 17",-0.0050761421319795875
2017-05-23,9.79,9.8,9.79,9.8,18342,18342,0,0,9.7951,"May 23, 17",-0.0050761421319795875
2017-05-25,9.76,9.79,9.75,9.79,29942,29942,-0.01,-0.102,9.7541,"May 25, 17",-0.0060913705583756856
2017-05-26,9.75,9.8,9.73,9.75,28742,28742,-0.04,-0.409,9.7625,"May 26, 17",-0.010152284263959355
2017-05-31,9.73,9.79,9.73,9.79,2700,2700,0.04,0.41,9.7322,"May 31, 17",-0.0060913705583756856
2017-06-05,9.78,9.8,9.78,9.78,46640,46640,-0.01,-0.102,9.7842,"Jun 5, 17",-0.007106598984771602
2017-06-06,9.77,9.8,9.75,9.77,103844,103844,-0.01,-0.102,9.7571,"Jun 6, 17",-0.00812182741116752
2017-06-07,9.76,9.77,9.75,9.77,601534,601534,0,0,9.7568,"Jun 7, 17",-0.00812182741116752
2017-06-08,9.76,9.76,9.75,9.76,86325,86325,-0.01,-0.102,9.7517,"Jun 8, 17",-0.009137055837563437
2017-06-09,9.75,9.77,9.75,9.77,27042,27042,0.01,0.102,9.7613,"Jun 9, 17",-0.00812182741116752
2017-06-12,9.76,9.78,9.76,9.78,204233,204233,0.01,0.102,9.7607,"Jun 12, 17",-0.007106598984771602
2017-06-13,9.77,9.78,9.75,9.75,32200,32200,-0.03,-0.307,9.7735,"Jun 13, 17",-0.010152284263959355
