date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,0.79,0.81,0.762,0.77,228601,228601,-0.03,-3.75,0.778848,"Aug 5, 13",0
2013-08-06,0.78,0.78,0.7,0.71,488504,488504,-0.06,-7.792,0.732014,"Aug 6, 13",-0.07792207792207799
2013-08-07,0.71,0.7599,0.7,0.729,285932,285932,0.019,2.676,0.733098,"Aug 7, 13",-0.05324675324675329
2013-08-08,0.78,0.83,0.73,0.8,565282,565282,0.071,9.739,0.791926,"Aug 8, 13",0.038961038961038995
2013-08-09,0.81,0.8788,0.8,0.816,593535,593535,0.016,2,0.838136,"Aug 9, 13",0.05974025974025965
2013-08-12,0.87,0.97,0.861,0.94,755485,755485,0.124,15.196,0.925628,"Aug 12, 13",0.2207792207792207
2013-08-13,0.97,0.97,0.85,0.8592,919801,919801,-0.0808,-8.596,0.891204,"Aug 13, 13",0.11584415584415578
2013-08-14,0.88,0.98,0.873,0.92,672159,672159,0.0608,7.076,0.926278,"Aug 14, 13",0.19480519480519484
2013-08-15,0.9398,1.09,0.922,1.08,1301003,1301003,0.16,17.391,1.0287,"Aug 15, 13",0.4025974025974027
2013-08-16,1.11,1.15,1.05,1.06,924228,924228,-0.02,-1.852,1.089,"Aug 16, 13",0.37662337662337664
2013-08-19,1.08,1.12,1.02,1.04,469098,469098,-0.02,-1.887,1.0487,"Aug 19, 13",0.35064935064935066
2013-08-20,1.06,1.13,1.03,1.1,833522,833522,0.06,5.769,1.0975,"Aug 20, 13",0.42857142857142866
2013-08-21,1.1,1.12,1.01,1.05,643350,643350,-0.05,-4.545,1.067,"Aug 21, 13",0.36363636363636365
2013-08-22,1.03,1.1,1.03,1.07,500803,500803,0.02,1.905,1.0717,"Aug 22, 13",0.3896103896103897
2013-08-23,1.05,1.12,1.02,1.05,1168115,1168115,-0.02,-1.869,1.0571,"Aug 23, 13",0.36363636363636365
2013-08-26,1.05,1.08,1,1,560016,560016,-0.05,-4.762,1.0276,"Aug 26, 13",0.2987012987012987
2013-08-27,1.03,1.05,0.85,0.85,1231561,1231561,-0.15,-15,0.94736,"Aug 27, 13",0.10389610389610385
2013-08-28,0.9,0.92,0.8,0.8,814063,814063,-0.05,-5.882,0.863703,"Aug 28, 13",0.038961038961038995
2013-08-29,0.8,0.889,0.7417,0.813,1383681,1383681,0.013,1.625,0.778636,"Aug 29, 13",0.05584415584415575
2013-08-30,0.81,0.82,0.7702,0.78,490324,490324,-0.033,-4.059,0.790802,"Aug 30, 13",0.012987012987012998
2013-09-03,0.81,0.8714,0.782,0.7904,491360,491360,0.0104,1.333,0.811736,"Sep 3, 13",0.026493506493506458
2013-09-04,0.8,0.8304,0.75,0.77,662802,662802,-0.0204,-2.581,0.767949,"Sep 4, 13",0
2013-09-05,0.78,0.8064,0.7522,0.755,461050,461050,-0.015,-1.948,0.764789,"Sep 5, 13",-0.019480519480519497
