date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-04-08,0.05,0.32,0.05,0.26,389700,389700,0.26,0,0.239073,"Apr 8, 16",0
2016-04-11,0.3,0.34,0.25,0.33,339611,339611,0.07,26.923,0.315814,"Apr 11, 16",0.2692307692307693
2016-04-12,0.32,0.34,0.27,0.31,13429,13429,-0.02,-6.061,0.31248,"Apr 12, 16",0.19230769230769226
2016-04-13,0.28,0.34,0.23,0.27,47500,47500,-0.04,-12.903,0.292042,"Apr 13, 16",0.03846153846153849
2016-04-14,0.32,0.32,0.25,0.2866,35043,35043,0.0166,6.148,0.294341,"Apr 14, 16",0.10230769230769235
2016-04-15,0.33,0.39,0.2999,0.39,374168,374168,0.1034,36.078,0.3524,"Apr 15, 16",0.5
2016-04-18,0.4,0.4,0.31,0.31,237166,237166,-0.08,-20.513,0.357838,"Apr 18, 16",0.19230769230769226
2016-04-19,0.35,0.35,0.31,0.31,65715,65715,0,0,0.346109,"Apr 19, 16",0.19230769230769226
2016-04-20,0.3,0.38,0.3,0.36,126900,126900,0.05,16.129,0.356426,"Apr 20, 16",0.3846153846153845
2016-04-21,0.41,0.41,0.368,0.38,77950,77950,0.02,5.556,0.384633,"Apr 21, 16",0.4615384615384615
2016-04-22,0.35,0.42,0.35,0.4169,139928,139928,0.0369,9.711,0.406652,"Apr 22, 16",0.6034615384615384
2016-04-25,0.4,0.5,0.4,0.4736,191230,191230,0.0567,13.6,0.455732,"Apr 25, 16",0.8215384615384616
2016-04-26,0.5,0.5,0.421,0.47,93476,93476,-0.0036,-0.76,0.460826,"Apr 26, 16",0.8076923076923075
2016-04-27,0.458,0.47,0.42,0.47,14950,14950,0,0,0.443462,"Apr 27, 16",0.8076923076923075
2016-04-28,0.4,0.45,0.4,0.45,21500,21500,-0.02,-4.255,0.438186,"Apr 28, 16",0.7307692307692307
2016-04-29,0.4,0.45,0.4,0.45,40105,40105,0,0,0.431483,"Apr 29, 16",0.7307692307692307
2016-05-02,0.4,0.4136,0.35,0.35,36635,36635,-0.1,-22.222,0.386864,"May 2, 16",0.34615384615384603
2016-05-03,0.41,0.41,0.3501,0.38,87684,87684,0.03,8.571,0.392356,"May 3, 16",0.4615384615384615
2016-05-04,0.37,0.37,0.32,0.32,57100,57100,-0.06,-15.789,0.341151,"May 4, 16",0.23076923076923075
2016-05-05,0.35,0.35,0.33,0.35,14200,14200,0.03,9.375,0.349425,"May 5, 16",0.34615384615384603
2016-05-06,0.37,0.38,0.32,0.32,5800,5800,-0.03,-8.571,0.333966,"May 6, 16",0.23076923076923075
2016-05-09,0.3498,0.35,0.31,0.31,8150,8150,-0.01,-3.125,0.316254,"May 9, 16",0.19230769230769226
2016-05-11,0.33,0.35,0.33,0.33,9197,9197,0.02,6.452,0.341084,"May 11, 16",0.2692307692307693
2016-05-12,0.35,0.35,0.33,0.33,4522,4522,0,0,0.349498,"May 12, 16",0.2692307692307693
2016-05-13,0.33,0.33,0.31,0.31,21500,21500,-0.02,-6.061,0.319023,"May 13, 16",0.19230769230769226
2016-05-16,0.3565,0.3565,0.3269,0.3565,2750,2750,0.0465,15,0.331118,"May 16, 16",0.37115384615384606
2016-05-17,0.35,0.4,0.28,0.28,16337,16337,-0.0765,-21.459,0.378332,"May 17, 16",0.07692307692307698
2016-05-18,0.39,0.39,0.39,0.39,7001,7001,0.11,39.286,0.39,"May 18, 16",0.5
2016-05-19,0.39,0.39,0.3899,0.3899,12987,12987,-0.0001,-0.026,0.38995,"May 19, 16",0.4996153846153847
2016-05-20,0.35,0.4,0.35,0.39,29600,29600,0.0001,0.026,0.370101,"May 20, 16",0.5
2016-05-23,0.4,0.42,0.3601,0.4,57368,57368,0.01,2.564,0.399815,"May 23, 16",0.5384615384615385
2016-05-24,0.39,0.39,0.365,0.38,56237,56237,-0.02,-5,0.376876,"May 24, 16",0.4615384615384615
2016-05-25,0.35,0.4,0.301,0.4,21758,21758,0.02,5.263,0.357062,"May 25, 16",0.5384615384615385
2016-05-26,0.4,0.4,0.4,0.4,792,792,0,0,0.4,"May 26, 16",0.5384615384615385
2016-05-27,0.4,0.45,0.4,0.4,25433,25433,0,0,0.407222,"May 27, 16",0.5384615384615385
2016-05-31,0.36,0.425,0.28,0.415,10900,10900,0.015,3.75,0.387913,"May 31, 16",0.596153846153846
2016-06-01,0.435,0.53,0.4,0.5,41458,41458,0.085,20.482,0.448834,"Jun 1, 16",0.923076923076923
2016-06-02,0.5,0.5,0.5,0.5,100,100,0,0,0.5,"Jun 2, 16",0.923076923076923
2016-06-03,0.31,0.45,0.31,0.4,18419,18419,-0.1,-20,0.394469,"Jun 3, 16",0.5384615384615385
2016-06-06,0.38,0.44,0.38,0.41,8981,8981,0.01,2.5,0.406517,"Jun 6, 16",0.5769230769230768
2016-06-07,0.41,0.41,0.3263,0.3729,27501,27501,-0.0371,-9.049,0.381492,"Jun 7, 16",0.4342307692307692
2016-06-09,0.4,0.4,0.4,0.4,1100,1100,0.0271,7.267,0.4,"Jun 9, 16",0.5384615384615385
2016-06-10,0.4,0.4,0.379,0.379,12611,12611,-0.021,-5.25,0.391285,"Jun 10, 16",0.4576923076923077
2016-06-13,0.38,0.38,0.3799,0.38,15900,15900,0.001,0.264,0.379994,"Jun 13, 16",0.4615384615384615
2016-06-14,0.38,0.38,0.35,0.38,21350,21350,0,0,0.37255,"Jun 14, 16",0.4615384615384615
2016-06-15,0.36,0.36,0.36,0.36,2200,2200,-0.02,-5.263,0.36,"Jun 15, 16",0.3846153846153845
2016-06-16,0.38,0.38,0.38,0.38,100,100,0.02,5.556,0.38,"Jun 16, 16",0.4615384615384615
2016-06-17,0.38,0.38,0.38,0.38,100,100,0,0,0.38,"Jun 17, 16",0.4615384615384615
2016-06-21,0.38,0.38,0.38,0.38,100,100,0,0,0.38,"Jun 21, 16",0.4615384615384615
2016-06-22,0.38,0.38,0.38,0.38,100,100,0,0,0.38,"Jun 22, 16",0.4615384615384615
2016-06-23,0.37,0.37,0.37,0.37,100,100,-0.01,-2.632,0.37,"Jun 23, 16",0.423076923076923
2016-06-28,0.35,0.35,0.35,0.35,5800,5800,-0.02,-5.405,0.35,"Jun 28, 16",0.34615384615384603
