date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,8.3875,8.4019,8.2793,8.3009,122893,122893,-0.086546,-1.032,8.3295,"Aug 5, 13",0
2013-08-06,8.3051,8.3414,8.2471,8.3196,291027,291027,0.018676,0.225,8.2994,"Aug 6, 13",0.0022527677721691686
2013-08-07,8.2543,8.3051,8.2253,8.2543,190677,190677,-0.065276,-0.785,8.2707,"Aug 7, 13",-0.005613849100699894
2013-08-08,8.2398,8.2906,8.2326,8.2326,216888,216888,-0.021761,-0.264,8.2454,"Aug 8, 13",-0.008228023467334951
2013-08-09,8.1673,8.2543,8.1455,8.2398,265362,265362,0.007252,0.088,8.1852,"Aug 9, 13",-0.007360647640617247
2013-08-12,8.2108,8.2471,8.1818,8.1963,272875,272875,-0.043518,-0.528,8.2141,"Aug 12, 13",-0.012601043260369307
2013-08-13,8.16,8.2108,8.0948,8.0948,252695,252695,-0.101548,-1.239,8.1445,"Aug 13, 13",-0.024828633039790993
2013-08-14,8.0875,8.1165,8.073,8.0948,249784,249784,0,0,8.0929,"Aug 14, 13",-0.024828633039790993
2013-08-15,8.0658,8.0658,7.9932,8.044,304242,304242,-0.050774,-0.627,8.0184,"Aug 15, 13",-0.030948451372742703
2013-08-16,8.0077,8.0237,7.9715,8.0077,280440,280440,-0.036268,-0.451,8.0019,"Aug 16, 13",-0.035321471165777274
2013-08-19,7.986,8.044,7.9497,8.0367,355837,355837,0.029015,0.362,7.9954,"Aug 19, 13",-0.031827874085942565
2013-08-20,8.0367,8.2108,8.0222,8.1964,409707,409707,0.159642,1.986,8.1054,"Aug 20, 13",-0.012588996373887147
2013-08-21,8.1818,8.2181,8.1455,8.1455,233499,233499,-0.050843,-0.62,8.1843,"Aug 21, 13",-0.01872086159332123
2013-08-22,8.1238,8.4937,8.1238,8.4864,299561,299561,0.340909,4.185,8.351,"Aug 22, 13",0.022346974424459917
2013-08-23,8.4864,8.53,8.4502,8.53,306882,306882,0.04352,0.513,8.4912,"Aug 23, 13",0.027599416930694138
2013-08-26,8.4937,8.5372,8.4864,8.5227,294041,294041,-0.007255,-0.085,8.5212,"Aug 26, 13",0.026719994217494488
2013-08-27,8.5155,8.5735,8.501,8.567,367219,367219,0.044252,0.519,8.5461,"Aug 27, 13",0.032056764929104045
2013-08-28,8.53,8.588,8.5082,8.5082,204540,204540,-0.05876,-0.686,8.519,"Aug 28, 13",0.024973195677577133
2013-08-29,8.4864,8.5662,8.3994,8.5662,365773,365773,0.058027,0.682,8.4761,"Aug 29, 13",0.03196038983724655
2013-08-30,8.4864,8.5226,8.3849,8.4139,138940,138940,-0.152316,-1.778,8.4332,"Aug 30, 13",0.01361298172487315
2013-09-03,8.4067,8.4284,8.3051,8.3776,202886,202886,-0.036272,-0.431,8.349,"Sep 3, 13",0.009239961931838582
2013-09-04,8.3196,8.3922,8.2688,8.3849,553241,553241,0.007257,0.087,8.3461,"Sep 4, 13",0.010119384645038445
2013-09-05,8.3559,8.3922,8.2543,8.2979,185897,185897,-0.08704,-1.038,8.307,"Sep 5, 13",-0.00036140659446567405
2013-09-06,8.2906,8.2906,8.1891,8.1927,217791,217791,-0.105177,-1.268,8.2256,"Sep 6, 13",-0.013034731173728158
2013-09-09,8.2218,8.2948,8.2073,8.2437,251909,251909,0.051046,0.623,8.2413,"Sep 9, 13",-0.0068908190678119135
2013-09-10,8.2145,8.2729,8.1927,8.2437,199916,199916,0,0,8.2359,"Sep 10, 13",-0.0068908190678119135
2013-09-11,8.1197,8.2073,8.0686,8.0686,518850,518850,-0.175089,-2.124,8.1297,"Sep 11, 13",-0.027984917298124346
2013-09-12,8.0541,8.1197,8.0515,8.0624,327414,327414,-0.006274,-0.078,8.0879,"Sep 12, 13",-0.028731824260020015
2013-09-13,8.0541,8.1708,8.0468,8.1616,437003,437003,0.099219,1.231,8.127,"Sep 13, 13",-0.01678131286968888
2013-09-16,8.1927,8.2364,8.1781,8.1854,284679,284679,0.02378,0.291,8.2051,"Sep 16, 13",-0.013914153886928023
2013-09-17,8.2073,8.324,8.2073,8.324,193512,193512,0.138613,1.693,8.2736,"Sep 17, 13",0.002782830777385519
2013-09-18,8.2948,8.5355,8.2875,8.5282,250692,250692,0.204271,2.454,8.3718,"Sep 18, 13",0.027382572974014818
2013-09-19,8.4991,8.6012,8.4918,8.5574,381143,381143,0.02918,0.342,8.5548,"Sep 19, 13",0.030900263826813844
2013-09-20,8.5501,8.5676,8.5064,8.5282,135928,135928,-0.02918,-0.341,8.5327,"Sep 20, 13",0.027382572974014818
2013-09-23,8.5137,8.6012,8.5137,8.5793,129914,129914,0.051066,0.599,8.5638,"Sep 23, 13",0.033538531966413224
2013-09-24,8.6012,8.6815,8.5428,8.6815,267878,267878,0.102136,1.19,8.6149,"Sep 24, 13",0.045850449951210036
2013-09-25,8.6742,8.6887,8.6158,8.6231,179575,179575,-0.058364,-0.672,8.6499,"Sep 25, 13",0.038815068245611976
2013-09-26,8.5939,8.6523,8.5939,8.6377,176370,176370,0.014592,0.169,8.6322,"Sep 26, 13",0.04057391367201149
2013-09-27,8.6231,8.645,8.6012,8.6377,130213,130213,0,0,8.6191,"Sep 27, 13",0.04057391367201149
2013-09-30,8.6377,8.6377,8.5793,8.5939,139840,139840,-0.043774,-0.507,8.5994,"Sep 30, 13",0.03529737739281274
2013-10-01,8.6231,8.6231,8.5501,8.5793,144763,144763,-0.01459,-0.17,8.575,"Oct 1, 13",0.033538531966413224
2013-10-02,8.5355,8.5866,8.5064,8.5647,96010,96010,-0.014595,-0.17,8.5532,"Oct 2, 13",0.03177968654001371
2013-10-03,8.5501,8.572,8.5064,8.5282,134463,134463,-0.036471,-0.426,8.5296,"Oct 3, 13",0.027382572974014818
2013-10-04,8.5355,8.5567,8.5137,8.5282,119768,119768,0,0,8.5404,"Oct 4, 13",0.027382572974014818
2013-10-07,8.5064,8.5282,8.4261,8.4334,265781,265781,-0.094842,-1.112,8.4636,"Oct 7, 13",0.01596212458890003
2013-10-08,8.4042,8.4334,8.3823,8.3969,104533,104533,-0.036476,-0.433,8.3987,"Oct 8, 13",0.011565011022901141
2013-10-09,8.4079,8.4446,8.4006,8.405,96046,96046,0.008071,0.096,8.372,"Oct 9, 13",0.01254080882795829
2013-10-10,8.4079,8.4299,8.3786,8.3786,157699,157699,-0.026416,-0.314,8.4026,"Oct 10, 13",0.009360430796660615
2013-10-11,8.3786,8.3859,8.3272,8.3272,284496,284496,-0.051354,-0.613,8.3593,"Oct 11, 13",0.003168331144815514
2013-10-14,8.3272,8.3566,8.3126,8.3272,344759,344759,0,0,8.3334,"Oct 14, 13",0.003168331144815514
2013-10-15,8.3199,8.3419,8.2979,8.3052,323520,323520,-0.022016,-0.264,8.3191,"Oct 15, 13",0.0005180161187339758
2013-10-16,8.2832,8.3346,8.2759,8.3272,201687,201687,0.022016,0.265,8.302,"Oct 16, 13",0.003168331144815514
2013-10-17,8.3419,8.474,8.3236,8.452,389797,389797,0.124725,1.498,8.3979,"Oct 17, 13",0.01820284547458704
2013-10-18,8.4886,8.562,8.4703,8.4813,237997,237997,0.029348,0.347,8.4939,"Oct 18, 13",0.02173258321386823
2013-10-21,8.4886,8.5107,8.4593,8.4813,168147,168147,0,0,8.4836,"Oct 21, 13",0.02173258321386823
2013-10-22,8.5253,8.54,8.474,8.474,243217,243217,-0.007339,-0.087,8.5075,"Oct 22, 13",0.02085316050066858
2013-10-23,8.4593,8.5693,8.4593,8.5107,212501,212501,0.036685,0.433,8.53,"Oct 23, 13",0.02527436783963179
2013-10-24,8.5253,8.5767,8.5107,8.5327,144258,144258,0.022008,0.259,8.5374,"Oct 24, 13",0.02792468286571333
2013-10-25,8.54,8.5619,8.518,8.5203,103832,103832,-0.012328,-0.144,8.5415,"Oct 25, 13",0.02643086894192199
2013-10-28,8.54,8.606,8.54,8.5708,185602,185602,0.05048,0.592,8.5813,"Oct 28, 13",0.03251454661542722
2013-10-29,8.5987,8.6134,8.5693,8.5693,121786,121786,-0.001468,-0.017,8.5862,"Oct 29, 13",0.03233384331819438
2013-10-30,8.5693,8.6721,8.5473,8.6501,481583,481583,0.080707,0.942,8.6072,"Oct 30, 13",0.04206772759580283
2013-10-31,8.6794,8.6867,8.6134,8.628,241414,241414,-0.022015,-0.255,8.6383,"Oct 31, 13",0.03940536568323913
2013-11-01,8.6574,8.6574,8.5327,8.5327,207624,207624,-0.095376,-1.105,8.5946,"Nov 1, 13",0.02792468286571333
2013-11-04,8.518,8.606,8.518,8.5253,213796,213796,-0.007336,-0.086,8.5552,"Nov 4, 13",0.027033213266031305
2013-11-05,8.518,8.5693,8.518,8.5473,130027,130027,0.022009,0.258,8.5333,"Nov 5, 13",0.02968352829211284
2013-11-06,8.5732,8.5798,8.5289,8.5436,240170,240170,-0.003692,-0.043,8.5586,"Nov 6, 13",0.02923779349227183
2013-11-07,8.5363,8.6027,8.5068,8.5879,214083,214083,0.044269,0.518,8.5501,"Nov 7, 13",0.034574564203881386
2013-11-08,8.5732,8.5732,8.4478,8.4846,212277,212277,-0.10329,-1.203,8.4846,"Nov 8, 13",0.022130130467780597
2013-11-11,8.433,8.4846,8.433,8.4645,150588,150588,-0.02007,-0.237,8.4642,"Nov 11, 13",0.01970870628486054
2013-11-12,8.433,8.4625,8.3887,8.3961,402331,402331,-0.06847,-0.809,8.4046,"Nov 12, 13",0.011468635931043643
2013-11-13,8.4108,8.4108,8.3444,8.3887,202491,202491,-0.007379,-0.088,8.3791,"Nov 13, 13",0.010577166331361618
2013-11-14,8.3887,8.4624,8.3813,8.4256,219266,219266,0.036891,0.44,8.4233,"Nov 14, 13",0.015022467443289151
2013-11-15,8.4108,8.4551,8.4108,8.4256,112168,112168,0,0,8.4197,"Nov 15, 13",0.015022467443289151
