date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,17.5861,17.5978,17.2975,17.3287,20924,20924,-0.30415,-1.725,17.4986,"Aug 5, 13",0
2013-08-06,17.3394,17.5081,17.1961,17.4847,31800,31800,0.155975,0.9,17.4025,"Aug 6, 13",0.009002406412483267
2013-08-07,17.3521,17.4223,17.2071,17.3209,44543,44543,-0.163774,-0.937,17.3298,"Aug 7, 13",-0.0004501203206241429
2013-08-08,17.3677,17.4769,17.3521,17.3911,10279,10279,0.070189,0.405,17.3951,"Aug 8, 13",0.0036009625649933478
2013-08-09,17.3911,17.4378,17.3911,17.3911,14220,14220,0,0,17.3963,"Aug 9, 13",0.0036009625649933478
2013-08-12,17.3677,17.4885,17.2819,17.2975,58607,58607,-0.093586,-0.538,17.4021,"Aug 12, 13",-0.0018004812824967764
2013-08-13,17.2663,17.2663,16.814,16.9088,23997,23997,-0.388764,-2.248,16.9118,"Aug 13, 13",-0.02423147726026776
2013-08-14,16.853,16.938,16.6276,16.892,421001,421001,-0.016766,-0.099,16.8459,"Aug 14, 13",-0.025200967181612112
2013-08-15,16.7438,16.7438,16.1901,16.2603,168908,168908,-0.631698,-3.74,16.2427,"Aug 15, 13",-0.06165494237882821
2013-08-16,16.1589,16.2993,16.1121,16.1823,195553,195553,-0.077985,-0.48,16.2771,"Aug 16, 13",-0.06615614558506984
2013-08-19,16.1355,16.2603,15.8626,15.9115,46491,46491,-0.270771,-1.673,16.02,"Aug 19, 13",-0.08178339979340638
2013-08-20,15.9094,16.3773,15.8782,16.3773,18982,18982,0.465738,2.927,16.1131,"Aug 20, 13",-0.05490313756946565
2013-08-21,16.2447,16.4943,16.2369,16.4397,18199,18199,0.06239,0.381,16.3647,"Aug 21, 13",-0.05130217500447251
2013-08-22,16.3773,16.7048,16.3773,16.697,57607,57607,0.257356,1.565,16.5745,"Aug 22, 13",-0.0364539751972163
2013-08-23,16.6424,16.9566,16.6424,16.9388,18563,18563,0.241762,1.448,16.8435,"Aug 23, 13",-0.022500245257867053
2013-08-26,17.2182,17.3022,17.1073,17.2737,15085,15085,0.334915,1.977,17.238,"Aug 26, 13",-0.0031739253377344933
2013-08-27,17.2182,17.2412,16.9568,17.1073,15036,15036,-0.166398,-0.963,17.0971,"Aug 27, 13",-0.01277649217771689
2013-08-28,16.7349,16.8379,16.727,16.8141,11164,11164,-0.293178,-1.714,16.7973,"Aug 28, 13",-0.029696399614512425
2013-08-29,16.8696,16.9013,16.7983,16.8062,18468,18468,-0.007922,-0.047,16.8298,"Aug 29, 13",-0.03015229070847789
2013-08-30,16.7349,17.0756,16.7349,16.8775,14312,14312,0.071313,0.424,16.9216,"Aug 30, 13",-0.02603772931610565
2013-09-03,16.8538,16.9092,16.521,16.727,15860,15860,-0.150551,-0.892,16.7366,"Sep 3, 13",-0.034722743194815595
2013-09-04,16.7428,16.8775,16.7032,16.7472,15917,15917,0.020205,0.121,16.764,"Sep 4, 13",-0.033557046979865876
2013-09-05,16.7032,16.8355,16.6477,16.7507,79272,79272,0.003565,0.021,16.7587,"Sep 5, 13",-0.0333550699129192
2013-09-06,16.7428,16.7983,16.5764,16.7507,6326,6326,0,0,16.717,"Sep 6, 13",-0.0333550699129192
2013-09-09,16.719,16.8419,16.7032,16.7904,20740,20740,0.039619,0.237,16.7993,"Sep 9, 13",-0.03106407289640882
2013-09-10,16.7824,16.8379,16.7587,16.7587,26996,26996,-0.031613,-0.188,16.808,"Sep 10, 13",-0.03289340804561221
2013-09-11,16.7587,16.9013,16.6794,16.7824,33533,33533,0.02369,0.141,16.7743,"Sep 11, 13",-0.03152573476371581
2013-09-12,16.7587,16.8141,16.6636,16.7587,46773,46773,-0.023771,-0.142,16.7925,"Sep 12, 13",-0.03289340804561221
2013-09-13,16.7587,16.8062,16.727,16.7666,12496,12496,0.007924,0.047,16.7685,"Sep 13, 13",-0.03243751695164674
2013-09-16,16.9885,17.1152,16.7587,16.7587,31260,31260,-0.007924,-0.047,16.7792,"Sep 16, 13",-0.03289340804561221
2013-09-17,16.8141,16.8292,16.7587,16.7983,28705,28705,0.039618,0.236,16.7905,"Sep 17, 13",-0.030608181802443356
2013-09-18,16.8458,17.2816,16.6557,17.2816,75804,75804,0.483348,2.877,16.8159,"Sep 18, 13",-0.002718034243769028
2013-09-19,17.1786,17.3292,17.1549,17.2499,31365,31365,-0.031695,-0.183,17.1756,"Sep 19, 13",-0.004547369392972415
2013-09-20,17.2579,17.2579,16.8379,17.0994,19450,19450,-0.150552,-0.873,17.0404,"Sep 20, 13",-0.013232383271682356
2013-09-23,17.1628,17.5035,17.1469,17.4718,54032,54032,0.372415,2.178,17.3451,"Sep 23, 13",0.008257976651451086
2013-09-24,17.4797,17.7095,17.4797,17.6382,66205,66205,0.166399,0.952,17.6288,"Sep 24, 13",0.01786054349143328
2013-09-25,17.6382,17.654,17.4956,17.4956,28839,28839,-0.142628,-0.809,17.5873,"Sep 25, 13",0.009631420706688803
2013-09-26,17.5114,17.5114,17.2341,17.2341,18430,18430,-0.261483,-1.495,17.3596,"Sep 26, 13",-0.005459151580903344
2013-09-27,17.3767,17.3926,16.9013,17.1628,22462,22462,-0.071313,-0.414,17.171,"Sep 27, 13",-0.009573712973275583
2013-09-30,17.1628,17.2024,17.0202,17.0756,20483,20483,-0.08716,-0.508,17.0993,"Sep 30, 13",-0.014605827326920073
2013-10-01,16.933,17.1175,16.6794,17.036,15227,15227,-0.039622,-0.232,16.9911,"Oct 1, 13",-0.016891053570088924
2013-10-02,17.0994,17.1945,17.0281,17.1232,27778,27778,0.087163,0.512,17.1118,"Oct 2, 13",-0.011858939216444434
2013-10-03,17.0281,17.1073,16.8617,17.0896,29930,29930,-0.033597,-0.196,17.0471,"Oct 3, 13",-0.013797919059133145
2013-10-04,17.0122,17.0756,16.8063,16.8538,5827,5827,-0.23581,-1.38,16.9481,"Oct 4, 13",-0.02740540259800225
2013-10-07,16.8538,16.9964,16.8538,16.9568,90898,90898,0.103011,0.611,16.9782,"Oct 7, 13",-0.021461506056426626
2013-10-08,16.9647,16.9647,16.6969,16.8775,64338,64338,-0.079238,-0.467,16.89,"Oct 8, 13",-0.02603772931610565
2013-10-09,16.8775,16.9171,16.7983,16.8379,12356,12356,-0.039619,-0.235,16.7096,"Oct 9, 13",-0.028322955559274502
2013-10-10,16.9488,16.9488,16.7507,16.7507,11048,11048,-0.087162,-0.518,16.7773,"Oct 10, 13",-0.0333550699129192
2013-10-11,16.7904,16.9013,16.7904,16.8458,10375,10375,0.095086,0.568,16.8403,"Oct 11, 13",-0.027867064465309038
2013-10-14,16.8221,16.9171,16.7983,16.8379,12033,12033,-0.007924,-0.047,16.8605,"Oct 14, 13",-0.028322955559274502
2013-10-15,16.9409,16.9409,16.7032,16.7983,59942,59942,-0.039619,-0.235,16.8364,"Oct 15, 13",-0.030608181802443356
2013-10-16,16.8379,17.1339,16.8062,16.8062,15640,15640,0.007925,0.047,16.8616,"Oct 16, 13",-0.03015229070847789
2013-10-17,16.8617,16.9409,16.7824,16.9251,11786,11786,0.118854,0.707,16.8804,"Oct 17, 13",-0.023290841205630013
2013-10-18,16.9568,17.0835,16.9568,17.0439,25376,25376,0.118856,0.702,16.999,"Oct 18, 13",-0.01643516247612346
2013-10-21,16.9805,17.1786,16.9156,17.0518,5066,5066,0.007923,0.046,17.0412,"Oct 21, 13",-0.015979271382157996
2013-10-22,17.1945,17.5431,17.1152,17.4401,28826,28826,0.388264,2.277,17.2908,"Oct 22, 13",0.0064286415022477
2013-10-23,17.4401,17.5748,17.4322,17.4322,18471,18471,-0.007923,-0.045,17.4814,"Oct 23, 13",0.005972750408282235
2013-10-24,17.5352,17.6144,17.2182,17.6144,40890,40890,0.182244,1.045,17.491,"Oct 24, 13",0.016487099436195356
2013-10-25,17.551,17.6303,17.4798,17.4956,9324,9324,-0.118856,-0.675,17.5375,"Oct 25, 13",0.009631420706688803
2013-10-28,17.5114,17.8741,17.4876,17.8441,54724,54724,0.348565,1.992,17.7642,"Oct 28, 13",0.029742565801243
2013-10-29,17.8521,17.9868,17.8442,17.9314,119187,119187,0.087241,0.489,17.9625,"Oct 29, 13",0.03478045092822881
2013-10-30,18.0185,18.0185,17.9076,17.9076,27868,27868,-0.023771,-0.133,17.9349,"Oct 30, 13",0.03340700687299089
2013-10-31,17.9163,17.9472,17.9076,17.9076,18752,18752,0,0,17.9105,"Oct 31, 13",0.03340700687299089
2013-11-01,17.9076,17.9393,17.8284,17.868,20471,20471,-0.03962,-0.221,17.84,"Nov 1, 13",0.03112178062982204
2013-11-04,17.9155,17.9631,17.9076,17.9155,9974,9974,0.047545,0.266,17.926,"Nov 4, 13",0.03386289796695656
2013-11-05,17.1232,17.8917,17.1232,17.6303,11854,11854,-0.285255,-1.592,17.6697,"Nov 5, 13",0.01740465239746761
2013-11-06,17.7491,17.7571,17.7491,17.7491,12654,12654,0.118856,0.674,17.7506,"Nov 6, 13",0.024260331126974163
2013-11-07,17.7491,17.9789,17.7412,17.8521,82346,82346,0.103008,0.58,17.898,"Nov 7, 13",0.03020422766854979
2013-11-08,17.7412,17.7412,17.4876,17.4956,8259,8259,-0.356569,-1.997,17.561,"Nov 8, 13",0.009631420706688803
2013-11-11,17.5273,17.538,17.3391,17.4005,12834,12834,-0.095085,-0.543,17.4355,"Nov 11, 13",0.004143415259078848
