date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-07-30,14,14,10.71,10.89,5015569,5015569,10.89,0,12.6305,"Jul 30, 15",0
2015-07-31,10.6,10.78,9.2,10,872997,872997,-0.89,-8.173,10.025,"Jul 31, 15",-0.08172635445362723
2015-08-03,10.06,10.5,9.89,10,311490,311490,0,0,10.1116,"Aug 3, 15",-0.08172635445362723
2015-08-04,10,10.3,10,10.04,154360,154360,0.04,0.4,10.0523,"Aug 4, 15",-0.07805325987144182
2015-08-05,10.3,10.3,9.86,10,210534,210534,-0.04,-0.398,10.0371,"Aug 5, 15",-0.08172635445362723
2015-08-06,10.23,10.23,9.37,9.5,140715,140715,-0.5,-5,9.8995,"Aug 6, 15",-0.12764003673094587
2015-08-07,9.33,9.41,8.31,8.91,177479,177479,-0.59,-6.211,8.8232,"Aug 7, 15",-0.18181818181818185
2015-08-10,9.33,9.547,8.33,8.43,141220,141220,-0.48,-5.387,8.8488,"Aug 10, 15",-0.22589531680440778
2015-08-11,8.3,8.941,7.66,7.88,93117,93117,-0.55,-6.524,8.0783,"Aug 11, 15",-0.2764003673094583
2015-08-12,7.98,8.22,7.42,7.7,174790,174790,-0.18,-2.284,7.7794,"Aug 12, 15",-0.29292929292929293
2015-08-13,7.7,8.249,7.7,8,47849,47849,0.3,3.896,8.0136,"Aug 13, 15",-0.2653810835629018
2015-08-14,7.8,8.2,7.8,8.03,36081,36081,0.03,0.375,7.9569,"Aug 14, 15",-0.2626262626262627
2015-08-17,7.9,8.99,7.82,8.97,80440,80440,0.94,11.706,8.7147,"Aug 17, 15",-0.17630853994490356
2015-08-18,8.99,10.24,8.7001,10.02,131062,131062,1.05,11.706,9.8317,"Aug 18, 15",-0.07988980716253452
2015-08-19,10,10.299,9.57,10.08,126508,126508,0.06,0.599,10.0179,"Aug 19, 15",-0.07438016528925624
2015-08-20,10.14,10.35,9.8307,9.925,58527,58527,-0.155,-1.538,10.0745,"Aug 20, 15",-0.08861340679522496
2015-08-21,9.92,9.92,8.72,8.85,40021,40021,-1.075,-10.831,9.1037,"Aug 21, 15",-0.18732782369146014
2015-08-24,7.95,9.84,7.5,8.84,92633,92633,-0.01,-0.113,8.6756,"Aug 24, 15",-0.18824609733700648
2015-08-25,9.33,9.33,8.05,8.39,80168,80168,-0.45,-5.09,8.3251,"Aug 25, 15",-0.2295684113865932
2015-08-26,8.8,9.0699,8.22,8.97,41777,41777,0.58,6.913,8.707,"Aug 26, 15",-0.17630853994490356
2015-08-27,8.8,9.4923,8.47,8.91,16741,16741,-0.06,-0.669,8.8926,"Aug 27, 15",-0.18181818181818185
2015-08-28,8.86,9.8,8.86,9.42,43088,43088,0.51,5.724,9.4695,"Aug 28, 15",-0.13498622589531686
2015-08-31,9.21,9.96,8.4601,8.72,71264,71264,-0.7,-7.431,9.0379,"Aug 31, 15",-0.1992653810835629
2015-09-01,8.65,9.495,8.521,8.97,45644,45644,0.25,2.867,9.0026,"Sep 1, 15",-0.17630853994490356
2015-09-02,9.16,9.404,8.27,8.97,229560,229560,0,0,8.9588,"Sep 2, 15",-0.17630853994490356
2015-09-03,9,9.79,9,9.5,58982,58982,0.53,5.909,9.4154,"Sep 3, 15",-0.12764003673094587
2015-09-04,9.19,9.8,9.1,9.32,32097,32097,-0.18,-1.895,9.3008,"Sep 4, 15",-0.14416896235078056
2015-09-08,9.72,10,9.1,9.64,48857,48857,0.32,3.433,9.6339,"Sep 8, 15",-0.1147842056932966
2015-09-09,9.94,9.94,9.09,9.22,22475,22475,-0.42,-4.357,9.4872,"Sep 9, 15",-0.15335169880624425
2015-09-10,9.05,9.67,8.9,8.96,45620,45620,-0.26,-2.82,9.1323,"Sep 10, 15",-0.17722681359044992
2015-09-11,8.55,9.5,8.54,9.21,47414,47414,0.25,2.79,9.0052,"Sep 11, 15",-0.1542699724517906
2015-09-14,8.72,9.22,8.72,9.08,17824,17824,-0.13,-1.412,9.0917,"Sep 14, 15",-0.16620752984389353
2015-09-15,9.03,9.42,8.8,9.025,42722,42722,-0.055,-0.606,9.0645,"Sep 15, 15",-0.17125803489439853
2015-09-16,8.7701,9.39,8.632,9.28,195542,195542,0.255,2.825,9.0927,"Sep 16, 15",-0.14784205693296612
2015-09-17,9.3205,9.8,9.1,9.33,162340,162340,0.05,0.539,9.4282,"Sep 17, 15",-0.1432506887052342
2015-09-18,9.3499,9.43,7.56,7.56,318827,318827,-1.77,-18.971,8.2252,"Sep 18, 15",-0.30578512396694224
2015-09-21,7.77,8.13,7.03,7.23,220595,220595,-0.33,-4.365,7.5232,"Sep 21, 15",-0.33608815426997246
2015-09-22,7.09,7.28,6.15,7.28,314035,314035,0.05,0.692,6.7659,"Sep 22, 15",-0.3314967860422406
2015-09-23,7.03,7.43,6.51,7.15,51802,51802,-0.13,-1.786,7.1115,"Sep 23, 15",-0.3434343434343434
2015-09-24,7.09,7.25,6.59,6.78,100791,100791,-0.37,-5.175,6.9275,"Sep 24, 15",-0.3774104683195592
2015-09-25,6.79,6.8,6.272,6.44,100192,100192,-0.34,-5.015,6.5318,"Sep 25, 15",-0.4086317722681359
2015-09-28,6.44,6.7,5.27,6.48,143883,143883,0.04,0.621,5.8198,"Sep 28, 15",-0.4049586776859504
2015-09-29,6.46,6.96,6.3501,6.86,57895,57895,0.38,5.864,6.6959,"Sep 29, 15",-0.37006427915518825
2015-09-30,7,7.42,6.48,6.52,643262,643262,-0.34,-4.956,6.6333,"Sep 30, 15",-0.401285583103765
2015-10-01,6.6,6.64,5.815,6.27,96677,96677,-0.25,-3.834,6.0843,"Oct 1, 15",-0.4242424242424243
2015-10-02,6.17,6.99,5.721,6.75,88215,88215,0.48,7.656,6.4073,"Oct 2, 15",-0.38016528925619836
2015-10-05,6.85,7.15,6.39,7.06,31070,31070,0.31,4.593,6.8456,"Oct 5, 15",-0.35169880624426086
2015-10-06,7.06,7.06,6.5,6.69,73028,73028,-0.37,-5.241,6.6558,"Oct 6, 15",-0.3856749311294766
2015-10-07,6.64,8.05,6.525,7.93,98655,98655,1.24,18.535,7.6082,"Oct 7, 15",-0.2718089990817264
2015-10-08,7.7699,7.7699,7.03,7.5,43521,43521,-0.43,-5.422,7.3158,"Oct 8, 15",-0.3112947658402204
2015-10-09,7.53,7.87,7.014,7.07,19588,19588,-0.43,-5.733,7.2183,"Oct 9, 15",-0.35078053259871445
2015-10-12,7.12,7.23,6.85,6.99,24769,24769,-0.08,-1.132,6.9838,"Oct 12, 15",-0.3581267217630854
2015-10-13,6.95,7.32,6.7001,6.75,18116,18116,-0.24,-3.433,6.8888,"Oct 13, 15",-0.38016528925619836
2015-10-14,6.83,6.98,6.48,6.87,19216,19216,0.12,1.778,6.8007,"Oct 14, 15",-0.3691460055096419
2015-10-15,6.93,7.6,6.55,7.47,20215,20215,0.6,8.734,7.1285,"Oct 15, 15",-0.31404958677685957
2015-10-16,7.51,8.13,7.345,8.12,33108,33108,0.65,8.701,7.8496,"Oct 16, 15",-0.2543617998163454
2015-10-19,8.03,8.13,7.178,8.03,23296,23296,-0.09,-1.108,7.9514,"Oct 19, 15",-0.2626262626262627
2015-10-20,7.98,8.22,7.3,7.92,70324,70324,-0.11,-1.37,7.9227,"Oct 20, 15",-0.27272727272727276
2015-10-21,7.98,8.045,7.4078,7.84,27159,27159,-0.08,-1.01,7.7507,"Oct 21, 15",-0.2800734618916438
2015-10-22,7.86,8.079,7.07,7.42,34109,34109,-0.42,-5.357,7.4634,"Oct 22, 15",-0.3186409550045914
2015-10-23,7.46,7.83,7.46,7.65,16151,16151,0.23,3.1,7.6395,"Oct 23, 15",-0.2975206611570248
2015-10-26,7.65,7.86,7.42,7.53,50819,50819,-0.12,-1.569,7.6268,"Oct 26, 15",-0.3085399449035813
2015-10-27,7.59,7.83,6.82,7.16,146232,146232,-0.37,-4.914,7.3483,"Oct 27, 15",-0.34251606978879706
2015-10-28,7.59,7.835,7.1,7.49,49653,49653,0.33,4.609,7.5473,"Oct 28, 15",-0.3122130394857668
2015-10-29,7.44,7.81,7.0356,7.21,57749,57749,-0.28,-3.738,7.3476,"Oct 29, 15",-0.33792470156106524
2015-10-30,7.23,7.8,7.01,7.34,51548,51548,0.13,1.803,7.2811,"Oct 30, 15",-0.3259871441689624
