date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,77.59,77.94,76.46,77.51,248940,248940,-0.41,-0.526,77.3582,"Aug 5, 13",0
2013-08-06,77.22,77.22,75.71,76.36,401369,401369,-1.15,-1.484,76.1702,"Aug 6, 13",-0.014836795252225591
2013-08-07,75.94,76,74.176,74.57,1310748,1310748,-1.79,-2.344,74.6886,"Aug 7, 13",-0.037930589601341914
2013-08-08,74.67,75.35,74.31,74.98,981038,981038,0.41,0.55,74.8309,"Aug 8, 13",-0.03264094955489615
2013-08-09,74.92,75.57,74.2,74.85,441318,441318,-0.13,-0.173,74.7913,"Aug 9, 13",-0.03431815249645221
2013-08-12,74.17,75.18,73.35,74.79,408190,408190,-0.06,-0.08,74.413,"Aug 12, 13",-0.03509224616178556
2013-08-13,75.14,75.725,74.16,75.14,326984,326984,0.35,0.468,75.1486,"Aug 13, 13",-0.030576699780673518
2013-08-14,75.14,75.14,74.02,74.28,483460,483460,-0.86,-1.145,74.4703,"Aug 14, 13",-0.04167204231712042
2013-08-15,73.34,74.22,72.59,73.78,1553033,1553033,-0.5,-0.673,73.5191,"Aug 15, 13",-0.0481228228615663
2013-08-16,73.4,74.27,73.165,73.94,736791,736791,0.16,0.217,73.7966,"Aug 16, 13",-0.04605857308734366
2013-08-19,73.94,74.05,73.3,73.35,951627,951627,-0.59,-0.798,73.5637,"Aug 19, 13",-0.05367049412978984
2013-08-20,73.49,74.91,73.24,74.21,478557,478557,0.86,1.172,74.376,"Aug 20, 13",-0.042575151593342936
2013-08-21,74.08,74.5,73.45,73.93,676174,676174,-0.28,-0.377,74.1058,"Aug 21, 13",-0.04618758869823246
2013-08-22,73.89,75.9,73.79,75.62,313122,313122,1.69,2.286,75.4016,"Aug 22, 13",-0.024383950458005423
2013-08-23,75.7,75.7,74.48,74.81,437172,437172,-0.81,-1.071,74.7813,"Aug 23, 13",-0.034834214940007775
2013-08-26,74.81,75.2,74.22,74.57,362886,362886,-0.24,-0.321,74.686,"Aug 26, 13",-0.037930589601341914
2013-08-27,73.63,74.02,73.2,73.46,472938,472938,-1.11,-1.489,73.6605,"Aug 27, 13",-0.05225132241001176
2013-08-28,73.32,73.85,72.89,73.33,484367,484367,-0.13,-0.177,73.4671,"Aug 28, 13",-0.05392852535156763
2013-08-29,72.99,74.38,72.99,74.1,235123,235123,0.77,1.05,74.1235,"Aug 29, 13",-0.043994323313121024
2013-08-30,74.23,74.23,73.59,73.77,330750,330750,-0.33,-0.445,73.8578,"Aug 30, 13",-0.04825183847245528
2013-09-03,75.33,75.38,73.63,74.05,309744,309744,0.28,0.38,74.0467,"Sep 3, 13",-0.04463940136756558
2013-09-04,74.03,74.95,73.88,74.62,346471,346471,0.57,0.77,74.6426,"Sep 4, 13",-0.03728551154689718
2013-09-05,74.75,75.82,74.75,75.45,448905,448905,0.83,1.112,75.5418,"Sep 5, 13",-0.026577215843117046
2013-09-06,75.94,76.58,74.58,75.52,550207,550207,0.07,0.093,75.5163,"Sep 6, 13",-0.02567410656689471
2013-09-09,75.48,77.105,75.48,76.72,334369,334369,1.2,1.589,76.5734,"Sep 9, 13",-0.010192233260224568
2013-09-10,77.55,78.78,77.12,78.39,388242,388242,1.67,2.177,78.2474,"Sep 10, 13",0.011353373758224686
2013-09-11,78.3,78.74,77.88,78.51,385146,385146,0.12,0.153,78.3993,"Sep 11, 13",0.012901561088891756
2013-09-12,78.27,79.74,77.97,78.35,455345,455345,-0.16,-0.204,78.9434,"Sep 12, 13",0.010837311314668936
2013-09-13,78.34,78.71,76.75,77.49,560549,560549,-0.86,-1.098,77.3697,"Sep 13, 13",-0.0002580312217779671
