date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-08,6.2615,6.2615,6.2615,6.2615,110,110,-0.04638,-0.735,6.2615,"Aug 8, 13",0
2013-08-09,6.2615,6.2615,6.2615,6.2615,550,550,0,0,6.2615,"Aug 9, 13",0
2013-08-12,6.2615,6.2615,6.2615,6.2615,300,300,0,0,6.2615,"Aug 12, 13",0
2013-08-23,6.1224,6.4007,6.076,6.4007,2400,2400,0.139142,2.222,6.3523,"Aug 23, 13",0.02223109478559447
2013-08-28,6.447,6.7253,6.447,6.7253,500,500,0.324674,5.073,6.512,"Aug 28, 13",0.07407170805717479
2013-08-29,6.5862,6.5862,6.5862,6.5862,10000,10000,-0.139147,-2.069,6.5862,"Aug 29, 13",0.051856583885650405
2013-08-30,6.3543,6.3543,6.3543,6.3543,550,550,-0.231908,-3.521,6.3543,"Aug 30, 13",0.014820729857063075
2013-09-11,6.3543,6.3543,6.3543,6.3543,450,450,0,0,6.3543,"Sep 11, 13",0.014820729857063075
2013-09-19,6.3543,6.3543,6.3543,6.3543,150,150,0,0,6.3543,"Sep 19, 13",0.014820729857063075
2013-09-20,6.4934,6.4934,6.2615,6.2615,1700,1700,-0.092761,-1.46,6.4034,"Sep 20, 13",0
2013-09-23,6.4007,6.4007,6.4007,6.4007,1100,1100,0.139142,2.222,6.4007,"Sep 23, 13",0.02223109478559447
2013-09-25,6.4007,6.4841,6.4007,6.4841,6300,6300,0.08349,1.304,6.4696,"Sep 25, 13",0.035550586920067066
2013-10-07,6.2615,6.2615,6.2615,6.2615,1000,1000,-0.222632,-3.433,6.2615,"Oct 7, 13",0
2013-10-21,6.2615,6.2615,6.2615,6.2615,2000,2000,0,0,6.2615,"Oct 21, 13",0
2013-10-23,6.4749,6.4749,6.4749,6.4749,6000,6000,0.213353,3.407,6.4749,"Oct 23, 13",0.03408129042561687
2013-10-28,6.5305,6.5398,6.5305,6.5305,11000,11000,0.055658,0.86,6.5381,"Oct 28, 13",0.0429609518485986
2013-11-05,6.5305,6.5398,6.5305,6.5398,11000,11000,0.009276,0.142,6.5347,"Nov 5, 13",0.044446218957118866
