date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,25.856,25.8644,25.6951,25.7882,83822,83822,-0.609572,-2.309,25.5772,"Aug 5, 13",0
2013-08-06,25.6104,25.6697,25.4919,25.5596,31023,31023,-0.228588,-0.886,25.5734,"Aug 6, 13",-0.00886451943136784
2013-08-07,25.3734,25.8219,25.2972,25.348,83214,83214,-0.211657,-0.828,25.7994,"Aug 7, 13",-0.017069822632056555
2013-08-08,25.9322,26.1699,25.9322,26.1184,4738,4738,0.77043,3.039,26.0261,"Aug 8, 13",0.01280430584530915
2013-08-09,25.9322,26.0761,25.9322,25.9914,7246,7246,-0.126994,-0.486,26.0224,"Aug 9, 13",0.00787957282788248
2013-08-12,25.6358,25.7713,25.6358,25.6782,10293,10293,-0.313251,-1.205,25.7012,"Aug 12, 13",-0.0042655167867474055
2013-08-13,25.8306,25.9491,25.7713,25.839,7334,7334,0.160858,0.626,25.9002,"Aug 13, 13",0.001969893206970585
2013-08-14,25.9237,26.0168,25.8136,26.0168,10460,10460,0.177791,0.688,25.9134,"Aug 14, 13",0.00886451943136784
2013-08-15,25.7205,25.9745,25.5004,25.9068,11322,11322,-0.110061,-0.423,25.7857,"Aug 15, 13",0.004599002644620435
2013-08-16,25.585,25.7483,25.4157,25.5673,6816,6816,-0.339413,-1.31,25.6442,"Aug 16, 13",-0.008565933256295528
2013-08-19,25.5935,25.6358,25.3564,25.3564,9453,9453,-0.210894,-0.825,25.4833,"Aug 19, 13",-0.016744092259250318
2013-08-20,25.1533,25.2286,25.094,25.1194,10403,10403,-0.237055,-0.935,25.155,"Aug 20, 13",-0.025934342063424393
2013-08-21,24.7977,24.7977,24.6368,24.6791,4444,4444,-0.440245,-1.753,24.6863,"Aug 21, 13",-0.04300804243801434
2013-08-22,24.4082,24.4082,24.2982,24.3744,2715,2715,-0.304785,-1.235,24.382,"Aug 22, 13",-0.054823523937304594
2013-08-23,24.6114,24.8315,24.6114,24.8146,14713,14713,0.440245,1.806,24.7649,"Aug 23, 13",-0.03775370130524818
2013-08-26,24.6368,24.6791,24.5606,24.6029,4902,4902,-0.211657,-0.853,24.6233,"Aug 26, 13",-0.04596288224847016
2013-08-27,24.2812,24.332,24.1966,24.2179,2328,2328,-0.385044,-1.565,24.2441,"Aug 27, 13",-0.06089219100208621
2013-08-28,24.0442,24.0442,23.5616,23.7733,46352,46352,-0.444649,-1.836,23.8222,"Aug 28, 13",-0.07813263430561268
2013-08-29,24.7723,25.0686,24.7723,25.0601,148166,148166,1.2869,5.413,24.8457,"Aug 29, 13",-0.028233843385734612
2013-08-30,25.1363,25.2041,25.1109,25.1279,259859,259859,0.06773,0.27,25.2858,"Aug 30, 13",-0.02560473394808476
2013-09-03,25.8729,25.9237,25.7713,25.7713,11712,11712,0.643437,2.561,25.8442,"Sep 3, 13",-0.0006553384881457291
2013-09-04,25.4919,26.2962,25.4919,26.2539,4970,4970,0.482576,1.873,26.175,"Sep 4, 13",0.018058646978075313
2013-09-05,26.4317,26.5747,26.3385,26.4571,16146,16146,0.203191,0.774,26.4212,"Sep 5, 13",0.025938219805957792
2013-09-06,26.7957,26.8634,26.6857,26.855,10180,10180,0.397913,1.504,26.8006,"Sep 6, 13",0.041367757346383253
2013-09-09,27.5831,27.7947,27.5831,27.7947,8360,8360,0.939755,3.499,27.6381,"Sep 9, 13",0.07780690393280644
2013-09-10,28.5652,28.6,28.489,28.5567,9222,9222,0.761963,2.741,28.5451,"Sep 10, 13",0.10735530203736592
2013-09-11,28.8361,28.9546,28.5913,28.9038,8727,8727,0.347117,1.216,28.7976,"Sep 11, 13",0.12081494637082078
2013-09-12,28.5313,28.6752,28.489,28.5736,3402,3402,-0.330184,-1.142,28.6015,"Sep 12, 13",0.10801064052551164
2013-09-13,28.5228,28.5228,28.1249,28.2096,8050,8050,-0.364048,-1.274,28.2255,"Sep 13, 13",0.09389565770391103
2013-09-16,28.7599,28.9461,28.7599,28.8615,6899,6899,0.651901,2.311,28.8348,"Sep 16, 13",0.1191746612791897
2013-09-17,28.8784,29.0054,28.8361,28.9207,3369,3369,0.059263,0.205,28.9267,"Sep 17, 13",0.12147028485896652
2013-09-18,29.0985,30.1399,28.8615,30.0637,8025,8025,1.1429,3.952,29.5319,"Sep 18, 13",0.16579288201580572
2013-09-19,29.7686,30.0446,29.725,29.7928,5610,5610,-0.270921,-0.901,29.8547,"Sep 19, 13",0.1552880774928068
2013-09-20,29.5557,29.7335,29.1409,29.1409,10056,10056,-0.651902,-2.188,29.414,"Sep 20, 13",0.1300090739175281
2013-09-23,29.6065,29.8442,29.3864,29.7081,6941,6941,0.56724,1.947,29.5419,"Sep 23, 13",0.15200362956701136
2013-09-24,29.6658,29.6742,29.5134,29.5218,4473,4473,-0.186258,-0.627,29.6406,"Sep 24, 13",0.14477939522727445
2013-09-25,29.2509,29.3224,29.2509,29.3,1780,1780,-0.221816,-0.751,29.2782,"Sep 25, 13",0.13617856228817835
2013-09-26,29.488,29.488,29.2933,29.3271,12478,12478,0.027092,0.092,29.3854,"Sep 26, 13",0.1372294305147316
2013-09-27,29.3017,29.3779,29.3017,29.3441,1625,1625,0.016932,0.058,29.3392,"Sep 27, 13",0.13788864674541074
2013-09-30,29.1663,29.1832,29.0477,29.1239,7969,7969,-0.220122,-0.75,29.1369,"Sep 30, 13",0.129349857686849
2013-10-01,28.9885,29.0675,28.947,29.0139,1428,1428,-0.11006,-0.378,28.9825,"Oct 1, 13",0.1250843409001016
2013-10-02,29.2086,29.3271,29.0054,29.3102,2636,2636,0.296318,1.021,29.1341,"Oct 2, 13",0.13657409202658574
2013-10-03,29.2001,29.4457,29.2001,29.4457,1151,1151,0.13546,0.462,29.3109,"Oct 3, 13",0.1418284331593519
2013-10-04,28.853,29.0901,28.853,29.0901,2728,2728,-0.355582,-1.208,28.9745,"Oct 4, 13",0.12803918071055753
2013-10-07,28.8022,28.8699,28.7937,28.8445,9308,9308,-0.245522,-0.844,28.8267,"Oct 7, 13",0.11851544504851057
2013-10-08,28.6227,28.6227,28.3704,28.3704,1900,1900,-0.47411,-1.644,28.5017,"Oct 8, 13",0.10013106769762915
2013-10-09,28.489,28.5482,28.3366,28.5482,1858,1858,0.17779,0.627,28.4674,"Oct 9, 13",0.10702569392202642
2013-10-10,28.5906,28.7937,28.4974,28.6752,15106,15106,0.126995,0.445,28.629,"Oct 10, 13",0.11195042693945295
