date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,32.0202,32.4246,31.9377,31.9377,62563,62563,-0.231072,-0.718,32.2286,"Aug 5, 13",0
2013-08-06,32.1357,32.4411,32.1027,32.309,80142,80142,0.371366,1.163,32.3003,"Aug 6, 13",0.011625758899357122
2013-08-07,32.1357,32.408,31.6158,31.8345,336127,336127,-0.474523,-1.469,31.7571,"Aug 7, 13",-0.0032312909195089524
2013-08-08,32.0449,32.4246,31.8716,32.309,27143,27143,0.474523,1.491,32.225,"Aug 8, 13",0.011625758899357122
2013-08-09,32.144,33.9926,32.144,33.6047,19555,19555,1.2957,4.01,32.8509,"Aug 9, 13",0.05219536785679625
2013-08-12,33.4891,34.1411,33.3984,33.8027,25412,25412,0.198064,0.589,33.8474,"Aug 12, 13",0.058394937644226166
2013-08-13,33.9513,34.2979,33.2663,33.2993,16001,16001,-0.503411,-1.489,33.698,"Aug 13, 13",0.0426330011240635
2013-08-14,33.0105,33.3984,32.961,33.1343,11882,11882,-0.165052,-0.496,33.1217,"Aug 14, 13",0.03746669296787194
2013-08-15,32.994,33.1343,32.5236,32.7959,34364,34364,-0.338358,-1.021,32.8348,"Aug 15, 13",0.026871064603900832
2013-08-16,33.0105,33.0683,32.6392,32.7382,32117,32117,-0.057769,-0.176,32.8034,"Aug 16, 13",0.02506442229715977
2013-08-19,33.0765,33.2333,32.3503,32.7794,38720,38720,0.041265,0.126,32.8939,"Aug 19, 13",0.026354433788281655
2013-08-20,32.7794,32.8702,32.5566,32.6474,21698,21698,-0.132041,-0.403,32.7226,"Aug 20, 13",0.02222138726332823
2013-08-21,32.4823,33.06,32.4658,32.8042,19797,19797,0.156797,0.48,32.823,"Aug 21, 13",0.027130945559636483
2013-08-22,32.9857,33.2168,32.5946,32.5979,24534,24534,-0.206312,-0.629,32.908,"Aug 22, 13",0.020671494816470917
2013-08-23,32.3915,32.8619,32.309,32.5979,25852,25852,0,0,32.496,"Aug 23, 13",0.020671494816470917
2013-08-26,32.7547,32.8867,31.9459,32.1687,27877,27877,-0.429139,-1.316,32.3208,"Aug 26, 13",0.007232831418668271
2013-08-27,32.21,32.3998,31.8056,32.177,21660,21660,0.008253,0.026,32.0278,"Aug 27, 13",0.00749271237440392
2013-08-28,32.3255,32.4741,31.9872,32.1093,16564,16564,-0.067671,-0.21,32.113,"Aug 28, 13",0.005372960482439185
2013-08-29,31.7974,32.6886,31.7974,32.3981,15931,15931,0.288845,0.9,32.3592,"Aug 29, 13",0.01441556530370064
2013-08-30,32.6466,33.1673,32.3503,32.4988,34988,34988,0.100678,0.311,32.6775,"Aug 30, 13",0.01756857882690373
2013-09-03,32.5814,32.8042,31.8139,31.8221,43028,43028,-0.676717,-2.082,32.1549,"Sep 3, 13",-0.003619546805186366
2013-09-04,32.0367,32.3503,31.4177,31.4177,90561,90561,-0.404377,-1.271,31.8684,"Sep 4, 13",-0.016281698431634073
2013-09-05,31.492,31.6075,31.0876,31.5085,54067,54067,0.09078,0.289,31.4225,"Sep 5, 13",-0.013438663397802536
2013-09-06,31.525,31.8135,31.2362,31.591,52661,52661,0.082527,0.262,31.5068,"Sep 6, 13",-0.010855509319706755
2013-09-09,32.0037,32.309,31.2774,31.8386,30630,30630,0.247577,0.784,31.7873,"Sep 9, 13",-0.0031029159895671877
2013-09-10,32.0614,32.7794,31.459,31.459,109988,109988,-0.379622,-1.192,32.2096,"Sep 10, 13",-0.01498855584466007
2013-09-11,31.4342,31.5811,30.9638,31.0794,136724,136724,-0.379618,-1.207,31.1145,"Sep 11, 13",-0.026874195699752954
2013-09-12,30.774,31.525,29.957,30.9638,31827,31827,-0.115536,-0.372,30.8625,"Sep 12, 13",-0.030493742504939317
2013-09-13,31.3352,31.7891,30.9473,31.525,93622,93622,0.561177,1.812,31.3604,"Sep 13, 13",-0.012922032582183468
2013-09-16,31.5828,31.6892,30.9226,31.1949,52815,52815,-0.330103,-1.047,31.3897,"Sep 16, 13",-0.023257779990418816
2013-09-17,31.36,31.36,30.8236,30.9308,33985,33985,-0.264086,-0.847,30.994,"Sep 17, 13",-0.03152700413617756
2013-09-18,31.0876,31.0876,29.7342,30.4109,247000,247000,-0.519916,-1.681,30.367,"Sep 18, 13",-0.04780557147195941
2013-09-19,30.609,31.884,30.1633,31.2444,149363,149363,0.833515,2.741,31.0563,"Sep 19, 13",-0.021707887543561392
2013-09-20,30.9308,30.9308,30.0478,30.576,191500,191500,-0.668463,-2.139,30.5471,"Sep 20, 13",-0.04263613221991562
2013-09-23,30.3201,30.6255,29.6048,30.0478,104219,104219,-0.528166,-1.727,29.8473,"Sep 23, 13",-0.05917458051143322
2013-09-24,30.0395,30.675,29.8745,29.9653,140870,140870,-0.082526,-0.275,30.0927,"Sep 24, 13",-0.061757734589529004
2013-09-25,29.8497,30.3862,29.8085,30.0478,88973,88973,0.082526,0.275,30.0857,"Sep 25, 13",-0.05917458051143322
2013-09-26,30.0808,30.4769,29.759,30.1056,140277,140277,0.057768,0.192,30.143,"Sep 26, 13",-0.05736480710884004
2013-09-27,30.1983,31.0959,30.0849,30.6007,53052,53052,0.495156,1.645,30.4888,"Sep 27, 13",-0.04186275154441302
2013-09-30,30.3779,30.7575,30.1138,30.6915,83390,83390,0.090779,0.297,30.4009,"Sep 30, 13",-0.03901971651058148
2013-10-01,30.8318,31.5333,29.957,30.5347,90651,90651,-0.156798,-0.511,31.0117,"Oct 1, 13",-0.04392927480688962
2013-10-02,30.576,30.7328,29.8745,30.3284,89960,89960,-0.206318,-0.676,30.4622,"Oct 2, 13",-0.050388725550055295
2013-10-03,30.8235,30.8235,29.7672,30.2046,78668,78668,-0.123786,-0.408,29.8833,"Oct 3, 13",-0.05426502221512508
2013-10-04,30.2871,30.6337,30.0395,30.1386,14322,14322,-0.066026,-0.219,30.368,"Oct 4, 13",-0.056331545477601684
2013-10-07,30.0065,30.4446,30.0065,30.1303,53880,53880,-0.008251,-0.027,30.2485,"Oct 7, 13",-0.05659142643333744
2013-10-08,30.0672,30.1303,29.9158,30.0107,20500,20500,-0.11966,-0.397,30.0232,"Oct 8, 13",-0.06033621707261323
2013-10-09,30.0065,30.0065,29.1153,29.7094,127324,127324,-0.301223,-1.004,29.6039,"Oct 9, 13",-0.06977020887540433
2013-10-10,29.5279,29.9653,29.5279,29.7259,96687,96687,0.016507,0.056,29.7116,"Oct 10, 13",-0.06925357805978515
2013-10-11,30.1386,30.5099,29.8408,30.1221,194033,194033,0.396124,1.333,30.136,"Oct 11, 13",-0.056848176293220865
2013-10-14,29.957,30.5265,29.6434,29.9405,36341,36341,-0.181556,-0.603,29.9252,"Oct 14, 13",-0.06253424636088382
2013-10-15,30.0478,31.1702,30.0478,30.708,91126,91126,0.767494,2.563,30.5417,"Oct 15, 13",-0.03850308569496241
2013-10-16,30.9308,31.2609,30.0891,30.5265,89788,89788,-0.181559,-0.591,30.6632,"Oct 16, 13",-0.044186024666773155
2013-10-17,30.5099,31.9789,30.0065,31.1784,62632,62632,0.651957,2.136,30.9549,"Oct 17, 13",-0.023774410806037996
2013-10-18,31.5828,32.111,30.0973,31.5498,143052,143052,0.371369,1.191,30.9434,"Oct 18, 13",-0.012145520810828531
2013-10-21,31.7231,33.2745,31.5085,32.5483,60569,60569,0.998568,3.165,32.2774,"Oct 21, 13",0.019118471273761043
2013-10-22,33.2581,33.4561,32.342,33.1095,154257,154257,0.561178,1.724,32.9591,"Oct 22, 13",0.03669018119651689
2013-10-23,33.2498,33.5634,32.5648,32.9197,50249,50249,-0.18981,-0.573,32.8287,"Oct 23, 13",0.030747361268970506
2013-10-24,32.7629,33.1755,32.7959,32.8042,74278,74278,-0.115539,-0.351,32.9636,"Oct 24, 13",0.027130945559636483
2013-10-25,32.7464,32.8042,31.1949,31.9542,58139,58139,-0.850021,-2.591,32.2224,"Oct 25, 13",0.0005166308156191781
2013-10-28,32.0944,32.3998,31.5209,32.0449,120465,120465,0.09078,0.284,31.9436,"Oct 28, 13",0.003356534753598376
2013-10-29,32.3053,32.3136,31.6497,31.907,22022,22022,-0.13795,-0.43,32.0014,"Oct 29, 13",-0.0009612464266368432
2013-10-30,31.7908,32.1136,31.351,31.5419,67593,67593,-0.365128,-1.144,31.5958,"Oct 30, 13",-0.01239287738315537
2013-10-31,31.907,32.3468,31.1435,31.2929,55860,55860,-0.248948,-0.789,31.5269,"Oct 31, 13",-0.02018930605522627
2013-11-01,31.185,31.6497,30.8946,31.2846,35508,35508,-0.008297,-0.027,31.3624,"Nov 1, 13",-0.02044918701096192
2013-11-04,31.4589,31.8572,30.961,31.5833,55823,55823,0.29874,0.955,31.4759,"Nov 4, 13",-0.011096603700329024
2013-11-05,31.6663,31.6763,31.2016,31.2763,36396,36396,-0.307039,-0.972,31.4016,"Nov 5, 13",-0.020709067966697678
2013-11-06,31.2016,31.7161,30.8116,31.3178,85064,85064,0.041492,0.133,31.3076,"Nov 6, 13",-0.019409663188019212
2013-11-07,31.3178,32.1559,31.1269,31.5585,45090,45090,0.240653,0.768,31.5156,"Nov 7, 13",-0.011873115471683963
2013-11-08,31.7327,32.5791,31.3842,32.0066,30588,30588,0.448108,1.42,32.1376,"Nov 8, 13",0.0021573250421914945
2013-11-11,32.687,33.5169,32.2306,32.7534,96458,96458,0.746845,2.333,32.8494,"Nov 11, 13",0.025540348866699845
2013-11-12,33.0024,33.0687,32.463,32.936,60874,60874,0.182563,0.557,32.8723,"Nov 12, 13",0.03125772989288522
2013-11-13,33.0936,33.1848,31.8157,32.7783,31897,31897,-0.157668,-0.479,32.5028,"Nov 13, 13",0.026319991733907012
2013-11-14,32.6538,34.0043,32.41,33.0438,41936,41936,0.265545,0.81,33.3944,"Nov 14, 13",0.03463305122159698
2013-11-15,33.2679,33.7242,32.7451,32.9028,82437,82437,-0.141068,-0.427,33.1072,"Nov 15, 13",0.030218206069942407
2013-11-18,32.7451,33.1434,32.3219,32.7119,84736,84736,-0.190863,-0.58,32.5584,"Nov 18, 13",0.024240944088021382
2013-11-19,32.4879,33.7824,32.4879,33.3426,75184,75184,0.630672,1.928,33.1971,"Nov 19, 13",0.043988765628082106
2013-11-20,33.326,34.7699,33.326,34.1143,169822,169822,0.771742,2.315,34.0429,"Nov 20, 13",0.06815143231979762
2013-11-21,34.2056,36.1798,33.9318,35.0188,122606,122606,0.904516,2.651,34.8891,"Nov 21, 13",0.09647219430328419
2013-11-22,34.8944,36.4793,34.5458,35.525,573314,573314,0.506197,1.445,35.4683,"Nov 22, 13",0.11232180150730951
2013-11-25,35.6827,35.6827,34.9857,35.5582,48966,48966,0.033192,0.093,35.3145,"Nov 25, 13",0.11336132533025234
2013-11-26,35.3923,36.2055,35.2761,35.8072,48623,48623,0.248949,0.7,35.817,"Nov 26, 13",0.12115775400232334
2013-11-27,35.2678,36.3051,34.8454,35.4504,56602,56602,-0.356826,-0.997,35.757,"Nov 27, 13",0.10998600400154057
2013-11-29,35.3259,35.9151,35.3259,35.8487,26796,26796,0.398316,1.124,35.7859,"Nov 29, 13",0.1224571587810018
2013-12-02,35.8487,36.0312,35.5582,35.774,29613,29613,-0.074685,-0.208,35.809,"Dec 2, 13",0.12011823017938053
2013-12-03,35.6827,35.8653,34.994,35.1101,66980,66980,-0.663863,-1.856,35.4122,"Dec 3, 13",0.09933088481637699
2013-12-04,35.0769,35.7408,34.1143,35.2346,201363,201363,0.124476,0.355,34.9664,"Dec 4, 13",0.10322909915241238
