date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,41.3339,41.6224,40.9382,41.3256,4046,4046,0.02473,0.06,41.2422,"Aug 5, 13",0
2013-08-06,41.0618,41.2844,41.0536,41.202,6152,6152,-0.123655,-0.299,41.1612,"Aug 6, 13",-0.002990882165050314
2013-08-07,41.1773,41.2762,41.0289,41.0371,6701,6701,-0.164875,-0.4,41.1775,"Aug 7, 13",-0.006981144859360761
2013-08-08,40.8475,41.3421,40.8475,41.1937,3365,3365,0.156631,0.382,41.1823,"Aug 8, 13",-0.003191726193933099
2013-08-09,40.7074,41.5317,40.7074,41.235,2181,2181,0.041218,0.1,41.2317,"Aug 9, 13",-0.002192345664672794
2013-08-12,40.7733,41.136,40.7568,41.1113,11620,11620,-0.123653,-0.3,40.9155,"Aug 12, 13",-0.0051856476372999175
2013-08-13,40.7239,41.0618,40.568,41.0124,10688,10688,-0.098927,-0.241,40.874,"Aug 13, 13",-0.007578837330855496
2013-08-14,40.8145,41.0948,40.7403,40.9794,4625,4625,-0.032974,-0.08,40.8656,"Aug 14, 13",-0.008377373831233017
2013-08-15,40.6826,40.6826,39.8335,39.9325,8529,8529,-1.0469,-2.555,40.1723,"Aug 15, 13",-0.03371033935381468
2013-08-16,39.7264,40.2127,39.4543,39.9407,12200,12200,0.008245,0.021,39.8291,"Aug 16, 13",-0.03351191513250871
2013-08-19,39.5697,40.3611,39.5615,39.7346,9041,9041,-0.206092,-0.516,39.9408,"Aug 19, 13",-0.03849913854850265
2013-08-20,40.1056,40.1468,39.545,40.0561,4442,4442,0.321507,0.809,39.9667,"Aug 20, 13",-0.030719457188764367
2013-08-21,39.7923,40.2375,39.4873,39.8583,10425,10425,-0.19785,-0.494,39.8915,"Aug 21, 13",-0.03550583657587553
2013-08-22,39.8418,40.6826,39.7926,40.4106,4301,4301,0.552328,1.386,40.2923,"Aug 22, 13",-0.022141239328648563
2013-08-23,40.3859,41.0289,40.0314,40.7733,14624,14624,0.362721,0.898,40.487,"Aug 23, 13",-0.01336459724722696
2013-08-26,41.0618,41.0618,40.2375,40.2375,8977,8977,-0.53584,-1.314,40.5896,"Aug 26, 13",-0.02632992624426516
