date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-01-05,118.7729,121.4865,117.6951,121.0919,2163572,2163572,121.0919,0,120.3343,"Jan 5, 16",0
2016-01-06,120.5146,120.8033,115.4146,115.453,2386461,2386461,-5.6389,-4.657,117.0235,"Jan 6, 16",-0.046567111425289326
2016-01-07,111.9889,115.2221,110.5936,110.6128,2489451,2489451,-4.8402,-4.192,112.0852,"Jan 7, 16",-0.08653840595448584
2016-01-08,111.1228,113.0089,109.2175,112.2198,2006267,2006267,1.607,1.453,112.2812,"Jan 8, 16",-0.07326749353177206
2016-01-11,112.5951,112.903,109.7853,110.6321,1408550,1408550,-1.5877,-1.415,110.7943,"Jan 11, 16",-0.08637902287436237
2016-01-12,111.1517,111.6809,110.1798,111.1902,1098024,1098024,0.558115,0.504,110.6903,"Jan 12, 16",-0.08177012665587038
2016-01-13,112.0659,112.648,108.3419,108.5921,949576,949576,-2.5981,-2.337,110.3385,"Jan 13, 16",-0.10322573186150348
2016-01-14,109.2272,110.6898,105.8977,110.0643,785469,785469,1.4723,1.356,109.7604,"Jan 14, 16",-0.09106802354244993
2016-01-15,109.054,110.5455,107.6972,108.2841,1093741,1093741,-1.7802,-1.617,108.5201,"Jan 15, 16",-0.10576925459093466
2016-01-19,109.3715,111.4981,105.7245,106.2153,1523527,1523527,-2.0689,-1.911,107.2624,"Jan 19, 16",-0.12285379946965896
2016-01-20,104.9451,107.3892,104.233,105.176,1654181,1654181,-1.0392,-0.978,105.3171,"Jan 20, 16",-0.13143653704335298
2016-01-21,105.5898,106.4077,104.2282,105.8496,944335,944335,0.673587,0.64,105.7538,"Jan 21, 16",-0.12587381980132445
2016-01-22,107.6587,108.6873,106.0324,107.726,745066,745066,1.8764,1.773,107.6568,"Jan 22, 16",-0.11037815080942653
2016-01-25,107.1198,110.3049,105.8496,105.9651,703799,703799,-1.761,-1.635,106.6634,"Jan 25, 16",-0.12491999877778769
2016-01-26,106.2537,107.1968,103.2539,106.8119,563603,563603,0.846796,0.799,106.5817,"Jan 26, 16",-0.1179269629099882
2016-01-27,106.5905,108.3226,104.9066,106.5328,896948,896948,-0.27906,-0.261,106.67,"Jan 27, 16",-0.12023182392876816
2016-01-28,106.7156,108.7075,105.7534,108.3323,680420,680420,1.7994,1.689,107.7159,"Jan 28, 16",-0.10537120980015997
2016-01-29,109.0732,110.2664,107.4566,110.1509,749928,749928,1.8187,1.679,109.4738,"Jan 29, 16",-0.09035286422956451
2016-02-01,109.6987,110.5166,108.6402,110.1798,574170,574170,0.028867,0.026,109.6913,"Feb 1, 16",-0.09011420251891329
2016-02-02,108.977,109.564,105.609,106.3885,694826,694826,-3.7913,-3.441,107.0542,"Feb 2, 16",-0.12142348084388802
2016-02-03,109.1021,110.3145,105.5032,109.7468,896326,896326,3.3583,3.157,108.1457,"Feb 3, 16",-0.09368999908334086
2016-02-04,109.7757,111.9311,109.7757,111.3442,956336,956336,1.5974,1.456,111.1449,"Feb 4, 16",-0.08049836529115485
2016-02-05,110.7764,112.0947,105.5705,109.7179,997061,997061,-1.6262,-1.461,109.9755,"Feb 5, 16",-0.09392866079399197
2016-02-08,109.0251,109.0251,106.2922,106.9658,1200452,1200452,-2.7521,-2.508,106.9558,"Feb 8, 16",-0.1166560273643406
2016-02-09,106.9755,107.8781,105.5032,106.4751,1725244,1725244,-0.490757,-0.459,106.9856,"Feb 9, 16",-0.12070832153100247
2016-02-10,102.703,107.8799,102.3469,103.4632,1945964,1945964,-3.0119,-2.829,105.0374,"Feb 10, 16",-0.1455811660400076
2016-02-11,101.6445,105.1327,100.1818,103.0879,1319536,1319536,-0.375285,-0.363,103.283,"Feb 11, 16",-0.14868046500220072
2016-02-12,104.4639,105.2987,103.0301,103.7711,922402,922402,0.683211,0.663,104.1066,"Feb 12, 16",-0.14303846912964444
2016-02-16,104.9932,107.1005,102.9724,106.5905,1185091,1185091,2.8194,2.717,105.9812,"Feb 16, 16",-0.11975532632653374
2016-02-17,106.6483,107.88,103.8961,107.0428,922004,922004,0.452268,0.424,106.9342,"Feb 17, 16",-0.11602014668198282
2016-02-18,106.9273,107.9666,104.82,107.3892,441403,441403,0.346415,0.324,107.1249,"Feb 18, 16",-0.1131595094304408
2016-02-19,107.1679,108.1542,103.2322,106.1671,1244745,1244745,-1.2221,-1.138,106.2311,"Feb 19, 16",-0.12325184426043354
2016-02-22,107.1583,108.9577,106.8215,108.7749,681534,681534,2.6077,2.456,108.4167,"Feb 22, 16",-0.10171613460520475
2016-02-23,108.1302,108.5439,107.1487,107.6683,411236,411236,-1.1066,-1.017,107.8292,"Feb 23, 16",-0.11085464841166084
