date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-06-24,57.709,57.709,57.6453,57.6453,3300,3300,57.6453,0,57.705,"Jun 24, 15",0
2015-06-25,57.2088,57.2088,56.2992,56.2992,3700,3700,-1.3461,-2.335,56.9689,"Jun 25, 15",-0.023351426742509795
2015-06-26,,,,56.2992,100,100,0,0,,"Jun 26, 15",-0.023351426742509795
2015-06-29,55.4079,55.4079,55.2988,55.2988,300,300,-1.0005,-1.777,55.3351,"Jun 29, 15",-0.04070583378003062
2015-06-30,55.7808,55.8445,54.8713,55.3897,1815537,1815537,0.090949,0.164,55.3795,"Jun 30, 15",-0.03912894893425832
2015-07-01,55.2442,56.754,55.1442,56.754,192377,192377,1.3643,2.463,56.6185,"Jul 1, 15",-0.01546179827323305
2015-07-02,57.2997,59.1187,56.754,59.1097,1744987,1744987,2.3557,4.151,58.3076,"Jul 2, 15",0.025403632212860332
2015-07-06,59.2279,60.3921,57.2906,57.9819,2092257,2092257,-1.1278,-1.908,58.8123,"Jul 6, 15",0.0058391577457312955
2015-07-07,58.1274,58.2001,55.9718,56.8177,3053125,3053125,-1.1642,-2.008,56.6768,"Jul 7, 15",-0.01435676455842882
2015-07-08,56.845,58.1183,54.1164,54.3074,3784289,3784289,-2.5103,-4.418,55.0472,"Jul 8, 15",-0.05790411360509873
2015-07-09,54.1164,55.417,53.216,54.1255,2284226,2284226,-0.181901,-0.335,53.981,"Jul 9, 15",-0.06105961804344841
2015-07-10,54.5439,56.0264,54.0254,55.8445,2237703,2237703,1.719,3.176,55.6013,"Jul 10, 15",-0.031239320464981575
2015-07-13,56.4266,56.6176,56.0355,56.4993,1248987,1248987,0.654851,1.173,56.3436,"Jul 13, 15",-0.019880198385644636
2015-07-14,56.4811,57.3452,55.8809,56.563,994808,994808,0.06367,0.113,56.3957,"Jul 14, 15",-0.018775164670840408
2015-07-15,56.6176,57.236,55.5989,56.0446,1209854,1209854,-0.518428,-0.917,56.0979,"Jul 15, 15",-0.027768092108116295
2015-07-16,56.1173,57.9182,55.9682,56.6812,1365863,1365863,0.636664,1.136,57.1884,"Jul 16, 15",-0.016724693947294957
2015-07-17,56.9541,57.5271,56.0628,56.1628,1213162,1213162,-0.518425,-0.915,56.3474,"Jul 17, 15",-0.025717621384570843
2015-07-20,56.3902,57.236,55.9354,55.9809,1977775,1977775,-0.181905,-0.324,56.615,"Jul 20, 15",-0.028873125822920526
