date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,85.39,86.16,84.99,85.35,56253,56253,-0.38,-0.443,85.4297,"Aug 5, 13",0
2013-08-06,84.97,85.105,83.53,84.2,75928,75928,-1.15,-1.347,84.3274,"Aug 6, 13",-0.013473930872876292
2013-08-07,83.96,84.44,82.94,83.73,101480,101480,-0.47,-0.558,83.7926,"Aug 7, 13",-0.018980667838312718
2013-08-08,84.03,85.75,83.38,85.178,107138,107138,1.448,1.729,84.9793,"Aug 8, 13",-0.00201523140011713
2013-08-09,84.82,85.67,84.34,84.7,25998,25998,-0.478,-0.561,84.9719,"Aug 9, 13",-0.007615700058582209
2013-08-12,85.95,86.3,84.17,85.7,50769,50769,1,1.181,85.7118,"Aug 12, 13",0.004100761570005959
2013-08-13,85.52,87.4,85.08,87.36,50655,50655,1.66,1.937,86.7997,"Aug 13, 13",0.023550087873462276
2013-08-14,87.16,87.32,86.18,86.62,79470,79470,-0.74,-0.847,86.5959,"Aug 14, 13",0.014879906268307092
2013-08-15,85.73,86.12,84.93,85.79,87197,87197,-0.83,-0.958,85.6229,"Aug 15, 13",0.0051552431165789335
2013-08-16,85.91,87.26,85.26,86.81,88365,88365,1.02,1.189,86.6118,"Aug 16, 13",0.017106033977738817
2013-08-19,86.67,88,86.03,86.06,81360,81360,-0.75,-0.864,86.675,"Aug 19, 13",0.008318687756297691
2013-08-20,86.24,89.51,86.24,88.18,184974,184974,2.12,2.463,88.6178,"Aug 20, 13",0.03315758640890466
2013-08-21,88.05,88.35,86.95,87.81,55846,55846,-0.37,-0.42,87.6361,"Aug 21, 13",0.028822495606326985
2013-08-22,87.09,87.724,86.11,87.03,81743,81743,-0.78,-0.888,86.9258,"Aug 22, 13",0.019683655536028202
2013-08-23,86.95,88.4,86.4,86.77,28245,28245,-0.26,-0.299,87.3225,"Aug 23, 13",0.016637375512595216
2013-08-26,86.64,87.15,85.75,86.37,58958,58958,-0.4,-0.461,86.1975,"Aug 26, 13",0.01195079086116005
2013-08-27,85.52,86.74,84.23,84.58,42879,42879,-1.79,-2.072,85.0187,"Aug 27, 13",-0.009021675454012843
2013-08-28,84.52,85.15,83.53,84.65,28784,28784,0.07,0.083,84.5116,"Aug 28, 13",-0.008201523140011584
2013-08-29,84.55,86.26,84.27,86.21,46346,46346,1.56,1.843,85.8135,"Aug 29, 13",0.010076157000585817
2013-08-30,85.88,86.54,85.23,85.67,43237,43237,-0.54,-0.626,85.9135,"Aug 30, 13",0.0037492677211483
2013-09-03,86.14,86.99,85.41,86.63,66118,66118,0.96,1.121,86.3661,"Sep 3, 13",0.014997070884592867
2013-09-04,86.66,86.66,84.24,85.74,89949,89949,-0.89,-1.027,85.3761,"Sep 4, 13",0.0045694200351493915
2013-09-05,85.99,85.99,84.22,84.61,111508,111508,-1.13,-1.318,85.0118,"Sep 5, 13",-0.008670181605155184
2013-09-06,84.77,85.5,82.91,84.99,56683,56683,0.38,0.449,84.5968,"Sep 6, 13",-0.004217926186291733
