date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,11.64,11.68,11.16,11.36,68478,273913,-0.12,-1.045,11.5411,"Aug 5, 13",0
2013-08-06,11.36,11.68,10.92,11.44,56924,227697,0.08,0.704,11.4519,"Aug 6, 13",0.007042253521126767
2013-08-07,11.4,11.64,11.22,11.4,45352,181406,-0.04,-0.35,11.483,"Aug 7, 13",0.003521126760563462
2013-08-08,11.52,11.92,11.48,11.76,66771,267082,0.36,3.158,11.674,"Aug 8, 13",0.03521126760563384
2013-08-09,11.8,11.88,11.56,11.8,52494,209975,0.04,0.34,11.7441,"Aug 9, 13",0.0387323943661973
2013-08-12,11.84,12.56,11.8,12.08,117224,468896,0.28,2.373,12.1263,"Aug 12, 13",0.0633802816901409
2013-08-13,12.12,12.4,12.08,12.2,84661,338644,0.12,0.993,12.2155,"Aug 13, 13",0.07394366197183097
2013-08-14,12.2,12.6,12.1996,12.36,89439,357757,0.16,1.311,12.3581,"Aug 14, 13",0.08802816901408451
2013-08-15,12.2,12.56,11.96,12.04,59372,237487,-0.32,-2.589,12.1442,"Aug 15, 13",0.05985915492957744
2013-08-16,11.96,12.44,11.96,12.12,22388,89552,0.08,0.664,12.1514,"Aug 16, 13",0.0669014084507042
2013-08-19,11.96,12.24,11.52,11.64,67448,269791,-0.48,-3.96,11.7729,"Aug 19, 13",0.024647887323943764
2013-08-20,11.76,12.2,11.64,12.08,28960,115840,0.44,3.78,11.9241,"Aug 20, 13",0.0633802816901409
2013-08-21,12,12.2,11.84,12.04,34025,136099,-0.04,-0.331,12.0846,"Aug 21, 13",0.05985915492957744
2013-08-22,12.04,12.28,12,12.16,19016,76062,0.12,0.997,12.1438,"Aug 22, 13",0.07042253521126768
2013-08-23,12.32,12.32,12.08,12.2,34991,139963,0.04,0.329,12.1998,"Aug 23, 13",0.07394366197183097
2013-08-26,12.28,12.28,12.02,12.12,74546,298183,-0.08,-0.656,12.1291,"Aug 26, 13",0.0669014084507042
2013-08-27,12,12.08,11.28,11.48,67122,268489,-0.64,-5.281,11.6394,"Aug 27, 13",0.010563380281690229
2013-08-28,11.52,11.72,11.32,11.56,27562,110249,0.08,0.697,11.5213,"Aug 28, 13",0.017605633802816996
2013-08-29,11.56,12.4,11.56,12.36,43191,172763,0.8,6.92,12.1025,"Aug 29, 13",0.08802816901408451
2013-08-30,12.36,12.36,11.56,11.88,52113,208453,-0.48,-3.883,11.8552,"Aug 30, 13",0.04577464788732406
2013-09-03,12.08,12.2,11.48,12.16,37904,151614,0.28,2.357,12.0302,"Sep 3, 13",0.07042253521126768
2013-09-04,12.16,12.32,12,12.28,40820,163280,0.12,0.987,12.1254,"Sep 4, 13",0.08098591549295775
2013-09-05,12.4,12.4,12.2,12.24,15408,61633,-0.04,-0.326,12.2885,"Sep 5, 13",0.07746478873239444
2013-09-06,12.28,12.6,11.96,12.32,92032,368126,0.08,0.654,12.3878,"Sep 6, 13",0.08450704225352121
2013-09-09,12.32,12.48,12,12.44,60949,243797,0.12,0.974,12.2322,"Sep 9, 13",0.09507042253521128
2013-09-10,12.44,12.56,12,12.52,77069,308277,0.08,0.643,12.2582,"Sep 10, 13",0.10211267605633804
2013-09-11,12.52,13.2,12.4,13.04,96077,384306,0.52,4.153,12.914,"Sep 11, 13",0.14788732394366194
2013-09-12,13.08,13.2,12.64,12.96,36305,145218,-0.08,-0.613,12.9075,"Sep 12, 13",0.14084507042253536
2013-09-13,13.08,13.16,13,13.16,40080,160318,0.2,1.543,13.1059,"Sep 13, 13",0.15845070422535218
2013-09-16,13.2,13.64,12.84,13.36,173179,692716,0.2,1.52,13.3289,"Sep 16, 13",0.17605633802816903
2013-09-17,13.36,14.6,13.32,14.28,152038,608152,0.92,6.886,14.0733,"Sep 17, 13",0.25704225352112675
2013-09-18,14.28,14.56,13.64,13.88,72025,288101,-0.4,-2.801,13.9691,"Sep 18, 13",0.22183098591549308
2013-09-19,14,14,13.64,13.76,27106,108423,-0.12,-0.865,13.7768,"Sep 19, 13",0.21126760563380287
2013-09-20,13.72,13.72,12.96,13.44,93147,372588,-0.32,-2.326,13.38,"Sep 20, 13",0.18309859154929578
2013-09-23,13.36,13.4404,12.9332,13.24,39300,157198,-0.2,-1.488,13.1798,"Sep 23, 13",0.16549295774647896
2013-09-24,13.2,13.32,12.88,13.16,53572,214289,-0.08,-0.604,13.0938,"Sep 24, 13",0.15845070422535218
2013-09-25,13.16,13.68,13.0404,13.4,28858,115432,0.24,1.824,13.4042,"Sep 25, 13",0.1795774647887325
2013-09-26,13.48,14.2,13.24,13.44,29912,119646,0.04,0.299,13.4002,"Sep 26, 13",0.18309859154929578
