date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-06-21,15.75,20.28,15.75,20.22,2071336,2071336,20.22,0,17.7112,"Jun 21, 18",0
2018-06-22,19.56,19.84,18.03,18.8,193857,193857,-1.42,-7.023,18.5695,"Jun 22, 18",-0.0702274975272007
2018-06-25,18.69,20.059,18.2465,19.1,116983,116983,0.3,1.596,19.121,"Jun 25, 18",-0.05539070227497515
2018-06-26,21,22.37,18.271,19.79,341589,341589,0.69,3.613,19.4241,"Jun 26, 18",-0.021266073194856565
2018-06-27,19.79,20.25,18.8,19.94,151249,151249,0.15,0.758,19.7559,"Jun 27, 18",-0.0138476755687437
2018-06-28,20.04,20.124,18.41,19.2,64899,64899,-0.74,-3.711,19.1551,"Jun 28, 18",-0.050445103857566745
2018-06-29,19.25,19.9,18.6,18.98,98350,98350,-0.22,-1.146,19.041,"Jun 29, 18",-0.06132542037586541
2018-07-02,18.89,18.89,17.52,18.01,63271,63271,-0.97,-5.111,18.0345,"Jul 2, 18",-0.10929772502472787
2018-07-03,17.82,19.97,17.82,18,39342,39342,-0.01,-0.056,18.2685,Jul 3,-0.10979228486646879
2018-07-05,18.42,18.945,18.2,18.88,14566,14566,0.88,4.889,18.4316,Jul 5,-0.06627101879327399
2018-07-06,19.73,19.739,18.13,18.67,7310,7310,-0.21,-1.112,19.0617,Jul 6,-0.07665677546983171
2018-07-09,18.04,18.54,18.03,18.49,8565,8565,-0.18,-0.964,18.2801,Jul 9,-0.08555885262116719
2018-07-10,18.4,19.49,18.1,19.49,40514,40514,1,5.408,18.4432,Jul 10,-0.03610286844708212
2018-07-11,19.35,19.35,18.03,18.8,14924,14924,-0.69,-3.54,18.5651,Jul 11,-0.0702274975272007
2018-07-12,18.9943,18.9943,18.23,18.4,6459,6459,-0.4,-2.128,18.4628,Jul 12,-0.09000989119683483
2018-07-13,18.07,18.98,18.07,18.5,8115,8115,0.1,0.543,18.4413,Jul 13,-0.08506429277942626
2018-07-16,18.55,18.68,17.5,18.4,81684,81684,-0.1,-0.541,18.2311,Jul 16,-0.09000989119683483
2018-07-17,18.33,19.64,18.33,19.29,36515,36515,0.89,4.837,18.891,Jul 17,-0.045994065281899095
2018-07-18,19.57,20,19,19.57,23611,23611,0.28,1.452,19.6016,Jul 18,-0.03214638971315523
2018-07-19,19.74,19.99,19,19.11,12751,12751,-0.46,-2.351,19.5978,Jul 19,-0.054896142433234395
2018-07-20,19.56,21,19.28,20.85,21210,21210,1.74,9.105,20.1777,Jul 20,0.03115727002967372
2018-07-23,21,22.2825,20,20.21,36486,36486,-0.64,-3.07,21.6764,Jul 23,-0.0004945598417407523
2018-07-24,20.56,21.4,20,21.38,43117,43117,1.17,5.789,20.854,Jul 24,0.05736894164193868
2018-07-25,21.3,21.3291,20.3,20.45,23780,23780,-0.93,-4.35,21.0292,Jul 25,0.011374876360039586
2018-07-26,20.45,21.25,19.56,19.77,363120,363120,-0.68,-3.325,20.5259,Jul 26,-0.022255192878338246
2018-07-27,20.11,21.006,17.87,18.6,67826,67826,-1.17,-5.918,18.7937,Jul 27,-0.08011869436201768
2018-07-30,18.6,18.9658,17.9,18.21,13681,13681,-0.39,-2.097,18.3164,Jul 30,-0.09940652818991089
2018-07-31,18.385,18.8299,18.2,18.2,6603,6603,-0.01,-0.055,18.4417,Jul 31,-0.09990108803165182
2018-08-01,18.33,18.9715,18.05,18.06,37715,37715,-0.14,-0.769,18.3626,Aug 1,-0.10682492581602375
2018-08-02,18.07,18.9999,16.5,17.72,65290,65290,-0.34,-1.883,17.739,Aug 2,-0.12363996043521266
