date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.7,5.95,5.6,5.95,1294,25876,0.15,2.586,5.6218,"Aug 5, 13",0
2013-08-06,5.8,5.95,5.8,5.8,681,13614,-0.15,-2.521,5.907,"Aug 6, 13",-0.025210084033613505
2013-08-07,6,6.188,6,6.188,595,11900,0.388,6.69,6.0496,"Aug 7, 13",0.039999999999999925
2013-08-08,5.62,6.2,5.62,6.2,396,7920,0.012,0.194,5.8509,"Aug 8, 13",0.04201680672268907
2013-08-09,6.2,6.2,5.622,5.72,3480,69600,-0.48,-7.742,5.7447,"Aug 9, 13",-0.03865546218487402
2013-08-12,5.8,6,5.66,5.8,1103,22057,0.08,1.399,5.7108,"Aug 12, 13",-0.025210084033613505
2013-08-13,6,6,5.66,5.98,1437,28733,0.18,3.103,5.8718,"Aug 13, 13",0.005042016806722731
2013-08-14,6,6,5.66,5.8,1292,25840,-0.18,-3.01,5.8049,"Aug 14, 13",-0.025210084033613505
2013-08-15,5.68,5.8,5.68,5.8,1705,34093,0,0,5.7713,"Aug 15, 13",-0.025210084033613505
2013-08-16,6,6,5.7,5.7,830,16602,-0.1,-1.724,5.7345,"Aug 16, 13",-0.04201680672268907
2013-08-19,5.8,6,5.6,6,2050,41000,0.3,5.263,5.7112,"Aug 19, 13",0.008403361344537785
2013-08-20,5.7,5.9,5.7,5.7,1707,34137,-0.3,-5,5.7627,"Aug 20, 13",-0.04201680672268907
2013-08-21,5.7,5.8,5.6,5.6,2100,42000,-0.1,-1.754,5.7143,"Aug 21, 13",-0.058823529411764795
2013-08-22,5.8,5.8,5.6,5.8,819,16375,0.2,3.571,5.7817,"Aug 22, 13",-0.025210084033613505
2013-08-23,5.6,6,5.6,5.8,1515,30303,0,0,5.6693,"Aug 23, 13",-0.025210084033613505
2013-08-26,5.9,6,5.6,5.6,1916,38328,-0.2,-3.448,5.7208,"Aug 26, 13",-0.058823529411764795
2013-08-27,5.6,5.6,5.314,5.4,2848,56958,-0.2,-3.571,5.4833,"Aug 27, 13",-0.09243697478991593
2013-08-28,5.488,5.6,5.402,5.6,4200,84000,0.2,3.704,5.5972,"Aug 28, 13",-0.058823529411764795
2013-08-29,5.6,5.7,5.402,5.6,1650,33000,0,0,5.5341,"Aug 29, 13",-0.058823529411764795
2013-08-30,5.402,5.6,5.402,5.6,1625,32500,0,0,5.4489,"Aug 30, 13",-0.058823529411764795
2013-09-03,5.6,5.7,5.6,5.7,1558,31160,0.1,1.786,5.6177,"Sep 3, 13",-0.04201680672268907
2013-09-04,5.7,6,5.616,5.95,4645,92900,0.25,4.386,5.7876,"Sep 4, 13",0
2013-09-05,6,6,5.65,5.93,560,11200,-0.02,-0.336,5.8381,"Sep 5, 13",-0.0033613445378152034
2013-09-06,5.6,6,5.6,5.98,1120,22400,0.05,0.843,5.6335,"Sep 6, 13",0.005042016806722731
2013-09-09,5.8,6,5.8,6,1382,27634,0.02,0.334,5.8366,"Sep 9, 13",0.008403361344537785
2013-09-10,5.98,5.98,5.5,5.98,2254,45070,-0.02,-0.333,5.6891,"Sep 10, 13",0.005042016806722731
2013-09-11,5.7,5.7,5.48,5.6,1398,27963,-0.38,-6.355,5.6018,"Sep 11, 13",-0.058823529411764795
2013-09-12,5.8,5.8,5.4,5.6,3987,79740,0,0,5.5024,"Sep 12, 13",-0.058823529411764795
2013-09-13,5,5.6,5,5.5,1720,34400,-0.1,-1.786,5.4265,"Sep 13, 13",-0.07563025210084036
2013-09-16,5,5.8,5,5.6,1069,21381,0.1,1.818,5.0967,"Sep 16, 13",-0.058823529411764795
2013-09-17,5.4,5.45,5.16,5.3,1965,39298,-0.3,-5.357,5.3438,"Sep 17, 13",-0.10924369747899165
2013-09-18,5.3,5.3,4.6,4.95,5774,115478,-0.35,-6.604,4.8922,"Sep 18, 13",-0.1680672268907563
2013-09-19,5,5,4.6,4.7,8990,179809,-0.25,-5.051,4.7716,"Sep 19, 13",-0.21008403361344538
2013-09-20,4.7,4.8,4.438,4.6,1729,34577,-0.1,-2.128,4.6066,"Sep 20, 13",-0.2268907563025211
2013-09-23,4.5,4.76,4.438,4.76,634,12680,0.16,3.478,4.4828,"Sep 23, 13",-0.20000000000000007
2013-09-24,4.6,5,4.6,5,2509,50170,0.24,5.042,4.8211,"Sep 24, 13",-0.1596638655462185
2013-09-25,5,5,4.9,5,1816,36312,0,0,4.9383,"Sep 25, 13",-0.1596638655462185
2013-09-26,5.1,5.1,4.7,4.7,6644,132870,-0.3,-6,4.8349,"Sep 26, 13",-0.21008403361344538
2013-09-27,4.62,4.62,4.4,4.58,10171,203423,-0.12,-2.553,4.4781,"Sep 27, 13",-0.23025210084033615
2013-09-30,4.32,5,4.32,5,2179,43580,0.42,9.17,4.5803,"Sep 30, 13",-0.1596638655462185
2013-10-01,5,5,4.35,4.94,2364,47281,-0.06,-1.2,4.75,"Oct 1, 13",-0.16974789915966382
2013-10-02,4.6,4.9,4.402,4.67,3964,79288,-0.27,-5.466,4.6594,"Oct 2, 13",-0.2151260504201681
2013-10-03,4.402,5,4.402,4.6,11095,221908,-0.07,-1.499,4.7524,"Oct 3, 13",-0.2268907563025211
2013-10-04,4.6,4.6,4.32,4.4,9225,184495,-0.2,-4.348,4.396,"Oct 4, 13",-0.26050420168067223
2013-10-07,4.58,4.6,4.4,4.6,4511,90225,0.2,4.545,4.4886,"Oct 7, 13",-0.2268907563025211
2013-10-08,4.36,4.5,4.32,4.5,4670,93403,-0.1,-2.174,4.3898,"Oct 8, 13",-0.24369747899159666
2013-10-09,4.5,4.7,4.302,4.6,8199,163988,0.1,2.222,4.6012,"Oct 9, 13",-0.2268907563025211
2013-10-10,4.6,4.8,4.5,4.8,3233,64667,0.2,4.348,4.6011,"Oct 10, 13",-0.1932773109243698
2013-10-11,5.2,5.2,4.4,4.4,5517,110348,-0.4,-8.333,4.7683,"Oct 11, 13",-0.26050420168067223
2013-10-14,4.4,4.6,4,4.2,11408,228165,-0.2,-4.545,4.2663,"Oct 14, 13",-0.29411764705882354
2013-10-15,4.2,4.2,4,4,9215,184299,-0.2,-4.762,4.0335,"Oct 15, 13",-0.3277310924369748
2013-10-16,4,4.4,3.6,3.822,14205,284098,-0.178,-4.45,3.9099,"Oct 16, 13",-0.35764705882352943
2013-10-17,4.08,4.08,3.62,3.7,6935,138707,-0.122,-3.192,3.7541,"Oct 17, 13",-0.37815126050420167
2013-10-18,3.62,3.9,3.6,3.9,7060,141199,0.2,5.405,3.6384,"Oct 18, 13",-0.3445378151260505
2013-10-21,3.6,3.8,3.5,3.7,2375,47499,-0.2,-5.128,3.5874,"Oct 21, 13",-0.37815126050420167
2013-10-22,3.798,3.9,3.6,3.8,23468,469363,0.1,2.703,3.777,"Oct 22, 13",-0.3613445378151261
2013-10-23,3.8,3.8,3.8,3.8,3351,67011,0,0,3.8,"Oct 23, 13",-0.3613445378151261
2013-10-24,3.7,3.8,3.6,3.7,7255,145108,-0.1,-2.632,3.6835,"Oct 24, 13",-0.37815126050420167
2013-10-25,3.6,3.8,3.2,3.7,6082,121634,0,0,3.6315,"Oct 25, 13",-0.37815126050420167
2013-10-28,3.35,3.8,3.2,3.8,1917,38338,0.1,2.703,3.6587,"Oct 28, 13",-0.3613445378151261
2013-10-29,3.8,4,3.8,4,2120,42408,0.2,5.263,3.8189,"Oct 29, 13",-0.3277310924369748
2013-10-30,4,4,3.6,3.6,22575,451491,-0.4,-10,3.7839,"Oct 30, 13",-0.3949579831932773
2013-10-31,3.64,3.7,3.5,3.5,1897,37943,-0.1,-2.778,3.5865,"Oct 31, 13",-0.411764705882353
2013-11-01,3.56,3.7,3.56,3.7,4079,81585,0.2,5.714,3.632,"Nov 1, 13",-0.37815126050420167
2013-11-04,3.7,3.8,3.4,3.7,10014,200282,0,0,3.6856,"Nov 4, 13",-0.37815126050420167
2013-11-05,3.7,3.7,3.4,3.56,28820,576400,-0.14,-3.784,3.4619,"Nov 5, 13",-0.4016806722689076
