date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-23,24.6883,24.6883,24.6883,24.6883,90410,90410,24.6883,0,24.6883,"May 23, 17",0
2017-05-26,24.8745,24.8745,24.8648,24.8648,1876,1876,0.176485,0.715,24.8703,"May 26, 17",0.007149135420421706
2017-05-31,24.9236,24.9413,24.904,24.9413,550,550,0.076478,0.308,24.9313,"May 31, 17",0.010247769186213573
2017-06-02,25.1982,25.1982,25.1884,25.1884,1185,1185,0.247078,0.991,25.1921,"Jun 2, 17",0.02025655877480425
2017-06-05,25.1884,25.1884,25.1688,25.1688,1155,1155,-0.01961,-0.078,25.1706,"Jun 5, 17",0.01946266045049676
2017-06-07,25.0902,25.0903,25.0902,25.0903,350,350,-0.078437,-0.312,25.0903,"Jun 7, 17",0.0162830166516122
2017-06-14,25.1393,25.1393,25.1393,25.1393,350,350,0.049024,0.195,25.1393,"Jun 14, 17",0.018267762462380842
2017-06-22,25.1001,25.1001,25.1,25.1001,975,975,-0.039219,-0.156,25.1001,"Jun 22, 17",0.016679965813766014
2017-06-26,,,,25.1001,4,4,-0.000008,0,,"Jun 26, 17",0.016679965813766014
2017-06-29,24.9516,24.9517,24.9516,24.9517,798,798,-0.148451,-0.591,24.9516,"Jun 29, 17",0.01066902135829511
2017-07-05,,,,24.9517,8,8,0,0,,"Jul 5, 17",0.01066902135829511
2017-07-06,,,,24.9517,3,3,0,0,,"Jul 6, 17",0.01066902135829511
2017-07-07,24.9025,24.9713,24.9025,24.9713,303,303,0.019662,0.079,24.9484,"Jul 7, 17",0.011462919682602596
2017-07-10,25.0302,25.0302,24.9965,24.9965,1684,1684,0.025169,0.101,25.0164,"Jul 10, 17",0.012483646099569406
2017-07-11,25.0205,25.0205,25.0205,25.0205,544,544,0.023988,0.096,25.0205,"Jul 11, 17",0.01345576649668048
2017-07-12,,,,25.0205,8,8,0,0,,"Jul 12, 17",0.01345576649668048
2017-07-14,25.1778,25.2269,25.1778,25.2269,284,284,0.206456,0.825,25.2024,"Jul 14, 17",0.021816001911836733
2017-07-17,25.2367,25.2367,25.2269,25.2269,700,700,0,0,25.2283,"Jul 17, 17",0.021816001911836733
2017-07-18,,,,25.2269,10,10,0,0,,"Jul 18, 17",0.021816001911836733
2017-07-24,25.2466,25.2466,25.2466,25.2466,100,100,0.019661,0.078,25.2466,"Jul 24, 17",0.02261395073779884
2017-07-25,,,,25.2466,10,10,0,0,,"Jul 25, 17",0.02261395073779884
2017-07-27,,,,25.2466,20,20,0,0,,"Jul 27, 17",0.02261395073779884
2017-07-28,25.2466,25.2466,25.2458,25.2458,383,383,-0.000786,-0.003,25.2464,"Jul 28, 17",0.02258154672456173
2017-08-04,25.4039,25.4039,25.4039,25.4039,100,100,0.158087,0.626,25.4039,"Aug 4, 17",0.028985389840531686
2017-08-29,25.2396,25.2396,25.2396,25.2396,200,200,-0.16428,-0.647,25.2396,"Aug 29, 17",0.022330415621974686
2017-09-06,25.4137,25.4137,25.4137,25.4137,203,203,0.174111,0.69,25.4137,"Sep 6, 17",0.029382339002685356
2017-09-13,,,,25.4137,10,10,0,0,,"Sep 13, 17",0.029382339002685356
2017-09-28,,,,25.4137,4,4,-0.000004,0,,"Sep 28, 17",0.029382339002685356
2017-10-02,,,,25.4137,14,14,0,0,,"Oct 2, 17",0.029382339002685356
2017-10-03,,,,25.4137,1,1,0,0,,"Oct 3, 17",0.029382339002685356
2017-10-04,26.0617,26.0617,26.0151,26.0151,565,565,0.601416,2.367,26.0321,"Oct 4, 17",0.0537420559536298
2017-10-06,26.2146,26.2146,26.2146,26.2146,385,385,0.19942,0.767,26.2146,"Oct 6, 17",0.061822806754616516
2017-10-11,26.18,26.18,26.18,26.18,200,200,-0.034519,-0.132,26.18,"Oct 11, 17",0.06042133318211452
2017-10-13,26.3526,26.3526,26.325,26.325,375,375,0.144979,0.554,26.3398,"Oct 13, 17",0.06629456058132789
2017-10-25,,,,26.325,1,1,0,0,,"Oct 25, 17",0.06629456058132789
2017-11-03,,,,26.325,11,11,0,0,,"Nov 3, 17",0.06629456058132789
2017-11-07,26.3654,26.3654,26.3654,26.3654,340,340,0.040337,0.153,26.3654,"Nov 7, 17",0.06793096324979846
2017-11-09,,,,26.3654,50,50,0,0,,"Nov 9, 17",0.06793096324979846
2017-11-13,,,,26.3654,50,50,0,0,,"Nov 13, 17",0.06793096324979846
2017-11-21,26.4956,26.4956,26.4956,26.4956,865,865,0.130285,0.494,26.4956,"Nov 21, 17",0.07320471640412655
2017-12-05,,,,26.4956,14,14,0,0,,"Dec 5, 17",0.07320471640412655
2017-12-06,27.0085,27.0085,26.974,26.974,950,950,0.478332,1.805,26.9961,"Dec 6, 17",0.09258231631987615
2017-12-11,,,,26.974,3,3,0,0,,"Dec 11, 17",0.09258231631987615
2017-12-12,27.2896,27.2896,27.2896,27.2896,548,548,0.315599,1.17,27.2896,"Dec 12, 17",0.1053656995418882
2017-12-13,,,,27.2896,35,35,0,0,,"Dec 13, 17",0.1053656995418882
2017-12-15,27.2994,27.2994,27.2994,27.2994,180,180,0.009864,0.036,27.2994,"Dec 15, 17",0.10576264870404187
2017-12-18,27.5361,27.5361,27.4987,27.4987,988,988,0.199222,0.73,27.5293,"Dec 18, 17",0.11383529850171933
2017-12-20,,,,27.4987,35,35,0,0,,"Dec 20, 17",0.11383529850171933
2017-12-21,27.5065,27.5065,27.5065,27.5065,854,854,0.00789,0.029,27.5065,"Dec 21, 17",0.11415123763078046
2017-12-22,27.4276,27.4276,27.4257,27.4257,259,259,-0.080873,-0.294,27.4267,"Dec 22, 17",0.11087843229383948
2017-12-26,,,,27.4257,26,26,0.000008,0,,"Dec 26, 17",0.11087843229383948
2017-12-27,27.4893,27.4893,27.4893,27.4893,180,180,0.063606,0.232,27.4893,"Dec 27, 17",0.11345455134618415
2017-12-28,,,,27.4893,8,8,0,0,,"Dec 28, 17",0.11345455134618415
2017-12-29,,,,27.4893,96,96,0,0,,"Dec 29, 17",0.11345455134618415
2018-01-02,27.5489,27.5489,27.5489,27.5489,132,132,0.059629,0.217,27.5489,"Jan 2, 18",0.11586865033234357
2018-01-03,27.6035,27.6582,27.6035,27.6582,1460,1460,0.109322,0.397,27.6429,"Jan 3, 18",0.12029584864085413
2018-01-04,,,,27.6582,30,30,0,0,,"Jan 4, 18",0.12029584864085413
2018-01-05,,,,27.6582,95,95,0,0,,"Jan 5, 18",0.12029584864085413
2018-01-08,,,,27.6582,32,32,0,0,,"Jan 8, 18",0.12029584864085413
2018-01-09,28.0856,28.0856,28.0856,28.0856,389,389,0.427346,1.545,28.0856,"Jan 9, 18",0.13760769271274237
2018-01-10,,,,28.0856,29,29,0,0,,"Jan 10, 18",0.13760769271274237
2018-01-12,28.2446,28.2446,28.2446,28.2446,608,608,0.159012,0.566,28.2446,"Jan 12, 18",0.1440479903436039
2018-01-16,28.5427,28.5427,28.5427,28.5427,100,100,0.298149,1.056,28.5427,"Jan 16, 18",0.15612253577605578
2018-01-17,28.5349,28.5349,28.5179,28.5179,985,985,-0.024846,-0.087,28.5211,"Jan 17, 18",0.1551180113657076
2018-01-23,28.7415,28.7713,28.7415,28.7713,485,485,0.253426,0.889,28.749,"Jan 23, 18",0.1653819825585398
