date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,42.73,44.64,40.75,44.29,1857662,1857662,2.49,5.957,43.4233,"Aug 5, 13",0
2013-08-06,44.07,44.67,41.8,42.309,1722419,1722419,-1.981,-4.473,42.4849,"Aug 6, 13",-0.044727929555204375
2013-08-07,42.1,42.4,40.03,40.67,1101258,1101258,-1.639,-3.874,40.8569,"Aug 7, 13",-0.08173402573944451
2013-08-08,41.89,42.2,41.17,41.99,841372,841372,1.32,3.246,41.9235,"Aug 8, 13",-0.05193045834274096
2013-08-09,43,43,40.63,41.6,642117,642117,-0.39,-0.929,41.869,"Aug 9, 13",-0.06073605780085793
2013-08-12,42,42.41,40.51,40.89,666353,666353,-0.71,-1.707,41.2415,"Aug 12, 13",-0.07676676450666062
2013-08-13,41.08,42.13,40.25,41.74,722383,722383,0.85,2.079,41.4367,"Aug 13, 13",-0.05757507337999542
2013-08-14,41.91,42.82,41.5,42.01,658164,658164,0.27,0.647,42.215,"Aug 14, 13",-0.051478889139760696
2013-08-15,41,41.42,38.05,38.57,1505661,1505661,-3.44,-8.189,39.3049,"Aug 15, 13",-0.129148792052382
2013-08-16,38.3,40.26,38.01,39.37,671223,671223,0.8,2.074,39.3694,"Aug 16, 13",-0.1110860239331678
2013-08-19,39.4,42.42,39.4,40.64,1381025,1381025,1.27,3.226,41.3595,"Aug 19, 13",-0.08241137954391507
2013-08-20,40.8,41.5,39.7,40.69,630985,630985,0.05,0.123,40.667,"Aug 20, 13",-0.08128245653646425
2013-08-21,40.31,40.6857,39.3,39.43,493114,493114,-1.26,-3.097,39.9087,"Aug 21, 13",-0.10973131632422668
2013-08-22,39.5,39.64,36.19,37.18,1333552,1333552,-2.25,-5.706,37.4386,"Aug 22, 13",-0.1605328516595168
2013-08-23,37.55,39.18,37.55,38.77,907914,907914,1.59,4.276,38.5131,"Aug 23, 13",-0.12463310002257837
2013-08-26,39.12,42.26,39,41.63,1138030,1138030,2.86,7.377,40.9092,"Aug 26, 13",-0.06005870399638737
2013-08-27,40.2,41.12,38.59,39.19,797852,797852,-2.44,-5.861,39.7676,"Aug 27, 13",-0.11515014675999101
2013-08-28,38.68,39.88,38.5,39.33,313318,313318,0.14,0.357,39.2431,"Aug 28, 13",-0.11198916233912849
2013-08-29,39.83,40.4899,39.01,39.71,471337,471337,0.38,0.966,39.8892,"Aug 29, 13",-0.10340934748250166
2013-08-30,40.76,41.24,39.3,39.46,1314679,1314679,-0.25,-0.63,40.3238,"Aug 30, 13",-0.10905396251975612
2013-09-03,40.64,42.9,39.75,40.3,1712643,1712643,0.84,2.129,41.2363,"Sep 3, 13",-0.09008805599458122
2013-09-04,40.37,41.49,40.35,40.91,782239,782239,0.61,1.514,40.7888,"Sep 4, 13",-0.07631519530368035
2013-09-05,42.76,43.99,40.51,43.7,3313075,3313075,2.79,6.82,42.2758,"Sep 5, 13",-0.013321291487920441
