date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,7.4171,7.4281,7.4061,7.4275,38300,38300,0.01591,0.215,7.4184,"Aug 5, 13",0
2013-08-06,7.4281,7.4281,7.3622,7.4061,58540,58540,-0.021397,-0.288,7.3293,"Aug 6, 13",-0.0028811847862672316
2013-08-07,7.3842,7.3952,7.3518,7.3897,102269,102269,-0.016459,-0.222,7.3725,"Aug 7, 13",-0.005089195557051476
2013-08-08,7.4281,7.4281,7.3732,7.3732,43033,43033,-0.016457,-0.223,7.3984,"Aug 8, 13",-0.007310669808145467
2013-08-09,7.3568,7.3897,7.3293,7.3513,53893,53893,-0.021944,-0.298,7.3539,"Aug 9, 13",-0.010259171995960962
2013-08-12,7.3238,7.3458,7.3238,7.3293,38659,38659,-0.021943,-0.298,7.3357,"Aug 12, 13",-0.013221137664086205
2013-08-13,7.3458,7.3842,7.3129,7.3842,70766,70766,0.054859,0.748,7.3452,"Aug 13, 13",-0.005829686974082845
2013-08-14,7.3787,7.3787,7.3403,7.3677,41396,41396,-0.016513,-0.224,7.3673,"Aug 14, 13",-0.008051161225176719
2013-08-15,7.3129,7.3184,7.2416,7.3129,72388,72388,-0.054803,-0.744,7.2912,"Aug 15, 13",-0.015429148434870449
2013-08-16,7.2854,7.2965,7.258,7.2635,33429,33429,-0.049375,-0.675,7.2826,"Aug 16, 13",-0.022080107707842557
2013-08-19,7.2525,7.269,7.1922,7.1922,59420,59420,-0.071319,-0.982,7.2408,"Aug 19, 13",-0.031679569168630156
2013-08-20,7.1757,7.2525,7.1757,7.2251,49343,49343,0.032915,0.458,7.2117,"Aug 20, 13",-0.027250084146751924
2013-08-21,7.2306,7.2525,7.1757,7.1867,54342,54342,-0.0384,-0.531,7.2108,"Aug 21, 13",-0.03242006058566141
2013-08-22,7.2196,7.2745,7.2196,7.2525,36933,36933,0.065831,0.916,7.2538,"Aug 22, 13",-0.02356109054190506
2013-08-23,7.247,7.28,7.247,7.258,50395,50395,0.005486,0.076,7.2591,"Aug 23, 13",-0.022820599124873806
2013-08-26,7.2525,7.2752,7.2361,7.2415,59603,59603,-0.016459,-0.227,7.2617,"Aug 26, 13",-0.02504207337596768
2013-08-27,7.1757,7.1757,7.1126,7.1373,58615,58615,-0.104233,-1.439,7.1506,"Aug 27, 13",-0.03907101985863352
2013-08-28,7.1263,7.1538,7.0715,7.1428,53471,53471,0.005484,0.077,7.1364,"Aug 28, 13",-0.038330528441602146
2013-08-29,7.1263,7.1757,7.1263,7.1534,28649,28649,0.010645,0.149,7.1527,"Aug 29, 13",-0.03690339952877816
2013-08-30,7.1538,7.1702,7.1154,7.1318,34728,34728,-0.021616,-0.302,7.1351,"Aug 30, 13",-0.03981151127566477
2013-09-03,7.1647,7.2086,7.1543,7.1757,33362,33362,0.043889,0.615,7.1721,"Sep 3, 13",-0.03390104341972403
2013-09-04,7.1812,7.2361,7.1702,7.2251,34308,34308,0.049373,0.688,7.2132,"Sep 4, 13",-0.027250084146751924
2013-09-05,7.2525,7.2787,7.2361,7.247,39336,39336,0.021944,0.304,7.2522,"Sep 5, 13",-0.02430158195893643
2013-09-06,7.2964,7.3184,7.2196,7.2745,46791,46791,0.02743,0.378,7.2795,"Sep 6, 13",-0.020599124873779934
2013-09-09,7.269,7.3211,7.269,7.3074,31379,31379,0.032918,0.453,7.2962,"Sep 9, 13",-0.016169639851901698
2013-09-10,7.3184,7.3952,7.3074,7.3787,59349,59349,0.071316,0.976,7.3612,"Sep 10, 13",-0.006570178391114096
2013-09-11,7.3897,7.4113,7.3622,7.3952,46682,46682,0.01646,0.223,7.3883,"Sep 11, 13",-0.004348704140020225
2013-09-12,7.4006,7.4171,7.3293,7.3403,95462,95462,-0.05486,-0.742,7.3669,"Sep 12, 13",-0.011740154830023584
2013-09-13,7.3568,7.3896,7.3348,7.3787,103168,103168,0.0384,0.523,7.3627,"Sep 13, 13",-0.006570178391114096
2013-09-16,7.461,7.4939,7.4171,7.4281,74480,74480,0.049376,0.669,7.4638,"Sep 16, 13",0.0000807808818578916
2013-09-17,7.4116,7.4665,7.3677,7.45,40838,40838,0.021943,0.295,7.4309,"Sep 17, 13",0.003029283069673506
2013-09-18,7.461,7.5811,7.4445,7.5762,51556,51556,0.12618,1.694,7.497,"Sep 18, 13",0.020020195220464467
2013-09-19,7.5762,7.6048,7.5374,7.5542,34110,34110,-0.021946,-0.29,7.566,"Sep 19, 13",0.017058229552339224
2013-09-20,7.5707,7.5707,7.4994,7.5104,28377,28377,-0.043832,-0.58,7.5491,"Sep 20, 13",0.011161225176708115
2013-09-23,7.5104,7.5104,7.45,7.461,37922,37922,-0.049427,-0.658,7.4808,"Sep 23, 13",0.004510265903736127
2013-09-24,7.4939,7.4939,7.3952,7.472,62223,62223,0.010972,0.147,7.4754,"Sep 24, 13",0.0059912487377987485
2013-09-25,7.4774,7.5104,7.461,7.4829,40017,40017,0.01097,0.147,7.4871,"Sep 25, 13",0.0074587680915516215
2013-09-26,7.5323,7.5323,7.4722,7.5049,30059,30059,0.021945,0.293,7.5075,"Sep 26, 13",0.010420733759676865
2013-09-27,7.4829,7.4939,7.4226,7.4445,48813,48813,-0.060346,-0.804,7.4575,"Sep 27, 13",0.0022887916526421353
2013-09-30,7.4171,7.4445,7.3677,7.4127,42943,42943,-0.031819,-0.427,7.4071,"Sep 30, 13",-0.001992595085829707
2013-10-01,7.4226,7.45,7.3842,7.45,51560,51560,0.037303,0.503,7.4326,"Oct 1, 13",0.003029283069673506
2013-10-02,7.439,7.472,7.4116,7.4665,42400,42400,0.016461,0.221,7.4388,"Oct 2, 13",0.005250757320767378
2013-10-03,7.4774,7.4939,7.4171,7.4336,57784,57784,-0.032919,-0.441,7.4398,"Oct 3, 13",0.000821272298889262
2013-10-04,7.45,7.4555,7.4226,7.45,46989,46989,0.016458,0.221,7.4337,"Oct 4, 13",0.003029283069673506
2013-10-07,7.4226,7.439,7.4061,7.4171,83388,83388,-0.032915,-0.442,7.4173,"Oct 7, 13",-0.0014002019522047298
2013-10-08,7.4061,7.4061,7.2909,7.3293,71226,71226,-0.087776,-1.183,7.3485,"Oct 8, 13",-0.013221137664086205
2013-10-09,7.3366,7.3515,7.2919,7.3477,121346,121346,0.018425,0.251,7.3349,"Oct 9, 13",-0.010743857287108789
2013-10-10,7.4203,7.4427,7.3812,7.4259,115777,115777,0.078167,1.064,7.416,"Oct 10, 13",-0.00021541568495453701
2013-10-11,7.4259,7.4879,7.4259,7.4762,35288,35288,0.05025,0.677,7.4539,"Oct 11, 13",0.006556714910804468
2013-10-14,7.4706,7.5543,7.3869,7.5543,26526,26526,0.078166,1.046,7.4831,"Oct 14, 13",0.01707169303264885
2013-10-15,7.5599,7.5767,7.4818,7.4985,54700,54700,-0.055833,-0.739,7.5218,"Oct 15, 13",0.009559071019858596
2013-10-16,7.5264,7.5655,7.5208,7.5599,44623,44623,0.061418,0.819,7.5411,"Oct 16, 13",0.017825647929989853
2013-10-17,7.5264,7.6437,7.4939,7.6381,48604,48604,0.078167,1.034,7.592,"Oct 17, 13",0.028354089532143984
2013-10-18,7.6939,7.7385,7.6716,7.7274,77326,77326,0.089334,1.17,7.7027,"Oct 18, 13",0.04037697744867049
2013-10-21,7.7665,7.7833,7.7553,7.7553,68900,68900,0.027919,0.361,7.7731,"Oct 21, 13",0.04413328845506562
2013-10-22,7.7665,7.8168,7.7665,7.8,65897,65897,0.044665,0.576,7.797,"Oct 22, 13",0.05015146415348362
2013-10-23,7.733,7.8112,7.733,7.8,86680,86680,0,0,7.7876,"Oct 23, 13",0.05015146415348362
2013-10-24,7.8168,7.8503,7.7777,7.7944,96987,96987,-0.005582,-0.072,7.8274,"Oct 24, 13",0.049397509256142745
2013-10-25,7.7888,7.867,7.7163,7.8168,62688,62688,0.022332,0.287,7.8318,"Oct 25, 13",0.0524133288455065
2013-10-28,7.8335,7.867,7.826,7.8558,65164,65164,0.039085,0.5,7.8483,"Oct 28, 13",0.057664086166274
2013-10-29,7.8782,7.906,7.8447,7.8782,75196,75196,0.022332,0.284,7.8831,"Oct 29, 13",0.06067990575563775
